mlip,fmax_1e-2_ucf,fmax_1e-2_frech,fmax_0.5e-3_ucf,fmax_0.5e-3_frech
dft,0,0,0,0
ompa-mpa,0.246951823,0.247041341,0.247570312,0.247562174
ompa-omat24,0.271186849,0.268810547,0.269534831,0.269518555
mace-mpa,0.214817453,0.214803682,0.214886837,0.214875559
mace-omat,0.406076146,0.406396335,0.405927172,0.406251896
orb-mpa,0.215486328,0.21555957,0.215486328,0.214810872
orb-omat,0.1966875,0.1966875,0.196614258,0.196418945
esen-oam,0.179527344,0.179616862,0.179600586,0.179755208
esen-omat,0.181569987,0.181529297,0.181643229,0.181529297
dpa-mp,0.210843152,0.21089215,0.21086288,0.210966856
dpa-omat,0.282100346,0.282418847,0.283356861,0.283250381
uma-omat,0.20427828,0.204127726,0.204509196,0.204313883
omni-mpa,0.207793294,0.207817708,0.208135091,0.208151367
omni-omat24,0.243220378,0.243375,0.243236654,0.243318034
omni-matpes_pbe,0.279715495,0.278576172,0.279772461,0.279894531
grace-oam,0.191973785,0.192011834,0.1924957,0.19240517
grace-omat,0.187938839,0.187749407,0.188477896,0.188490248
nequip-oam,0.201049585,0.201041054,0.201441446,0.201420785
