mlip,delta
ompa-mpa,0.2334912109375
ompa-omat24,0.257783203125
mace-mpa,-0.061796941854227
mace-omat,0.482368398351382
orb-mpa,0.1375439453125
orb-omat,0.1227734375
esen-oam,0.0545361328125
esen-omat,0.0684521484375
dpa-mp,0.1334249514341354
dpa-omat,0.2921868252754211
uma-omat,0.187440185546875
omni-mpa,0.102998046875
omni-omat24,0.26779296875
omni-matpes_pbe,0.3081982421875
grace-oam,0.0831033629315516
grace-omat,0.0973424280944346
nequip-oam,0.1500265518964443
ompa-mpa,0.1600244140625
ompa-omat24,0.1887109375
mace-mpa,-0.0252398506624922
mace-omat,0.2275726058869713
orb-mpa,-0.0651953125
orb-omat,-0.0185644531249999
esen-oam,-0.010263671875
esen-omat,-0.0288183593749999
dpa-mp,0.0743571428954601
dpa-omat,0.1158906018733978
uma-omat,0.0585382080078125
omni-mpa,0.0027978515625
omni-omat24,0.0899560546875
omni-matpes_pbe,0.12181640625
grace-oam,-0.0492120790352055
grace-omat,-0.0410609738339553
nequip-oam,-0.0196887767376574
ompa-mpa,0.626396484375
ompa-omat24,0.668876953125
mace-mpa,0.1754055390093253
mace-omat,0.9287609700084613
orb-mpa,0.4092333984374999
orb-omat,0.4823535156249999
esen-oam,0.3911669921874999
esen-omat,0.4185107421874999
dpa-mp,0.2874553424119948
dpa-omat,0.5596765351295471
uma-omat,0.5041430664060226
omni-mpa,0.2756884765624999
omni-omat24,0.574150390625
omni-matpes_pbe,0.66521484375
grace-oam,0.3448502013696451
grace-omat,0.4094944822398428
nequip-oam,0.3987634203418292
ompa-mpa,0.0181591796875
ompa-omat24,0.06369140625
mace-mpa,-0.2092586129910796
mace-omat,0.4983538474866964
orb-mpa,-0.1639697265624999
orb-omat,-0.1603076171874999
esen-oam,0.0323193359375
esen-omat,0.0513623046875
dpa-mp,0.0291944693028927
dpa-omat,0.0888437616825104
uma-omat,0.0784771728513351
omni-mpa,-0.1493212890624999
omni-omat24,-0.0150439453124999
omni-matpes_pbe,0.01095703125
grace-oam,-0.1162233196721171
grace-omat,-0.0746258871160716
nequip-oam,-0.0443993052080895
ompa-mpa,0.5724755859374999
ompa-omat24,0.5999414062499999
mace-mpa,0.1671431195935929
mace-omat,0.8384797759564753
orb-mpa,0.4369775390625
orb-omat,0.4255029296875
esen-oam,0.4226953125
esen-omat,0.43490234375
dpa-mp,0.4112843161821365
dpa-omat,0.5578711664676665
uma-omat,0.4488793945310226
omni-mpa,0.4508935546875
omni-omat24,0.6131249999999999
omni-matpes_pbe,0.6524316406249999
grace-oam,0.3386950943007923
grace-omat,0.3457093931218969
nequip-oam,0.4260760174742335
ompa-mpa,0.43123046875
ompa-omat24,0.475419921875
mace-mpa,0.1166422620109824
mace-omat,0.7580715108330603
orb-mpa,0.253984375
orb-omat,0.229814453125
esen-oam,0.2379931640625
esen-omat,0.2128466796875
dpa-mp,0.2942651045322418
dpa-omat,0.4317292404174805
uma-omat,0.2861651611325851
omni-mpa,0.2885302734375
omni-omat24,0.4806689453125
omni-matpes_pbe,0.52400390625
grace-oam,0.2518271535363238
grace-omat,0.2466792128117686
nequip-oam,0.2771462519510078
ompa-mpa,0.8911083984375
ompa-omat24,0.935419921875
mace-mpa,0.5766422620112098
mace-omat,1.2180715108330604
orb-mpa,0.7094677734375
orb-omat,0.6850537109375
esen-oam,0.6979931640625
esen-omat,0.6728466796875
dpa-mp,0.754268651008606
dpa-omat,0.8917295980453491
uma-omat,0.7461346435544601
omni-mpa,0.7485302734375
omni-omat24,0.9406689453125
omni-matpes_pbe,0.98400390625
grace-oam,0.7118271535363238
grace-omat,0.7066792128117686
nequip-oam,0.7371602906592943
ompa-mpa,-0.0691796875
ompa-omat24,-0.066005859375
mace-mpa,-0.058335740327866
mace-omat,-0.05684326321958
orb-mpa,-0.071376953125
orb-omat,-0.0485498046875
esen-oam,-0.116298828125
esen-omat,-0.127529296875
dpa-mp,-0.0821197366714478
dpa-omat,-0.0550296640396119
uma-omat,-0.0508843994140625
omni-mpa,-0.1225244140625
omni-omat24,-0.082607421875
omni-matpes_pbe,-0.089443359375
grace-oam,-0.0666482448422449
grace-omat,-0.0631472390929594
nequip-oam,-0.1272005801708111
ompa-mpa,-0.0372265625
ompa-omat24,-0.018671875
mace-mpa,0.0284972233335975
mace-omat,-0.0030525605342336
orb-mpa,-0.085078125
orb-omat,-0.0588330078125
esen-oam,-0.1309765625
esen-omat,-0.1276806640625
dpa-mp,-0.0512503135204316
dpa-omat,0.0014111948013305
uma-omat,-0.0588330078125
omni-mpa,-0.173701171875
omni-omat24,-0.0991162109375
omni-matpes_pbe,-0.0801953125
grace-oam,-0.0716392020607419
grace-omat,-0.0731044291468425
nequip-oam,-0.126936705043936
ompa-mpa,0.047763671875
ompa-omat24,0.0867041015625
mace-mpa,0.1049780458029907
mace-omat,-0.0305420786438935
orb-mpa,0.060703125
orb-omat,0.1150244140625
esen-oam,-0.035
esen-omat,-0.05404296875
dpa-mp,0.0457317197322846
dpa-omat,0.1234925055503844
uma-omat,0.049686279296875
omni-mpa,-0.082607421875
omni-omat24,0.0220068359374999
omni-matpes_pbe,0.047763671875
grace-oam,0.0377933600323922
grace-omat,0.0537089861921595
nequip-oam,-0.0061393489035344
ompa-mpa,0.2429541015625
ompa-omat24,0.2550390624999999
mace-mpa,0.2953082568193076
mace-omat,0.1795880668178961
orb-mpa,0.14908203125
orb-omat,0.1885107421875
esen-oam,0.1025732421875
esen-omat,0.1377294921875
dpa-mp,0.1376244390010833
dpa-omat,0.2185763978958129
uma-omat,0.1900823974609375
omni-mpa,0.0071142578124999
omni-omat24,0.148349609375
omni-matpes_pbe,0.130771484375
grace-oam,0.1082971056510723
grace-omat,0.1064525440864053
nequip-oam,0.083686527593809
ompa-mpa,0.0243896484375
ompa-omat24,0.0573486328125
mace-mpa,0.0421210615897053
mace-omat,-0.0054661045665852
orb-mpa,0.0126708984375
orb-omat,0.0746826171875
esen-oam,-0.0639892578124999
esen-omat,-0.0892578124999999
dpa-mp,0.0384211108088493
dpa-omat,0.1181120812892914
uma-omat,-0.0050292968749999
omni-mpa,-0.0260253906249999
omni-omat24,0.0363525390625
omni-matpes_pbe,0.0971435546875
grace-oam,0.0170037561610115
grace-omat,0.0183567589112044
