,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.0,-1072.50857421875,-1048.449248046875,-1073.90359599708,-1052.5039823133347,-1069.9303271484375,-1049.1649462890625,-1072.40408203125,-1047.9054248046875,-1065.66171500206,-1050.8392922592163,-1048.3948885064833,-1071.172880859375,-1048.0715625,-1049.3968798828125,-1072.0567674898527,-1047.7774894477877,-1070.779934799091
a2,0.0,-1072.02857421875,-1047.969248046875,-1073.42359599708,-1052.0239823133347,-1069.4503271484375,-1048.6849462890625,-1071.92408203125,-1047.4254248046875,-1065.18171500206,-1050.3592922592163,-1047.9148885064833,-1070.692880859375,-1047.5915625,-1048.9168798828125,-1071.5767674898527,-1047.2974894477877,-1070.299934799091
b1,0.0,-1072.71857421875,-1048.659248046875,-1074.11359599708,-1052.7139823133348,-1070.1403271484376,-1049.3749462890626,-1072.61408203125,-1048.1154248046876,-1065.87171500206,-1051.0492922592164,-1048.6048885064833,-1071.382880859375,-1048.2815625,-1049.6068798828126,-1072.2667674898528,-1047.9874894477878,-1070.989934799091
b2,0.0,-1072.50857421875,-1048.449248046875,-1073.90359599708,-1052.5039823133347,-1069.9303271484375,-1049.1649462890625,-1072.40408203125,-1047.9054248046875,-1065.66171500206,-1050.8392922592163,-1048.3948885064833,-1071.172880859375,-1048.0715625,-1049.3968798828125,-1072.0567674898527,-1047.7774894477877,-1070.779934799091
b3,0.0,-1072.37857421875,-1048.319248046875,-1073.7735959970798,-1052.3739823133346,-1069.8003271484374,-1049.0349462890624,-1072.27408203125,-1047.7754248046874,-1065.5317150020599,-1050.7092922592162,-1048.2648885064832,-1071.042880859375,-1047.9415625,-1049.2668798828124,-1071.9267674898526,-1047.6474894477876,-1070.649934799091
c1,0.0,-1072.61857421875,-1048.559248046875,-1074.0135959970798,-1052.6139823133346,-1070.0403271484374,-1049.2749462890624,-1072.51408203125,-1048.0154248046874,-1065.7717150020599,-1050.9492922592162,-1048.5048885064832,-1071.282880859375,-1048.1815625,-1049.5068798828124,-1072.1667674898526,-1047.8874894477876,-1070.889934799091
c2,0.0,-1072.15857421875,-1048.099248046875,-1073.5535959970798,-1052.1539823133346,-1069.5803271484374,-1048.8149462890624,-1072.05408203125,-1047.5554248046874,-1065.3117150020598,-1050.4892922592162,-1048.0448885064832,-1070.822880859375,-1047.7215625,-1049.0468798828124,-1071.7067674898526,-1047.4274894477876,-1070.429934799091
d,0.0,-1072.19857421875,-1048.139248046875,-1073.59359599708,-1052.1939823133348,-1069.6203271484376,-1048.8549462890626,-1072.09408203125,-1047.5954248046876,-1065.35171500206,-1050.5292922592164,-1048.0848885064834,-1070.862880859375,-1047.7615625,-1049.0868798828126,-1071.7467674898528,-1047.4674894477878,-1070.469934799091
e,0.0,-1072.16857421875,-1048.109248046875,-1073.56359599708,-1052.1639823133348,-1069.5903271484376,-1048.8249462890626,-1072.06408203125,-1047.5654248046876,-1065.32171500206,-1050.4992922592164,-1048.0548885064834,-1070.832880859375,-1047.7315625,-1049.0568798828126,-1071.7167674898528,-1047.4374894477878,-1070.4399347990911
f,0.0,-1071.94857421875,-1047.889248046875,-1073.34359599708,-1051.9439823133348,-1069.3703271484376,-1048.6049462890626,-1071.84408203125,-1047.3454248046876,-1065.10171500206,-1050.2792922592164,-1047.8348885064834,-1070.612880859375,-1047.5115625,-1048.8368798828126,-1071.4967674898528,-1047.2174894477878,-1070.219934799091
g,0.0,-1071.94857421875,-1047.889248046875,-1073.34359599708,-1051.9439823133348,-1069.3703271484376,-1048.6049462890626,-1071.84408203125,-1047.3454248046876,-1065.10171500206,-1050.2792922592164,-1047.8348885064834,-1070.612880859375,-1047.5115625,-1048.8368798828126,-1071.4967674898528,-1047.2174894477878,-1070.219934799091
h,0.0,-1071.38857421875,-1047.329248046875,-1072.7835959970798,-1051.3839823133346,-1068.8103271484374,-1048.0449462890624,-1071.28408203125,-1046.7854248046874,-1064.5417150020598,-1049.7192922592162,-1047.2748885064832,-1070.052880859375,-1046.9515625,-1048.2768798828124,-1070.9367674898526,-1046.6574894477876,-1069.659934799091
i,0.0,-1070.36857421875,-1046.309248046875,-1071.7635959970798,-1050.3639823133346,-1067.7903271484374,-1047.0249462890624,-1070.26408203125,-1045.7654248046874,-1063.5217150020599,-1048.6992922592162,-1046.2548885064832,-1069.032880859375,-1045.9315625,-1047.2568798828124,-1069.9167674898526,-1045.6374894477876,-1068.639934799091
j,0.0,-1073.10857421875,-1049.049248046875,-1074.5035959970799,-1053.1039823133347,-1070.5303271484374,-1049.7649462890624,-1073.00408203125,-1048.5054248046874,-1066.2617150020599,-1051.4392922592162,-1048.9948885064832,-1071.772880859375,-1048.6715625,-1049.9968798828124,-1072.6567674898527,-1048.3774894477876,-1071.379934799091
k,0.0,-1073.53857421875,-1049.479248046875,-1074.93359599708,-1053.5339823133347,-1070.9603271484375,-1050.1949462890625,-1073.43408203125,-1048.9354248046875,-1066.69171500206,-1051.8692922592163,-1049.4248885064833,-1072.202880859375,-1049.1015625,-1050.4268798828125,-1073.0867674898527,-1048.8074894477877,-1071.809934799091
