,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.0,0.23507812500000003,0.2591259765625,-0.06281277934383067,0.4821913434773524,0.13705566406250003,0.12228515625000003,0.05429199218750003,0.06833007812500003,0.13380814969539645,0.29352360844612124,0.18815734863281253,0.10263183593750003,0.268037109375,0.3089306640625,0.08480812712312402,0.09933355926230436,0.15110690712961516
a2,0.0,0.1605126953125,0.1896875,-0.0255447213764819,0.22711337242641091,-0.06568359375,-0.019052734374999998,-0.01099609375,-0.028330078124999998,0.0743264912068843,0.11715743899345389,0.0591485595703125,0.0027978515625,0.089833984375,0.12279296875,-0.0471633139115874,-0.038333612740179795,-0.018801002548561797
b1,0.0,0.6272509765625,0.67009765625,0.1739755444408001,0.9278088647609547,0.40813476562499995,0.48101074218749995,0.38994628906249995,0.41851074218749995,0.2870140445232392,0.5619733703136444,0.5047991943357099,0.27532226562499995,0.57341796875,0.6670458984375,0.34789356429912,0.413946523755676,0.40016122647154606
b2,0.0,0.019501953125000027,0.06564453125000003,-0.2104793003795476,0.4971353924484264,-0.16580078124999997,-0.16140624999999997,0.03158691406250003,0.05160644531250003,0.028940389603376415,0.09145438551902774,0.07946899414039765,-0.14932128906249997,-0.015288085937499973,0.013032226562500027,-0.11262430070857588,-0.07025445422706977,-0.042807762325282994
b3,0.0,0.5745507812499999,0.6021386718749999,0.16574088587814,0.8373101937483258,0.435146484375,0.4245263671875,0.42220703125,0.4350244140625,0.41084917247295377,0.5605136787891387,0.4493371582028976,0.451015625,0.6128808593749999,0.6542626953124999,0.3418394400706893,0.3508824578313215,0.4283075835225281
c1,0.0,0.43245117187500004,0.47773925781250004,0.11549879433770915,0.7573687101775431,0.25288574218750004,0.22883789062500004,0.23665039062500004,0.21321289062500004,0.29393045425415043,0.43403686404228214,0.28705017089821017,0.28816406250000004,0.48042480468750004,0.5258349609375,0.25540963368159286,0.2518919286944038,0.2792958144142813
c2,0.0,0.892451171875,0.9376171875,0.5754987943379365,1.217368710177543,0.708369140625,0.6840771484375,0.6967724609375,0.673212890625,0.753932346701622,0.894092355966568,0.7470501708982101,0.7481640625,0.940302734375,0.9858349609375,0.7154096336815928,0.7118919286944038,0.739298090416587
d,0.0,-0.069912109375,-0.066982421875,-0.05759800746173831,-0.05731333282679771,-0.07259765625,-0.0492822265625,-0.1169091796875,-0.1278955078125,-0.0819904839992524,-0.0556148028373719,-0.0507470703125,-0.1232568359375,-0.08333984375,-0.0896875,-0.0665120205373205,-0.0632560555256169,-0.1278157462067248
e,0.0,-0.037714843750000004,-0.019404296875000004,0.029163765146331483,-0.003236891854958318,-0.0864208984375,-0.059443359375000004,-0.1315869140625,-0.128046875,-0.0510514724254609,0.0010698390007018999,-0.058695678710937504,-0.1743115234375,-0.0997265625,-0.0805615234375,-0.07183693465697621,-0.0729521681295228,-0.1276338225380915
f,0.0,0.04703125,0.08560546875,0.1057938258837475,-0.030856956736588406,0.059482421875,0.1142919921875,-0.03548828125,-0.0544091796875,0.0458879733085633,0.1230805778503418,0.0498236083984375,-0.08333984375,0.021274414062499997,0.0473974609375,0.0378033818709264,0.053879546559383096,-0.006672784540487503
g,0.0,0.24234375,0.25418457031249997,0.2957271572448371,0.1790951820010741,0.147861328125,0.187900390625,0.101962890625,0.1374853515625,0.1374217534065246,0.2179616355895996,0.1903265380859375,0.006503906249999997,0.1476171875,0.130283203125,0.10850395562109949,0.10658330189593469,0.08304530483982489
h,0.0,0.023779296875000022,0.05649414062500002,0.04286722577435287,-0.0057030763528928,0.011450195312500022,0.07395019531250002,-0.06459960937499998,-0.08950195312499998,0.03857894390821459,0.11775633096694949,-0.004739379882812478,-0.026757812499999978,0.03574218750000002,0.09677734375000002,0.01708420967534041,0.018282746947898,0.10346483198159151
i,0.0,0.006425781249999929,0.05513183593749993,0.300683508622269,0.0638356062071761,0.37227050781249993,0.21064941406249993,0.11067382812499993,0.04243652343749993,0.46399516433477395,0.4198077750205993,0.20660583496093743,0.12471191406249993,0.02595703124999993,0.02742187499999993,0.335617310764901,0.3145294299896888,0.17334330794930786
j,0.0,0.20990722656249994,0.25312011718749994,-0.4923050989066906,0.5264595138675576,-0.06426269531250006,-0.12505371093750006,-0.10356933593750006,-0.07012207031250006,-0.09304030954837805,0.25579377293586725,0.1409069824221023,-0.10344726562500006,0.23529785156249994,0.35443847656249994,-0.19113181743643515,-0.12187539765370281,-0.13786197389033084
k,0.0,-0.1346435546875,-0.050048828125,-0.5696131504732876,0.27611043479419095,-0.244873046875,-0.0074462890625,-0.186767578125,-0.1865234375,-0.26817605644464493,0.10651648044586182,0.050781250000227374,-0.4622802734375,0.0194091796875,0.09228515625,-0.15379786336575307,-0.13927532853767843,-0.2020055268087615
