,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.0,-1072.50857421875,-1048.449248046875,-1073.9035851204903,-1052.504306673509,-1069.9278857421875,-1049.164091796875,-1072.404326171875,-1047.9051806640625,-1065.6618103694916,-1050.8392846298218,-1048.394812212538,-1071.172880859375,-1048.0716845703125,-1049.3968798828125,-1072.0564900206525,-1047.7775051666683,-1070.7799431022845
a2,0.0,-1072.02857421875,-1047.969248046875,-1073.4235851204903,-1052.024306673509,-1069.4478857421875,-1048.684091796875,-1071.924326171875,-1047.4251806640625,-1065.1818103694916,-1050.3592846298218,-1047.914812212538,-1070.692880859375,-1047.5916845703125,-1048.9168798828125,-1071.5764900206525,-1047.2975051666683,-1070.2999431022845
b1,0.0,-1072.71857421875,-1048.659248046875,-1074.1135851204904,-1052.714306673509,-1070.1378857421876,-1049.374091796875,-1072.614326171875,-1048.1151806640626,-1065.8718103694916,-1051.0492846298218,-1048.604812212538,-1071.382880859375,-1048.2816845703126,-1049.6068798828126,-1072.2664900206526,-1047.9875051666684,-1070.9899431022845
b2,0.0,-1072.50857421875,-1048.449248046875,-1073.9035851204903,-1052.504306673509,-1069.9278857421875,-1049.164091796875,-1072.404326171875,-1047.9051806640625,-1065.6618103694916,-1050.8392846298218,-1048.394812212538,-1071.172880859375,-1048.0716845703125,-1049.3968798828125,-1072.0564900206525,-1047.7775051666683,-1070.7799431022845
b3,0.0,-1072.37857421875,-1048.319248046875,-1073.7735851204902,-1052.374306673509,-1069.7978857421874,-1049.034091796875,-1072.274326171875,-1047.7751806640624,-1065.5318103694915,-1050.7092846298217,-1048.264812212538,-1071.042880859375,-1047.9416845703124,-1049.2668798828124,-1071.9264900206524,-1047.6475051666682,-1070.6499431022844
c1,0.0,-1072.61857421875,-1048.559248046875,-1074.0135851204902,-1052.614306673509,-1070.0378857421874,-1049.274091796875,-1072.514326171875,-1048.0151806640624,-1065.7718103694915,-1050.9492846298217,-1048.504812212538,-1071.282880859375,-1048.1816845703124,-1049.5068798828124,-1072.1664900206524,-1047.8875051666682,-1070.8899431022844
c2,0.0,-1072.15857421875,-1048.099248046875,-1073.5535851204902,-1052.154306673509,-1069.5778857421874,-1048.814091796875,-1072.054326171875,-1047.5551806640624,-1065.3118103694915,-1050.4892846298217,-1048.0448122125379,-1070.822880859375,-1047.7216845703124,-1049.0468798828124,-1071.7064900206524,-1047.4275051666682,-1070.4299431022844
d,0.0,-1072.19857421875,-1048.139248046875,-1073.5935851204904,-1052.1943066735091,-1069.6178857421876,-1048.854091796875,-1072.094326171875,-1047.5951806640626,-1065.3518103694917,-1050.5292846298219,-1048.084812212538,-1070.862880859375,-1047.7616845703126,-1049.0868798828126,-1071.7464900206526,-1047.4675051666684,-1070.4699431022846
e,0.0,-1072.16857421875,-1048.109248046875,-1073.5635851204904,-1052.1643066735091,-1069.5878857421876,-1048.824091796875,-1072.064326171875,-1047.5651806640626,-1065.3218103694917,-1050.499284629822,-1048.054812212538,-1070.832880859375,-1047.7316845703126,-1049.0568798828126,-1071.7164900206526,-1047.4375051666684,-1070.4399431022846
f,0.0,-1071.94857421875,-1047.889248046875,-1073.3435851204904,-1051.9443066735091,-1069.3678857421876,-1048.604091796875,-1071.844326171875,-1047.3451806640626,-1065.1018103694917,-1050.2792846298219,-1047.834812212538,-1070.612880859375,-1047.5116845703126,-1048.8368798828126,-1071.4964900206526,-1047.2175051666684,-1070.2199431022846
g,0.0,-1071.94857421875,-1047.889248046875,-1073.3435851204904,-1051.9443066735091,-1069.3678857421876,-1048.604091796875,-1071.844326171875,-1047.3451806640626,-1065.1018103694917,-1050.2792846298219,-1047.834812212538,-1070.612880859375,-1047.5116845703126,-1048.8368798828126,-1071.4964900206526,-1047.2175051666684,-1070.2199431022846
h,0.0,-1071.38857421875,-1047.329248046875,-1072.7835851204902,-1051.384306673509,-1068.8078857421874,-1048.044091796875,-1071.284326171875,-1046.7851806640624,-1064.5418103694915,-1049.7192846298217,-1047.2748122125379,-1070.052880859375,-1046.9516845703124,-1048.2768798828124,-1070.9364900206524,-1046.6575051666682,-1069.6599431022844
i,0.0,-1070.36857421875,-1046.309248046875,-1071.7635851204902,-1050.364306673509,-1067.7878857421874,-1047.024091796875,-1070.264326171875,-1045.7651806640624,-1063.5218103694915,-1048.6992846298217,-1046.254812212538,-1069.032880859375,-1045.9316845703124,-1047.2568798828124,-1069.9164900206524,-1045.6375051666682,-1068.6399431022844
j,0.0,-1073.10857421875,-1049.049248046875,-1074.5035851204902,-1053.104306673509,-1070.5278857421874,-1049.764091796875,-1073.004326171875,-1048.5051806640624,-1066.2618103694915,-1051.4392846298217,-1048.994812212538,-1071.772880859375,-1048.6716845703124,-1049.9968798828124,-1072.6564900206524,-1048.3775051666682,-1071.3799431022844
k,0.0,-1073.53857421875,-1049.479248046875,-1074.9335851204903,-1053.534306673509,-1070.9578857421875,-1050.194091796875,-1073.434326171875,-1048.9351806640625,-1066.6918103694916,-1051.8692846298218,-1049.424812212538,-1072.202880859375,-1049.1016845703125,-1050.4268798828125,-1073.0864900206525,-1048.8075051666683,-1071.8099431022845
