,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.0,0.2334912109375,0.257783203125,0.061796941854227,0.482368398351382,0.1375439453125,0.1227734375,0.0545361328125,0.0684521484375,0.1334249514341354,0.2921868252754211,0.187440185546875,0.102998046875,0.26779296875,0.3081982421875,0.0831033629315516,0.0973424280944346,0.1500265518964443
a2,0.0,0.1600244140625,0.1887109375,0.0252398506624922,0.2275726058869713,0.0651953125,0.0185644531249999,0.010263671875,0.0288183593749999,0.0743571428954601,0.1158906018733978,0.0585382080078125,0.0027978515625,0.0899560546875,0.12181640625,0.0492120790352055,0.0410609738339553,0.0196887767376574
b1,0.0,0.626396484375,0.668876953125,0.1754055390093253,0.9287609700084613,0.4092333984374999,0.4823535156249999,0.3911669921874999,0.4185107421874999,0.2874553424119948,0.5596765351295471,0.5041430664060226,0.2756884765624999,0.574150390625,0.66521484375,0.3448502013696451,0.4094944822398428,0.3987634203418292
b2,0.0,0.0181591796875,0.06369140625,0.2092586129910796,0.4983538474866964,0.1639697265624999,0.1603076171874999,0.0323193359375,0.0513623046875,0.0291944693028927,0.0888437616825104,0.0784771728513351,0.1493212890624999,0.0150439453124999,0.01095703125,0.1162233196721171,0.0746258871160716,0.0443993052080895
b3,0.0,0.5724755859374999,0.5999414062499999,0.1671431195935929,0.8384797759564753,0.4369775390625,0.4255029296875,0.4226953125,0.43490234375,0.4112843161821365,0.5578711664676665,0.4488793945310226,0.4508935546875,0.6131249999999999,0.6524316406249999,0.3386950943007923,0.3457093931218969,0.4260760174742335
c1,0.0,0.43123046875,0.475419921875,0.1166422620109824,0.7580715108330603,0.253984375,0.229814453125,0.2379931640625,0.2128466796875,0.2942651045322418,0.4317292404174805,0.2861651611325851,0.2885302734375,0.4806689453125,0.52400390625,0.2518271535363238,0.2466792128117686,0.2771462519510078
c2,0.0,0.8911083984375,0.935419921875,0.5766422620112098,1.2180715108330604,0.7094677734375,0.6850537109375,0.6979931640625,0.6728466796875,0.754268651008606,0.8917295980453491,0.7461346435544601,0.7485302734375,0.9406689453125,0.98400390625,0.7118271535363238,0.7066792128117686,0.7371602906592943
d,0.0,0.0691796875,0.066005859375,0.058335740327866,0.05684326321958,0.071376953125,0.0485498046875,0.116298828125,0.127529296875,0.0821197366714478,0.0550296640396119,0.0508843994140625,0.1225244140625,0.082607421875,0.089443359375,0.0666482448422449,0.0631472390929594,0.1272005801708111
e,0.0,0.0372265625,0.018671875,0.0284972233335975,0.0030525605342336,0.085078125,0.0588330078125,0.1309765625,0.1276806640625,0.0512503135204316,0.0014111948013305,0.0588330078125,0.173701171875,0.0991162109375,0.0801953125,0.0716392020607419,0.0731044291468425,0.126936705043936
f,0.0,0.047763671875,0.0867041015625,0.1049780458029907,0.0305420786438935,0.060703125,0.1150244140625,0.035,0.05404296875,0.0457317197322846,0.1234925055503844,0.049686279296875,0.082607421875,0.0220068359374999,0.047763671875,0.0377933600323922,0.0537089861921595,0.0061393489035344
g,0.0,0.2429541015625,0.2550390624999999,0.2953082568193076,0.1795880668178961,0.14908203125,0.1885107421875,0.1025732421875,0.1377294921875,0.1376244390010833,0.2185763978958129,0.1900823974609375,0.0071142578124999,0.148349609375,0.130771484375,0.1082971056510723,0.1064525440864053,0.083686527593809
h,0.0,0.0243896484375,0.0573486328125,0.0421210615897053,0.0054661045665852,0.0126708984375,0.0746826171875,0.0639892578124999,0.0892578124999999,0.0384211108088493,0.1181120812892914,0.0050292968749999,0.0260253906249999,0.0363525390625,0.0971435546875,0.0170037561610115,0.0183567589112044,0.1038932783170821
i,0.0,0.0069140624999999,0.0559863281249999,0.2998903214428718,0.0641364134650483,0.3732470703124999,0.2111376953124999,0.1112841796874999,0.0426806640624999,0.4639608469605445,0.4204616677761077,0.2063616943359374,0.1231249999999999,0.0240039062499999,0.0208300781249999,0.335508467311838,0.3143396591121199,0.1738884807445355
j,0.0,0.2100292968749999,0.2532421874999999,0.4920382177065858,0.5273144917065837,0.0621875,0.123466796875,0.1022265625,0.070244140625,0.0925576758384704,0.2551712322235107,0.14052551269554,0.1023486328125,0.2359082031249999,0.3537060546874999,0.19273316032406,0.124211974501186,0.1385730982281712
k,0.0,0.13427734375,0.04931640625,0.5687577788551152,0.2773234264914208,0.24267578125,0.0057373046875,0.1849365234375,0.18603515625,0.2674664333462715,0.1061002314090728,0.05073547363304,0.4610595703125,0.0208740234375,0.0921630859375,0.1548158511341171,0.1413279223459083,0.2020371835915284
