,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.0,-1072.5090625,-1048.44705078125,-1073.9023600667567,-1052.5042521549817,-1069.9278857421875,-1049.16384765625,-1072.40408203125,-1047.9051806640625,-1065.661701412201,-1050.840329618454,-1048.3949037652724,-1071.172880859375,-1048.071806640625,-1049.39724609375,-1072.058026532314,-1047.7790635568836,-1070.780753152626
a2,0.0,-1072.0290625,-1047.96705078125,-1073.4223600667567,-1052.0242521549817,-1069.4478857421875,-1048.68384765625,-1071.92408203125,-1047.4251806640625,-1065.181701412201,-1050.360329618454,-1047.9149037652724,-1070.692880859375,-1047.591806640625,-1048.91724609375,-1071.578026532314,-1047.2990635568835,-1070.300753152626
b1,0.0,-1072.7190625,-1048.65705078125,-1074.1123600667568,-1052.7142521549818,-1070.1378857421876,-1049.37384765625,-1072.61408203125,-1048.1151806640626,-1065.871701412201,-1051.050329618454,-1048.6049037652724,-1071.382880859375,-1048.281806640625,-1049.60724609375,-1072.268026532314,-1047.9890635568836,-1070.990753152626
b2,0.0,-1072.5090625,-1048.44705078125,-1073.9023600667567,-1052.5042521549817,-1069.9278857421875,-1049.16384765625,-1072.40408203125,-1047.9051806640625,-1065.661701412201,-1050.840329618454,-1048.3949037652724,-1071.172880859375,-1048.071806640625,-1049.39724609375,-1072.058026532314,-1047.7790635568836,-1070.780753152626
b3,0.0,-1072.3790625,-1048.31705078125,-1073.7723600667566,-1052.3742521549816,-1069.7978857421874,-1049.03384765625,-1072.27408203125,-1047.7751806640624,-1065.5317014122008,-1050.710329618454,-1048.2649037652723,-1071.042880859375,-1047.941806640625,-1049.26724609375,-1071.9280265323139,-1047.6490635568834,-1070.6507531526258
c1,0.0,-1072.6190625,-1048.55705078125,-1074.0123600667566,-1052.6142521549816,-1070.0378857421874,-1049.27384765625,-1072.51408203125,-1048.0151806640624,-1065.7717014122009,-1050.950329618454,-1048.5049037652723,-1071.282880859375,-1048.181806640625,-1049.50724609375,-1072.168026532314,-1047.8890635568835,-1070.8907531526258
c2,0.0,-1072.1590625,-1048.09705078125,-1073.5523600667566,-1052.1542521549816,-1069.5778857421874,-1048.81384765625,-1072.05408203125,-1047.5551806640624,-1065.3117014122008,-1050.4903296184539,-1048.0449037652722,-1070.822880859375,-1047.721806640625,-1049.04724609375,-1071.7080265323139,-1047.4290635568834,-1070.4307531526258
d,0.0,-1072.1990625,-1048.13705078125,-1073.5923600667568,-1052.1942521549818,-1069.6178857421876,-1048.85384765625,-1072.09408203125,-1047.5951806640626,-1065.351701412201,-1050.530329618454,-1048.0849037652724,-1070.862880859375,-1047.761806640625,-1049.08724609375,-1071.748026532314,-1047.4690635568836,-1070.470753152626
e,0.0,-1072.1690625,-1048.10705078125,-1073.5623600667568,-1052.1642521549818,-1069.5878857421876,-1048.82384765625,-1072.06408203125,-1047.5651806640626,-1065.321701412201,-1050.500329618454,-1048.0549037652725,-1070.832880859375,-1047.731806640625,-1049.05724609375,-1071.718026532314,-1047.4390635568836,-1070.440753152626
f,0.0,-1071.9490625,-1047.88705078125,-1073.3423600667568,-1051.9442521549818,-1069.3678857421876,-1048.60384765625,-1071.84408203125,-1047.3451806640626,-1065.101701412201,-1050.280329618454,-1047.8349037652724,-1070.612880859375,-1047.511806640625,-1048.83724609375,-1071.498026532314,-1047.2190635568836,-1070.220753152626
g,0.0,-1071.9490625,-1047.88705078125,-1073.3423600667568,-1051.9442521549818,-1069.3678857421876,-1048.60384765625,-1071.84408203125,-1047.3451806640626,-1065.101701412201,-1050.280329618454,-1047.8349037652724,-1070.612880859375,-1047.511806640625,-1048.83724609375,-1071.498026532314,-1047.2190635568836,-1070.220753152626
h,0.0,-1071.3890625,-1047.32705078125,-1072.7823600667566,-1051.3842521549816,-1068.8078857421874,-1048.04384765625,-1071.28408203125,-1046.7851806640624,-1064.5417014122008,-1049.720329618454,-1047.2749037652723,-1070.052880859375,-1046.951806640625,-1048.27724609375,-1070.9380265323139,-1046.6590635568834,-1069.6607531526258
i,0.0,-1070.3690625,-1046.30705078125,-1071.7623600667566,-1050.3642521549816,-1067.7878857421874,-1047.02384765625,-1070.26408203125,-1045.7651806640624,-1063.5217014122009,-1048.700329618454,-1046.2549037652723,-1069.032880859375,-1045.931806640625,-1047.25724609375,-1069.918026532314,-1045.6390635568835,-1068.6407531526258
j,0.0,-1073.1090625,-1049.04705078125,-1074.5023600667566,-1053.1042521549816,-1070.5278857421874,-1049.76384765625,-1073.00408203125,-1048.5051806640624,-1066.2617014122009,-1051.440329618454,-1048.9949037652723,-1071.772880859375,-1048.671806640625,-1049.99724609375,-1072.658026532314,-1048.3790635568835,-1071.3807531526259
k,0.0,-1073.5390625,-1049.47705078125,-1074.9323600667567,-1053.5342521549817,-1070.9578857421875,-1050.19384765625,-1073.43408203125,-1048.9351806640625,-1066.691701412201,-1051.870329618454,-1049.4249037652723,-1072.202880859375,-1049.101806640625,-1050.42724609375,-1073.088026532314,-1048.8090635568835,-1071.810753152626
