mlip,fmax_1e-2_ucf,fmax_1e-2_frech,fmax_0.5e-3_ucf,fmax_0.5e-3_frech
dft,0,0,0,0
ompa-mpa,0.053352322,0.053406576,0.053433702,0.053487956
ompa-omat24,0.054423828,0.054410265,0.054450955,0.054423828
mace-mpa,0.111314771,0.111306614,0.111325712,0.111327011
mace-omat,0.105309334,0.1052972,0.105267312,0.10527054
orb-mpa,0.055837457,0.055918837,0.05605447,0.056176541
orb-omat,0.063267144,0.063199327,0.063185764,0.063172201
esen-oam,0.056041016,0.055973199,0.056312283,0.05633941
esen-omat,0.034280924,0.034416558,0.034470812,0.034389431
dpa-mp,0.06674809,0.06676113,0.066742295,0.066750448
dpa-omat,0.062568224,0.062591039,0.062687798,0.062682605
uma-omat,0.026182983,0.026162638,0.026043959,0.025996487
omni-mpa,0.052999674,0.052958984,0.052986111,0.052986111
omni-omat24,0.054939236,0.054898546,0.054952799,0.054966363
omni-matpes_pbe,0.074607964,0.074567274,0.074710069,0.074737196
grace-oam,0.0620119,0.061914782,0.061935648,0.061969377
grace-omat,0.065380671,0.065277489,0.065233045,0.065234673
nequip-oam,0.039716214,0.039665118,0.039793604,0.039717973
