,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.0,0.235078125,0.2591259765625,0.0628127793438306,0.4821913434773524,0.1370556640625,0.12228515625,0.0542919921875,0.068330078125,0.1338081496953964,0.2935236084461212,0.1881573486328125,0.1026318359375,0.268037109375,0.3089306640625,0.084808127123124,0.0993335592623043,0.1511069071296151
a2,0.0,0.1605126953125,0.1896875,0.0255447213764819,0.2271133724264109,0.06568359375,0.0190527343749999,0.01099609375,0.0283300781249999,0.0743264912068843,0.1171574389934538,0.0591485595703125,0.0027978515625,0.089833984375,0.12279296875,0.0471633139115874,0.0383336127401797,0.0188010025485617
b1,0.0,0.6272509765625,0.67009765625,0.1739755444408001,0.9278088647609548,0.4081347656249999,0.4810107421874999,0.3899462890624999,0.4185107421874999,0.2870140445232392,0.5619733703136444,0.5047991943357099,0.2753222656249999,0.57341796875,0.6670458984375,0.34789356429912,0.413946523755676,0.400161226471546
b2,0.0,0.019501953125,0.06564453125,0.2104793003795476,0.4971353924484264,0.1658007812499999,0.1614062499999999,0.0315869140625,0.0516064453125,0.0289403896033764,0.0914543855190277,0.0794689941403976,0.1493212890624999,0.0152880859374999,0.0130322265625,0.1126243007085758,0.0702544542270697,0.0428077623252829
b3,0.0,0.5745507812499999,0.6021386718749999,0.16574088587814,0.8373101937483258,0.435146484375,0.4245263671875,0.42220703125,0.4350244140625,0.4108491724729537,0.5605136787891387,0.4493371582028976,0.451015625,0.6128808593749999,0.6542626953124999,0.3418394400706893,0.3508824578313215,0.4283075835225281
c1,0.0,0.432451171875,0.4777392578125,0.1154987943377091,0.7573687101775431,0.2528857421875,0.228837890625,0.236650390625,0.213212890625,0.2939304542541504,0.4340368640422821,0.2870501708982101,0.2881640625,0.4804248046875,0.5258349609375,0.2554096336815928,0.2518919286944038,0.2792958144142813
c2,0.0,0.892451171875,0.9376171875,0.5754987943379365,1.217368710177543,0.708369140625,0.6840771484375,0.6967724609375,0.673212890625,0.753932346701622,0.894092355966568,0.7470501708982101,0.7481640625,0.940302734375,0.9858349609375,0.7154096336815928,0.7118919286944038,0.739298090416587
d,0.0,0.069912109375,0.066982421875,0.0575980074617383,0.0573133328267977,0.07259765625,0.0492822265625,0.1169091796875,0.1278955078125,0.0819904839992524,0.0556148028373719,0.0507470703125,0.1232568359375,0.08333984375,0.0896875,0.0665120205373205,0.0632560555256169,0.1278157462067248
e,0.0,0.03771484375,0.019404296875,0.0291637651463314,0.0032368918549583,0.0864208984375,0.059443359375,0.1315869140625,0.128046875,0.0510514724254609,0.0010698390007018,0.0586956787109375,0.1743115234375,0.0997265625,0.0805615234375,0.0718369346569762,0.0729521681295228,0.1276338225380915
f,0.0,0.04703125,0.08560546875,0.1057938258837475,0.0308569567365884,0.059482421875,0.1142919921875,0.03548828125,0.0544091796875,0.0458879733085633,0.1230805778503418,0.0498236083984375,0.08333984375,0.0212744140624999,0.0473974609375,0.0378033818709264,0.053879546559383,0.0066727845404875
g,0.0,0.24234375,0.2541845703124999,0.2957271572448371,0.1790951820010741,0.147861328125,0.187900390625,0.101962890625,0.1374853515625,0.1374217534065246,0.2179616355895996,0.1903265380859375,0.0065039062499999,0.1476171875,0.130283203125,0.1085039556210994,0.1065833018959346,0.0830453048398248
h,0.0,0.023779296875,0.056494140625,0.0428672257743528,0.0057030763528928,0.0114501953125,0.0739501953125,0.0645996093749999,0.0895019531249999,0.0385789439082145,0.1177563309669494,0.0047393798828124,0.0267578124999999,0.0357421875,0.09677734375,0.0170842096753404,0.018282746947898,0.1034648319815915
i,0.0,0.0064257812499999,0.0551318359374999,0.300683508622269,0.0638356062071761,0.3722705078124999,0.2106494140624999,0.1106738281249999,0.0424365234374999,0.4639951643347739,0.4198077750205993,0.2066058349609374,0.1247119140624999,0.0259570312499999,0.0274218749999999,0.335617310764901,0.3145294299896888,0.1733433079493078
j,0.0,0.2099072265624999,0.2531201171874999,0.4923050989066906,0.5264595138675576,0.0642626953125,0.1250537109375,0.1035693359375,0.0701220703125,0.093040309548378,0.2557937729358672,0.1409069824221023,0.103447265625,0.2352978515624999,0.3544384765624999,0.1911318174364351,0.1218753976537028,0.1378619738903308
k,0.0,0.1346435546875,0.050048828125,0.5696131504732876,0.2761104347941909,0.244873046875,0.0074462890625,0.186767578125,0.1865234375,0.2681760564446449,0.1065164804458618,0.0507812500002273,0.4622802734375,0.0194091796875,0.09228515625,0.153797863365753,0.1392753285376784,0.2020055268087615
Co,0.0,0.008025390625,0.0120537109375,0.0394495503486432,0.0361536180854437,0.0379326171875,0.001677734375,0.02194140625,0.0054619140625,0.0035934619903564,0.014058964729309,0.0066688232419601,0.017302734375,0.013396484375,0.0171806640625,0.0089278120775652,0.0062110899599538,0.0238210155693032
Cr,0.0,0.0983749999999999,0.0923935546874999,0.2412588137517232,0.2365068675589683,0.019056640625,0.0640732421874999,0.1063369140625,0.0189345703125,0.27558127784729,0.2075018062591553,0.0164200439455398,0.1037460937499999,0.0878769531249999,0.1931015625,0.1900268597184677,0.1802965809133312,0.0184343724815462
Cu,0.0,0.112455078125,0.112455078125,0.1201159895982947,0.0397489428491062,0.1147744140625,0.0823037109375,0.088529296875,0.0803505859375,0.0307046852111816,0.0440197668075562,0.0441872558596024,0.128080078125,0.0969521484375,0.0868203125,0.1030429879150651,0.107795435756676,0.1290501487138918
Mn,0.0,0.0022177734375,0.001607421875,0.0262205947570274,0.0781741123394605,0.110982421875,0.0727744140625,0.0905966796875,0.0764365234375,0.0322231092453003,0.0191373863220215,0.052876953125,0.006734375,0.005025390625,0.013041015625,0.0440284159233707,0.0411543247469618,0.0067630592918211
Mo,0.0,0.0918193359375,0.0859599609375,0.1425060704663811,0.165255780687814,0.009666015625,0.1406474609375,0.0273212890624999,0.0201640625,0.0923045177459717,0.0884778995513916,0.036368896484375,0.134421875,0.1328349609375,0.2036357421875,0.0893301981754594,0.0931130163198323,0.0606512729197694
