,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.0,0.233369140625,0.2613232421875,0.0618072800091067,0.4820257851629594,0.137177734375,0.1226513671875,0.0544140625,0.06857421875,0.1332889634370804,0.2919222104549408,0.1875775146484375,0.102998046875,0.2674267578125,0.30880859375,0.0828886050230994,0.0979026174020691,0.14991383813438
a2,0.0,0.1597802734375,0.191640625,0.0252610837769588,0.2272156135375189,0.0655615234375,0.0186865234374999,0.0106298828125,0.0286962890624999,0.0744791983067988,0.1156693494319914,0.0589349365234375,0.0027978515625,0.0897119140625,0.122548828125,0.0494777464798426,0.040513993974846,0.0196594513501986
b1,0.0,0.6262744140625,0.674736328125,0.1753750096896237,0.9280668875868012,0.4086230468749999,0.4819873046874999,0.3908007812499999,0.4186328124999999,0.2872215282917023,0.559294946193695,0.5043414306638351,0.2756884765624999,0.573662109375,0.66619140625,0.3443993285280339,0.410602806504421,0.3985312061027523
b2,0.0,0.018037109375,0.0696728515625,0.209291652789916,0.497654996142528,0.1647021484374999,0.1606738281249999,0.031953125,0.0516064453125,0.0289495389163494,0.088455616235733,0.0786602783200851,0.1490771484374999,0.0155322265624999,0.012177734375,0.1166751128200485,0.0737297360621778,0.0446439896502124
b3,0.0,0.5724755859374999,0.6058007812499999,0.1671447724510562,0.8378592548100732,0.4360009765625,0.42513671875,0.4223291015625,0.435146484375,0.4110327994823455,0.5574943757057189,0.4489862060544601,0.450771484375,0.6127587890624999,0.6537744140624999,0.3382465507840242,0.3468820456588764,0.4258452491525622
c1,0.0,0.4311083984375,0.481279296875,0.1166135533880333,0.7573720484526077,0.2533740234375,0.2294482421875,0.237626953125,0.2130908203125,0.2940318417549133,0.4313503038883209,0.2863635253903976,0.2885302734375,0.4801806640625,0.5253466796875,0.2513767271401957,0.247793118147838,0.2768668536941004
c2,0.0,0.8911083984375,0.941279296875,0.5766135533882607,1.2173720484526078,0.708857421875,0.6845654296875,0.697626953125,0.6730908203125,0.7540254640579224,0.8913493502140043,0.7463024902341476,0.7485302734375,0.9401806640625,0.985224609375,0.7113767271401957,0.7077931181480653,0.7368879143576851
d,0.0,0.069423828125,0.06625,0.0583466702402439,0.0568918391537955,0.07162109375,0.0483056640625,0.116298828125,0.127529296875,0.082217458486557,0.0554105973243714,0.0505487060546875,0.122646484375,0.082607421875,0.08919921875,0.06665317159187,0.0630421463512539,0.1275236605087321
e,0.0,0.037470703125,0.018916015625,0.0285268079654723,0.0030691960188324,0.0854443359375,0.0587109375,0.1308544921875,0.127802734375,0.0513165938854218,0.0010599446296691,0.05840576171875,0.17345703125,0.098994140625,0.079951171875,0.0718332606410332,0.0729617196487925,0.1273986539366706
f,0.0,0.0473974609375,0.086337890625,0.105016919791833,0.030464133391124,0.060703125,0.1152685546875,0.0348779296875,0.05404296875,0.0457098895311356,0.1234672331809997,0.0500677490234375,0.0827294921875,0.0220068359374999,0.0480078125,0.0377098248655694,0.0542246919609078,0.0062984850461906
g,0.0,0.2427099609375,0.2550390624999999,0.295285462470556,0.179571879751702,0.148837890625,0.1887548828125,0.1026953125,0.1378515625,0.1377624833583831,0.2180306577682495,0.1905401611328125,0.0069921874999999,0.1484716796875,0.131015625,0.108360402476901,0.1065646667110195,0.0835033298822873
h,0.0,0.0241455078125,0.0571044921875,0.0421509648928349,0.0054425583556166,0.012548828125,0.075048828125,0.0638671874999999,0.0892578124999999,0.0383565738797188,0.1178387641906738,0.0044799804687499,0.0262695312499999,0.0363525390625,0.097509765625,0.0169598744418181,0.0182889481970051,0.1037520312451306
i,0.0,0.0066699218749999,0.0557421874999999,0.3000307108240303,0.0642401000847439,0.3731249999999999,0.2113818359374999,0.1114062499999999,0.0428027343749999,0.4638850447535516,0.4199305009841918,0.2068957519531249,0.1231249999999999,0.0238818359374999,0.0285205078124999,0.335432678452362,0.3145142419870534,0.1737895641139584
