,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.47,0.705078125,0.7291259765625,0.4071872206561693,0.9521913434773523,0.6070556640625,0.59228515625,0.5242919921875,0.538330078125,0.6038081496953964,0.7635236084461212,0.6581573486328125,0.5726318359375,0.738037109375,0.7789306640625,0.554808127123124,0.5693335592623043,0.6211069071296151
a2,-0.01,0.1505126953125,0.1796875,-0.0355447213764819,0.2171133724264109,-0.07568359375,-0.029052734375,-0.02099609375,-0.038330078125,0.0643264912068843,0.1071574389934539,0.0491485595703125,-0.0072021484375,0.079833984375,0.11279296875,-0.0571633139115874,-0.0483336127401798,-0.0288010025485618
b1,0.68,1.3072509765625,1.35009765625,0.8539755444408001,1.6078088647609547,1.088134765625,1.1610107421875,1.0699462890625,1.0985107421875,0.9670140445232392,1.2419733703136444,1.18479919433571,0.955322265625,1.25341796875,1.3470458984375,1.02789356429912,1.093946523755676,1.080161226471546
b2,0.47,0.489501953125,0.53564453125,0.2595206996204524,0.9671353924484264,0.30419921875,0.30859375,0.5015869140625,0.5216064453125,0.4989403896033764,0.5614543855190277,0.5494689941403976,0.3206787109375,0.4547119140625,0.4830322265625,0.3573756992914241,0.3997455457729302,0.427192237674717
b3,0.34,0.91455078125,0.942138671875,0.50574088587814,1.177310193748326,0.775146484375,0.7645263671875,0.76220703125,0.7750244140625,0.7508491724729538,0.9005136787891388,0.7893371582028976,0.791015625,0.952880859375,0.9942626953125,0.6818394400706893,0.6908824578313215,0.7683075835225281
c1,0.58,1.012451171875,1.0577392578125,0.6954987943377091,1.337368710177543,0.8328857421875,0.808837890625,0.816650390625,0.793212890625,0.8739304542541504,1.014036864042282,0.8670501708982101,0.8681640625,1.0604248046875,1.1058349609375,0.8354096336815928,0.8318919286944038,0.8592958144142813
c2,0.12,1.012451171875,1.0576171875,0.6954987943379365,1.337368710177543,0.828369140625,0.8040771484375,0.8167724609375,0.793212890625,0.873932346701622,1.014092355966568,0.8670501708982101,0.8681640625,1.060302734375,1.1058349609375,0.8354096336815928,0.8318919286944038,0.859298090416587
d,0.16,0.090087890625,0.093017578125,0.1024019925382617,0.1026866671732023,0.08740234375,0.1107177734375,0.0430908203125,0.0321044921875,0.0780095160007476,0.1043851971626281,0.1092529296875,0.0367431640625,0.07666015625,0.0703125,0.0934879794626795,0.0967439444743831,0.0321842537932752
e,0.13,0.09228515625,0.110595703125,0.1591637651463315,0.1267631081450417,0.0435791015625,0.070556640625,-0.0015869140625,0.001953125,0.0789485275745391,0.1310698390007019,0.0713043212890625,-0.0443115234375,0.0302734375,0.0494384765625,0.0581630653430238,0.0570478318704772,0.0023661774619085
f,-0.09,-0.04296875,-0.00439453125,0.0157938258837475,-0.1208569567365884,-0.030517578125,0.0242919921875,-0.12548828125,-0.1444091796875,-0.0441120266914367,0.0330805778503418,-0.0401763916015625,-0.17333984375,-0.0687255859375,-0.0426025390625,-0.0521966181290736,-0.0361204534406169,-0.0966727845404875
g,-0.09,0.15234375,0.1641845703125,0.2057271572448371,0.0890951820010741,0.057861328125,0.097900390625,0.011962890625,0.0474853515625,0.0474217534065246,0.1279616355895996,0.1003265380859375,-0.08349609375,0.0576171875,0.040283203125,0.0185039556210995,0.0165833018959347,-0.0069546951601751
h,-0.65,-0.626220703125,-0.593505859375,-0.6071327742256472,-0.6557030763528928,-0.6385498046875,-0.5760498046875,-0.714599609375,-0.739501953125,-0.6114210560917854,-0.5322436690330505,-0.6547393798828125,-0.6767578125,-0.6142578125,-0.55322265625,-0.6329157903246596,-0.631717253052102,-0.5465351680184085
i,-1.67,-1.66357421875,-1.6148681640625,-1.369316491377731,-1.6061643937928238,-1.2977294921875,-1.4593505859375,-1.559326171875,-1.6275634765625,-1.206004835665226,-1.2501922249794006,-1.4633941650390625,-1.5452880859375,-1.64404296875,-1.642578125,-1.334382689235099,-1.3554705700103111,-1.496656692050692
j,1.07,1.2799072265625,1.3231201171875,0.5776949010933095,1.5964595138675577,1.0057373046875,0.9449462890625,0.9664306640625,0.9998779296875,0.976959690451622,1.3257937729358673,1.2109069824221024,0.966552734375,1.3052978515625,1.4244384765625,0.8788681825635649,0.9481246023462973,0.9321380261096692
k,1.5,1.3653564453125,1.449951171875,0.9303868495267124,1.776110434794191,1.255126953125,1.4925537109375,1.313232421875,1.3134765625,1.231823943555355,1.6065164804458618,1.5507812500002274,1.0377197265625,1.5194091796875,1.59228515625,1.346202136634247,1.3607246714623216,1.2979944731912385
Co,-0.043,-0.051025390625,-0.0550537109375,-0.0035504496513567,-0.0068463819145563,-0.0809326171875,-0.044677734375,-0.06494140625,-0.0484619140625,-0.0394065380096435,-0.0289410352706909,-0.0363311767580398,-0.060302734375,-0.056396484375,-0.0601806640625,-0.0519278120775652,-0.0492110899599538,-0.0668210155693032
Cr,-0.239,-0.140625,-0.1466064453125,0.0022588137517232,-0.0024931324410317,-0.258056640625,-0.1749267578125,-0.3453369140625,-0.2579345703125,0.03658127784729,-0.0314981937408447,-0.2225799560544601,-0.13525390625,-0.151123046875,-0.0458984375,-0.0489731402815323,-0.0587034190866688,-0.2205656275184537
Cu,0.246,0.133544921875,0.133544921875,0.1258840104017053,0.2062510571508937,0.1312255859375,0.1636962890625,0.157470703125,0.1656494140625,0.2152953147888183,0.2019802331924438,0.2018127441403976,0.117919921875,0.1490478515625,0.1591796875,0.1429570120849348,0.138204564243324,0.1169498512861082
Mn,0.079,0.0767822265625,0.077392578125,0.0527794052429726,0.0008258876605395,-0.031982421875,0.0062255859375,-0.0115966796875,0.0025634765625,0.0467768907546997,0.0598626136779785,0.026123046875,0.072265625,0.073974609375,0.092041015625,0.0349715840766293,0.0378456752530382,0.0857630592918212
Mo,-0.277,-0.1851806640625,-0.1910400390625,-0.1344939295336189,-0.111744219312186,-0.267333984375,-0.1363525390625,-0.3043212890625,-0.2568359375,-0.1846954822540283,-0.1885221004486084,-0.240631103515625,-0.142578125,-0.1441650390625,-0.0733642578125,-0.1876698018245406,-0.1838869836801677,-0.2163487270802306
Nb,-0.381,-0.357666015625,-0.3563232421875,-0.3191831965098117,-0.2010689359858588,-0.3682861328125,-0.3270263671875,-0.396240234375,-0.3309326171875,-0.3040416240692138,-0.3081603050231933,-0.3302764892580399,-0.322998046875,-0.3243408203125,-0.29931640625,-0.4030514410940213,-0.413735574572911,-0.3705305097689688
Ni,0.02,0.03173828125,0.03271484375,0.0764233888326089,0.121313226412667,0.037353515625,0.06494140625,-0.022705078125,0.01123046875,0.0207932591438293,0.0501333475112915,0.0290832519528976,0.02783203125,0.04248046875,0.05419921875,0.0361661934616677,0.0451146958130266,0.0504189134230728
Ti,-0.246,-0.3331298828125,-0.334228515625,-0.4701991481019831,-0.2494454271102313,-0.350341796875,-0.31396484375,-0.299560546875,-0.27392578125,-0.2979803085327148,-0.2707410082221031,-0.248199462890625,-0.26318359375,-0.2830810546875,-0.28857421875,-0.2889670412450869,-0.2994484133603237,-0.314234593516403
V,-0.233,-0.27880859375,-0.29296875,-0.1430589521326055,-0.1261232308602302,-0.3106689453125,-0.2733154296875,-0.2935791015625,-0.255126953125,-0.1964583396911621,-0.1697196960449218,-0.2171325683596023,-0.236572265625,-0.2752685546875,-0.233154296875,-0.2738798831826443,-0.280228269365125,-0.2432995657584342
