mlip,fmax_1e-2_ucf,fmax_1e-2_frech,fmax_0.5e-3_ucf,fmax_0.5e-3_frech
dft,0,0,0,0
ompa-mpa,0.17435201,0.174428304,0.174769084,0.174784342
ompa-omat24,0.189900716,0.188410441,0.188878377,0.188858032
mace-mpa,0.176003947,0.175992282,0.176051415,0.176044853
mace-omat,0.293288592,0.293484159,0.293179725,0.293383887
orb-mpa,0.155618001,0.155694295,0.155699382,0.155322998
orb-omat,0.146654867,0.146629435,0.146578573,0.146451416
esen-oam,0.133219971,0.133250488,0.133367472,0.133474284
esen-omat,0.126336589,0.12636202,0.126453573,0.126351847
dpa-mp,0.156807504,0.156843018,0.156817661,0.156885703
dpa-omat,0.1997758,0.199983419,0.200605962,0.200537465
uma-omat,0.137492544,0.137390818,0.137584732,0.13744486
omni-mpa,0.149745687,0.149745687,0.149954224,0.149964396
omni-omat24,0.17261495,0.17269633,0.172630208,0.172686157
omni-matpes_pbe,0.202800171,0.202072835,0.202874064,0.202960531
grace-oam,0.143238078,0.14322544,0.143535681,0.143491748
grace-omat,0.141979526,0.141822438,0.142261077,0.142269408
nequip-oam,0.140549571,0.140525078,0.140823505,0.14078223
