config,E_bind,E_FeVac,n_FeVac,E_FeC,n_FeC,E_Fe,n_Fe,E_FeCVac,n_FeCVac,n_carbon,n_vacancy,opt_step,force_cnv
# FeC: energy:-602.655746051846, opt_steps: 273, force_cnv: True
b3,-0.9184741095615436,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-593.7550853864094,127,1,2,301,True
i,6.608450264764883,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-614.1249807955809,130,2,0,2513,True
j,3.267254530217315,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-606.7926917830957,129,2,1,380,True
k,6.988282011849265,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-610.5137192647277,129,2,1,670,True
# FeC: energy:-602.655746051846, opt_steps: 273, force_cnv: True
a1,-3.327480828701141,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-595.3371719452074,128,1,1,1647,True
a2,0.03656049483242896,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-598.701213268741,128,1,1,281,True
b1,-0.9517225194097136,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-593.7218369765612,127,1,2,786,True
b2,-0.04783441743188632,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-594.6257250785391,127,1,2,351,True
b3,-0.9184713183867643,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-593.7550881775842,127,1,2,300,True
c1,4.393798427689035,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-599.06735792366,127,1,2,640,True
c2,4.393796724742856,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-599.0673562207138,127,1,2,566,True
d,3.9555771920463485,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-611.4721077228623,130,2,0,266,True
e,3.132077932706011,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-610.648608463522,130,2,0,434,True
f,8.830279196493848,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-616.3468097273098,130,2,0,671,True
g,7.0041726775833695,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-614.5207032083994,130,2,0,3000,True
h,10.422424356031911,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-617.9389548868479,130,2,0,744,True
i,14.298112597307409,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-621.8146431281234,130,2,0,3000,True
j,4.032479674981346,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-607.5579169278598,129,2,1,527,True
k,6.988294851528394,-593.8038682949385,127,-602.655746051846,129,-597.794961572876,128,-610.5137321044068,129,2,1,674,True
