DFT,ompa-mpa,ompa-omat,MACE-mpa,MACE-omat,ORB-mpa,ORB-omat,eSEN-oam,eSEN-omat,DPA-mp,DPA-omat,UMA-omc,UMA-omat,omni-mpa,omni-omat,omni-matpes_pbe,ompa-mpa_delta,ompa-omat_delta,MACE-mpa_delta,MACE-omat_delta,ORB-mpa_delta,ORB-omat_delta,eSEN-oam_delta,eSEN-omat_delta,DPA-mp_delta,DPA-omat_delta,UMA-omc_delta,UMA-omat_delta,omni-mpa_delta,omni-omat_delta,omni-matpes_pbe_delta
0.47,0.70422363,0.72583008,0.40181132,0.94667142,0.60339355,0.59106445,0.523681641,0.52807617,0.59951502,0.75983694,-3.3274808,0.65805054,0.60266113,0.74755859,0.74951172,0.23422363000000002,0.25583008000000007,-0.06818867999999995,0.47667142000000007,0.13339354999999997,0.12106444999999999,0.05368164100000006,0.05807616999999998,0.12951502000000004,0.28983694000000004,-3.7974807999999998,0.18805054,0.13266113000000002,0.27755859000000005,0.27951172
-0.01,0.14978027,0.17651367,-0.0409019,0.21158133,-0.0794678,-0.0302734,-0.021484375,-0.0484619,0.06014227,0.10353452,0.03656049,0.04910278,0.01159668,0.08544922,0.09301758,0.15978027,0.18651367000000002,-0.030901899999999996,0.22158133000000002,-0.06946780000000001,-0.020273399999999997,-0.011484375,-0.0384619,0.07014226999999999,0.11353452,0.04656049,0.05910278,0.02159668,0.09544922,0.10301758
0.68,1.30541992,1.34375,0.84339378,1.59674661,1.08032227,1.15844727,1.068847656,1.07800293,0.95847166,1.2345551,-0.9517225,1.18458557,1.05090332,1.31030273,1.3482666,0.62541992,0.66375,0.16339377999999993,0.91674661,0.40032226999999987,0.47844726999999987,0.38884765599999993,0.39800293,0.2784716599999999,0.5545550999999999,-1.6317225,0.50458557,0.3709033199999999,0.63030273,0.6682666
0.47,0.48791504,0.52929688,0.24881668,0.95609798,0.29675293,0.30603027,0.50036621,0.5012207,0.49073472,0.55414331,-0.0478344,0.54943848,0.32324219,0.43444824,0.44055176,0.01791504000000005,0.059296879999999996,-0.22118331999999996,0.48609798000000004,-0.17324706999999995,-0.16396972999999998,0.03036621000000006,0.03122069999999999,0.02073472000000004,0.08414330999999997,-0.5178343999999999,0.07943847999999998,-0.14675781,-0.03555175999999999,-0.02944823999999996
0.34,0.91259766,0.93579102,0.49498683,1.16634907,0.76745605,0.76184082,0.761230469,0.75463867,0.74243653,0.89313832,-0.9184713,0.78930664,0.79858398,0.93652344,0.94128418,0.57259766,0.5957910200000001,0.15498682999999996,0.82634907,0.4274560499999999,0.42184081999999995,0.421230469,0.41463866999999993,0.40243652999999996,0.55313832,-1.2584713,0.4493066399999999,0.45858397999999995,0.5965234399999999,0.60128418
0.58,1.06518555,1.09814453,0.66047006,1.284659,0.7668457,0.78198242,0.754638672,0.7623291,0.86554803,1.08292207,4.393798428,0.94918823,0.88842773,1.04858398,1.1114502,0.4851855500000001,0.5181445299999999,0.08047006000000001,0.704659,0.1868457,0.20198242,0.17463867200000005,0.18232910000000002,0.28554803000000006,0.50292207,3.813798428,0.36918823,0.30842773,0.4685839800000001,0.5314502
0.12,0.62207031,0.66503906,0.17760679,0.95313326,0.28637695,0.31542969,0.358886719,0.36218262,0.86554864,0.72498646,4.393796725,0.51542664,0.46557617,0.64294434,0.67443848,0.50207031,0.54503906,0.05760678999999999,0.83313326,0.16637695000000002,0.19542969,0.23888671900000003,0.24218262000000002,0.74554864,0.60498646,4.2737967249999995,0.39542664000000005,0.34557617,0.52294434,0.55443848
0.16,0.09008789,0.09265137,0.10214374,0.10254898,0.08740234,0.11071777,0.042724609,0.03173871,0.07776678,0.10416007,3.955577192,0.10923767,0.04443359,0.07373047,0.0645752,-0.06991211,-0.06734863,-0.05785626000000001,-0.057451020000000005,-0.07259766000000001,-0.04928223000000001,-0.117275391,-0.12826129,-0.08223322000000001,-0.05583993000000001,3.7955771919999997,-0.05076233000000001,-0.11556641000000001,-0.08626953,-0.0954248
0.13,0.09228516,0.11010742,0.15889719,0.12657327,0.04345703,0.07043457,-0.001586914,0.00170898,0.07871118,0.13092601,3.132077933,0.07148743,-0.0197754,0.04150391,0.04736328,-0.03771484,-0.019892580000000007,0.02889718999999999,-0.0034267300000000167,-0.08654297,-0.05956543,-0.131586914,-0.12829102,-0.05128882,0.0009260100000000049,3.0020779330000003,-0.05851257,-0.1497754,-0.08849609,-0.08263672
-0.09,-0.0429688,-0.0047607,0.01552511,-0.1209933,-0.0305176,0.02416992,-0.125610352,-0.1446533,-0.0443515,0.03293949,8.830279196,-0.0400848,-0.151001,-0.0480957,-0.043457,0.047031199999999995,0.08523929999999999,0.10552510999999999,-0.0309933,0.0594824,0.11416992,-0.03561035200000001,-0.054653300000000016,0.045648499999999995,0.12293949,8.920279196,0.0499152,-0.061001,0.0419043,0.046542999999999994
-0.09,0.15234375,0.16381836,0.20558295,0.08896986,0.05786133,0.09777832,0.011962891,0.04711914,0.04738033,0.12780154,7.004172678,0.10028076,-0.0302734,0.09448242,0.06860352,0.24234375,0.25381836,0.29558295,0.17896985999999998,0.14786133,0.18777832,0.101962891,0.13711914,0.13738033,0.21780154,7.094172678,0.19028076,0.0597266,0.18448241999999998,0.15860352
-0.65,-0.6262207,-0.5939941,-0.6073962,-0.6558526,-0.6386719,-0.5761719,-0.71472168,-0.739624,-0.6116448,-0.5323728,10.42242436,-0.6547241,-0.640625,-0.5686035,-0.5404053,0.02377930000000006,0.05600590000000005,0.04260379999999997,-0.005852599999999986,0.011328100000000063,0.07382810000000006,-0.06472168,-0.08962399999999993,0.038355200000000034,0.11762720000000004,11.072424360000001,-0.004724100000000009,0.009375000000000022,0.08139649999999998,0.10959470000000004
-1.67,-1.6635742,-1.6153564,-1.369588,-1.6063068,-1.2978516,-1.4594727,-1.5593262,-1.6279297,-1.2062516,-1.2503795,14.2981126,-1.4633179,-1.5526123,-1.6468506,-1.6921387,0.006425799999999926,0.0546435999999999,0.3004119999999999,0.0636931999999999,0.37214839999999993,0.21052729999999986,0.11067379999999982,0.042070300000000005,0.46374839999999984,0.41962049999999995,15.9681126,0.20668209999999987,0.11738769999999987,0.023149399999999876,-0.022138700000000178
1.07,1.2791748,1.31945801,0.57203213,1.59092829,1.00195313,0.94360352,0.966064453,0.98950195,0.97250557,1.32200485,4.032479675,1.21081543,1.09729004,1.38354492,1.41223145,0.2091748,0.2494580099999999,-0.4979678700000001,0.5209282899999998,-0.06804687000000009,-0.12639648000000003,-0.10393554700000007,-0.0804980500000001,-0.09749443000000002,0.25200484999999984,2.962479675,0.14081542999999996,0.027290040000000015,0.31354492,0.3422314499999999
1.5,1.36437988,1.44628906,0.92499687,1.7704297,1.25109863,1.49108887,1.3125,1.30297852,1.22729886,1.60259929,6.988294852,1.55056763,1.08361816,1.53063965,1.51525879,-0.13562012,-0.053710939999999985,-0.57500313,0.2704297,-0.24890137,-0.00891112999999999,-0.1875,-0.19702148000000008,-0.2727011399999999,0.1025992899999999,5.488294852,0.050567629999999975,-0.4163818399999999,0.030639649999999907,0.015258790000000078
-0.043,-0.0509033,-0.0550537,-0.0035779,-0.0068805,-0.0811768,-0.0445557,-0.0649414,-0.048584,-0.0395155,-0.0289733,5.321077407,-0.0360718,-0.0576172,-0.0559082,-0.0603027,-0.007903300000000002,-0.0120537,0.039422099999999995,0.0361195,-0.0381768,-0.0015557000000000001,-0.0219414,-0.005584000000000006,0.0034844999999999945,0.014026699999999996,5.364077407,0.0069281999999999955,-0.014617200000000004,-0.012908200000000002,-0.017302700000000004
