index,DFT,mlip,pred,delta,abs_error
0,0.47,ompa-mpa,0.70422363,0.23422363000000002,0.23422363000000002
0,0.47,ompa-omat,0.72583008,0.25583008000000007,0.25583008000000007
0,0.47,MACE-mpa,0.40181132,-0.06818867999999995,0.06818867999999995
0,0.47,MACE-omat,0.94667142,0.47667142000000007,0.47667142000000007
0,0.47,ORB-mpa,0.60339355,0.13339354999999997,0.13339354999999997
0,0.47,ORB-omat,0.59106445,0.12106444999999999,0.12106444999999999
0,0.47,eSEN-oam,0.523681641,0.05368164100000006,0.05368164100000006
0,0.47,eSEN-omat,0.52807617,0.05807616999999998,0.05807616999999998
0,0.47,DPA-mp,0.59951502,0.12951502000000004,0.12951502000000004
0,0.47,DPA-omat,0.75983694,0.28983694000000004,0.28983694000000004
0,0.47,UMA-omc,-3.3274808,-3.7974807999999998,3.7974807999999998
0,0.47,UMA-omat,0.65805054,0.18805054,0.18805054
0,0.47,omni-mpa,0.60266113,0.13266113000000002,0.13266113000000002
0,0.47,omni-omat,0.74755859,0.27755859000000005,0.27755859000000005
0,0.47,omni-matpes_pbe,0.74951172,0.27951172,0.27951172
1,-0.01,ompa-mpa,0.14978027,0.15978027,0.15978027
1,-0.01,ompa-omat,0.17651367,0.18651367000000002,0.18651367000000002
1,-0.01,MACE-mpa,-0.0409019,-0.030901899999999996,0.030901899999999996
1,-0.01,MACE-omat,0.21158133,0.22158133000000002,0.22158133000000002
1,-0.01,ORB-mpa,-0.0794678,-0.06946780000000001,0.06946780000000001
1,-0.01,ORB-omat,-0.0302734,-0.020273399999999997,0.020273399999999997
1,-0.01,eSEN-oam,-0.021484375,-0.011484375,0.011484375
1,-0.01,eSEN-omat,-0.0484619,-0.0384619,0.0384619
1,-0.01,DPA-mp,0.06014227,0.07014226999999999,0.07014226999999999
1,-0.01,DPA-omat,0.10353452,0.11353452,0.11353452
1,-0.01,UMA-omc,0.03656049,0.04656049,0.04656049
1,-0.01,UMA-omat,0.04910278,0.05910278,0.05910278
1,-0.01,omni-mpa,0.01159668,0.02159668,0.02159668
1,-0.01,omni-omat,0.08544922,0.09544922,0.09544922
1,-0.01,omni-matpes_pbe,0.09301758,0.10301758,0.10301758
2,0.68,ompa-mpa,1.30541992,0.62541992,0.62541992
2,0.68,ompa-omat,1.34375,0.66375,0.66375
2,0.68,MACE-mpa,0.84339378,0.16339377999999993,0.16339377999999993
2,0.68,MACE-omat,1.59674661,0.91674661,0.91674661
2,0.68,ORB-mpa,1.08032227,0.40032226999999987,0.40032226999999987
2,0.68,ORB-omat,1.15844727,0.47844726999999987,0.47844726999999987
2,0.68,eSEN-oam,1.068847656,0.38884765599999993,0.38884765599999993
2,0.68,eSEN-omat,1.07800293,0.39800293,0.39800293
2,0.68,DPA-mp,0.95847166,0.2784716599999999,0.2784716599999999
2,0.68,DPA-omat,1.2345551,0.5545550999999999,0.5545550999999999
2,0.68,UMA-omc,-0.9517225,-1.6317225,1.6317225
2,0.68,UMA-omat,1.18458557,0.50458557,0.50458557
2,0.68,omni-mpa,1.05090332,0.3709033199999999,0.3709033199999999
2,0.68,omni-omat,1.31030273,0.63030273,0.63030273
2,0.68,omni-matpes_pbe,1.3482666,0.6682666,0.6682666
3,0.47,ompa-mpa,0.48791504,0.01791504000000005,0.01791504000000005
3,0.47,ompa-omat,0.52929688,0.059296879999999996,0.059296879999999996
3,0.47,MACE-mpa,0.24881668,-0.22118331999999996,0.22118331999999996
3,0.47,MACE-omat,0.95609798,0.48609798000000004,0.48609798000000004
3,0.47,ORB-mpa,0.29675293,-0.17324706999999995,0.17324706999999995
3,0.47,ORB-omat,0.30603027,-0.16396972999999998,0.16396972999999998
3,0.47,eSEN-oam,0.50036621,0.03036621000000006,0.03036621000000006
3,0.47,eSEN-omat,0.5012207,0.03122069999999999,0.03122069999999999
3,0.47,DPA-mp,0.49073472,0.02073472000000004,0.02073472000000004
3,0.47,DPA-omat,0.55414331,0.08414330999999997,0.08414330999999997
3,0.47,UMA-omc,-0.0478344,-0.5178343999999999,0.5178343999999999
3,0.47,UMA-omat,0.54943848,0.07943847999999998,0.07943847999999998
3,0.47,omni-mpa,0.32324219,-0.14675781,0.14675781
3,0.47,omni-omat,0.43444824,-0.03555175999999999,0.03555175999999999
3,0.47,omni-matpes_pbe,0.44055176,-0.02944823999999996,0.02944823999999996
4,0.34,ompa-mpa,0.91259766,0.57259766,0.57259766
4,0.34,ompa-omat,0.93579102,0.5957910200000001,0.5957910200000001
4,0.34,MACE-mpa,0.49498683,0.15498682999999996,0.15498682999999996
4,0.34,MACE-omat,1.16634907,0.82634907,0.82634907
4,0.34,ORB-mpa,0.76745605,0.4274560499999999,0.4274560499999999
4,0.34,ORB-omat,0.76184082,0.42184081999999995,0.42184081999999995
4,0.34,eSEN-oam,0.761230469,0.421230469,0.421230469
4,0.34,eSEN-omat,0.75463867,0.41463866999999993,0.41463866999999993
4,0.34,DPA-mp,0.74243653,0.40243652999999996,0.40243652999999996
4,0.34,DPA-omat,0.89313832,0.55313832,0.55313832
4,0.34,UMA-omc,-0.9184713,-1.2584713,1.2584713
4,0.34,UMA-omat,0.78930664,0.4493066399999999,0.4493066399999999
4,0.34,omni-mpa,0.79858398,0.45858397999999995,0.45858397999999995
4,0.34,omni-omat,0.93652344,0.5965234399999999,0.5965234399999999
4,0.34,omni-matpes_pbe,0.94128418,0.60128418,0.60128418
5,0.58,ompa-mpa,1.06518555,0.4851855500000001,0.4851855500000001
5,0.58,ompa-omat,1.09814453,0.5181445299999999,0.5181445299999999
5,0.58,MACE-mpa,0.66047006,0.08047006000000001,0.08047006000000001
5,0.58,MACE-omat,1.284659,0.704659,0.704659
5,0.58,ORB-mpa,0.7668457,0.1868457,0.1868457
5,0.58,ORB-omat,0.78198242,0.20198242,0.20198242
5,0.58,eSEN-oam,0.754638672,0.17463867200000005,0.17463867200000005
5,0.58,eSEN-omat,0.7623291,0.18232910000000002,0.18232910000000002
5,0.58,DPA-mp,0.86554803,0.28554803000000006,0.28554803000000006
5,0.58,DPA-omat,1.08292207,0.50292207,0.50292207
5,0.58,UMA-omc,4.393798428,3.813798428,3.813798428
5,0.58,UMA-omat,0.94918823,0.36918823,0.36918823
5,0.58,omni-mpa,0.88842773,0.30842773,0.30842773
5,0.58,omni-omat,1.04858398,0.4685839800000001,0.4685839800000001
5,0.58,omni-matpes_pbe,1.1114502,0.5314502,0.5314502
6,0.12,ompa-mpa,0.62207031,0.50207031,0.50207031
6,0.12,ompa-omat,0.66503906,0.54503906,0.54503906
6,0.12,MACE-mpa,0.17760679,0.05760678999999999,0.05760678999999999
6,0.12,MACE-omat,0.95313326,0.83313326,0.83313326
6,0.12,ORB-mpa,0.28637695,0.16637695000000002,0.16637695000000002
6,0.12,ORB-omat,0.31542969,0.19542969,0.19542969
6,0.12,eSEN-oam,0.358886719,0.23888671900000003,0.23888671900000003
6,0.12,eSEN-omat,0.36218262,0.24218262000000002,0.24218262000000002
6,0.12,DPA-mp,0.86554864,0.74554864,0.74554864
