,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-omat,esen-oam,dpa-mp,dpa-omat,uma-omc,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe
a1,0.7042236328125,0.725830078125,0.4018113168037871,0.9466714159761976,0.6033935546875,0.591064453125,0.528076171875,0.523681640625,0.5995150208473206,0.7598369419574738,-3.327480828701141,0.6580963134765625,0.6026611328125,0.74755859375,0.74951171875
a2,0.1497802734375,0.176513671875,-0.0409018566817849,0.2115813290865844,-0.0794677734375,-0.0302734375,-0.0484619140625,-0.021484375,0.0601422749459743,0.1035345196723938,0.0365604948324289,0.049102783203125,0.0115966796875,0.08544921875,0.093017578125
b1,1.305419921875,1.34375,0.8433937774025253,1.5967466066701943,1.080322265625,1.158447265625,1.0780029296875,1.06884765625,0.958471655845642,1.2345550954341888,-0.9517225194097136,1.18461608886696,1.0509033203125,1.310302734375,1.3482666015625
b2,0.4879150390625,0.529296875,0.2488166754774283,0.9560979794841842,0.2967529296875,0.3060302734375,0.501220703125,0.5003662109375,0.4907347224652767,0.5541433095932007,-0.0478344174318863,0.5494537353513351,0.3232421875,0.4344482421875,0.4405517578125
b3,0.91259765625,0.935791015625,0.4949868262194741,1.1663490661674132,0.7674560546875,0.7618408203125,0.754638671875,0.76123046875,0.7424365282058716,0.8931383192539215,-0.9184713183867644,0.7893218994138351,0.798583984375,0.9365234375,0.9412841796875
c1,1.065185546875,1.09814453125,0.6604700601853892,1.2846589963708084,0.766845703125,0.781982421875,0.7623291015625,0.754638671875,0.8655480295419693,1.0829220712184906,4.393798427689035,0.9491882324216476,0.888427734375,1.048583984375,1.1114501953125
c2,0.6220703125,0.6650390625,0.1776067939122185,0.9531332642804956,0.286376953125,0.3154296875,0.3621826171875,0.35888671875,0.8655486404895782,0.7249864600598812,4.393796724742856,0.5154724121091476,0.465576171875,0.6429443359375,0.6744384765625
d,0.090087890625,0.0926513671875,0.1021437405916003,0.1025489765518159,0.08740234375,0.1107177734375,0.03173828125,0.042724609375,0.0777667760848999,0.1041600704193115,3.955577192046349,0.10931396484375,0.04443359375,0.07373046875,0.0645751953125
e,0.09228515625,0.110107421875,0.1588971875278275,0.1265732684414615,0.04345703125,0.0704345703125,0.001708984375,-0.0015869140625,0.0787111818790435,0.1309260129928589,3.132077932706011,0.0714111328125,-0.019775390625,0.04150390625,0.04736328125
f,-0.04296875,-0.0047607421875,0.0155251128230702,-0.1209933012446526,-0.030517578125,0.024169921875,-0.1446533203125,-0.1256103515625,-0.0443514734506607,0.0329394936561584,8.830279196493848,-0.0400848388671875,-0.1510009765625,-0.048095703125,-0.04345703125
g,0.15234375,0.163818359375,0.2055829482501394,0.0889698559085445,0.057861328125,0.0977783203125,0.047119140625,0.011962890625,0.0473803281784057,0.1278015375137329,7.0041726775833695,0.100311279296875,-0.0302734375,0.094482421875,0.068603515625
h,-0.626220703125,-0.593994140625,-0.6073961713018434,-0.6558525708437628,-0.638671875,-0.576171875,-0.73974609375,-0.7147216796875,-0.6116447523236275,-0.532372772693634,10.422424356031913,-0.6547088623046875,-0.640625,-0.568603515625,-0.5404052734375
i,-1.66357421875,-1.6153564453125,-1.36958798444698,-1.6063067739264625,-1.2978515625,-1.45947265625,-1.6279296875,-1.5596923828125,-1.2062516137957573,-1.250379502773285,14.298112597307409,-1.463409423828125,-1.5526123046875,-1.6468505859375,-1.692138671875
j,1.2791748046875,1.3194580078125,0.572032131375181,1.5909282884772438,1.001953125,0.943603515625,0.989501953125,0.966064453125,0.9725055694580078,1.3220048546791077,4.032479674981346,1.2109069824221024,1.0972900390625,1.383544921875,1.4122314453125
k,1.3643798828125,1.4462890625,0.9249968701353736,1.770429695478242,1.2510986328125,1.4910888671875,1.302978515625,1.3125,1.2272988632321358,1.6025992929935455,6.988294851528394,1.5506439208986649,1.0836181640625,1.5306396484375,1.5152587890625
