model,DFT,ompa-mpa,ompa-omat,MACE-mpa,MACE-omat,ORB-mpa,ORB-omat,eSEN-oam,eSEN-omat,DPA-mp,DPA-omat,UMA-omc,UMA-omat,omni-mpa,omni-omat,omni-matpes_pbe
C_a1,0.47,0.70422363,0.72583008,0.40181132,0.94667142,0.60339355,0.59106445,0.523681641,0.52807617,0.59951502,0.75983694,-3.3274808,0.65805054,0.60266113,0.74755859,0.74951172
C_a2,-0.01,0.14978027,0.17651367,-0.0409019,0.21158133,-0.0794678,-0.0302734,-0.021484375,#N/A,0.06014227,0.10353452,0.03656049,0.04910278,0.01159668,0.08544922,0.09301758
C_b1,0.68,1.30541992,1.34375,0.84339378,1.59674661,1.08032227,1.15844727,1.068847656,1.07800293,0.95847166,1.2345551,-0.9517225,1.18458557,1.05090332,1.31030273,1.3482666
C_b2,0.47,0.48791504,0.52929688,0.24881668,0.95609798,0.29675293,0.30603027,0.50036621,0.5012207,0.49073472,0.55414331,-0.0478344,0.54943848,0.32324219,0.43444824,0.44055176
C_b3,0.34,0.91259766,0.93579102,0.49498683,1.16634907,0.76745605,0.76184082,0.761230469,0.75463867,0.74243653,0.89313832,-0.9184713,0.78930664,0.79858398,0.93652344,0.94128418
C_c1,0.58,1.06518555,1.09814453,0.66047006,1.284659,0.7668457,0.78198242,0.754638672,0.7623291,0.86554803,1.08292207,4.393798428,#N/A,0.88842773,1.04858398,1.1114502
C_c2,0.12,0.62207031,0.66503906,0.17760679,0.95313326,0.28637695,0.31542969,0.358886719,0.36218262,0.86554864,0.72498646,4.393796725,0.51542664,0.46557617,0.64294434,0.67443848
C_d,0.16,0.09008789,0.09265137,0.10214374,0.10254898,0.08740234,0.11071777,0.042724609,#N/A,0.07776678,0.10416007,3.955577192,0.10923767,0.04443359,0.07373047,0.0645752
C_e,0.13,0.09228516,0.11010742,0.15889719,0.12657327,0.04345703,0.07043457,-0.001586914,0.00170898,0.07871118,0.13092601,3.132077933,0.07148743,-0.0197754,0.04150391,0.04736328
C_f,-0.09,-0.0429688,-0.0047607,0.01552511,-0.1209933,-0.0305176,0.02416992,-0.125610352,-0.1446533,-0.0443515,0.03293949,8.830279196,#N/A,-0.151001,-0.0480957,-0.043457
C_g,-0.09,0.15234375,0.16381836,0.20558295,0.08896986,0.05786133,0.09777832,0.011962891,0.04711914,0.04738033,0.12780154,7.004172678,0.10028076,-0.0302734,0.09448242,0.06860352
C_h,-0.65,-0.6262207,-0.5939941,-0.6073962,-0.6558526,-0.6386719,-0.5761719,-0.71472168,-0.739624,-0.6116448,-0.5323728,10.42242436,-0.6547241,-0.640625,-0.5686035,-0.5404053
C_i,-1.67,-1.6635742,-1.6153564,-1.369588,-1.6063068,-1.2978516,-1.4594727,-1.5593262,-1.6279297,-1.2062516,-1.2503795,14.2981126,-1.4633179,-1.5526123,-1.6468506,-1.6921387
C_j,1.07,1.2791748,1.31945801,0.57203213,1.59092829,1.00195313,0.94360352,0.966064453,0.98950195,0.97250557,1.32200485,4.032479675,1.21081543,1.09729004,1.38354492,1.41223145
C_k,1.5,1.36437988,1.44628906,0.92499687,1.7704297,1.25109863,1.49108887,1.3125,1.30297852,1.22729886,1.60259929,6.988294852,#N/A,1.08361816,1.53063965,1.51525879
