,MAE,N_used,coverage
eSEN-oam,0.1448268211333333,15,1.0
eSEN-omat,0.1581328830769231,13,0.8666666666666667
ORB-omat,0.16223111266666662,15,1.0
ORB-mpa,0.17493456599999999,15,1.0
MACE-mpa,0.17870531133333328,15,1.0
omni-mpa,0.18273405399999998,15,1.0
UMA-omat,0.19397399499999998,12,0.8
DPA-mp,0.20808312733333334,15,1.0
ompa-mpa,0.22461295333333334,15,1.0
omni-omat,0.231786458,15,1.0
omni-matpes_pbe,0.24265657866666668,15,1.0
ompa-omat,0.24429883733333338,15,1.0
DPA-omat,0.26616503533333324,15,1.0
MACE-omat,0.37313222466666657,15,1.0
MACE-omat_delta,0.443371706,15,1.0
UMA-omat_delta,0.452704975,12,0.8
omni-matpes_pbe_delta,0.4688089173333333,15,1.0
omni-omat_delta,0.4763691420000001,15,1.0
ompa-omat_delta,0.485434904,15,1.0
ompa-mpa_delta,0.48902376133333336,15,1.0
DPA-omat_delta,0.501900026,15,1.0
eSEN-oam_delta,0.5177779929999999,15,1.0
ORB-omat_delta,0.528031894,15,1.0
omni-mpa_delta,0.5366962913333333,15,1.0
ORB-mpa_delta,0.5515263633333334,15,1.0
eSEN-omat_delta,0.5667626984615385,13,0.8666666666666667
DPA-mp_delta,0.5868472033333333,15,1.0
MACE-mpa_delta,0.647991358,15,1.0
UMA-omc,4.909538875266666,15,1.0
UMA-omc_delta,4.970205541933334,15,1.0
