index,dft,mlip,pred,delta,abs_error
0,0.47,7net-0,0.28601074,-0.18398926,0.18398926
0,0.47,7net-l3i5,-0.1015625,-0.5715625,0.5715625
0,0.47,7net-omat,0.69506836,0.22506836000000008,0.22506836000000008
0,0.47,ompa-mpa,0.70422363,0.23422363000000002,0.23422363000000002
0,0.47,ompa-omat24,0.72570801,0.25570801,0.25570801
0,0.47,omni-mpa,0.6439209,0.17392090000000004,0.17392090000000004
0,0.47,omni-omat24,0.64172363,0.17172363000000002,0.17172363000000002
0,0.47,orb_mpa,0.59973145,0.12973145000000008,0.12973145000000008
0,0.47,orb_omat,0.59118652,0.12118652000000008,0.12118652000000008
0,0.47,dpa-mp,0.59956326,0.12956326000000007,0.12956326000000007
0,0.47,dpa-omat,0.75984666,0.28984666000000003,0.28984666000000003
0,0.47,esen_omat,0.52819824,0.05819824000000007,0.05819824000000007
1,-0.01,7net-0,-0.1627197,-0.15271969999999999,0.15271969999999999
1,-0.01,7net-l3i5,-0.3913574,-0.3813574,0.3813574
1,-0.01,7net-omat,-0.0169678,-0.006967800000000001,0.006967800000000001
1,-0.01,ompa-mpa,0.14978027,0.15978027,0.15978027
1,-0.01,ompa-omat24,0.1763916,0.18639160000000002,0.18639160000000002
1,-0.01,omni-mpa,0.06262207,0.07262207,0.07262207
1,-0.01,omni-omat24,0.06970215,0.07970215,0.07970215
1,-0.01,orb_mpa,-0.1151123,-0.1051123,0.1051123
1,-0.01,orb_omat,-0.0301514,-0.0201514,0.0201514
1,-0.01,dpa-mp,0.06017656,0.07017656,0.07017656
1,-0.01,dpa-omat,0.10354659,0.11354658999999999,0.11354658999999999
1,-0.01,esen_omat,-0.0483398,-0.0383398,0.0383398
2,0.68,7net-0,0.43212891,-0.24787109000000007,0.24787109000000007
2,0.68,7net-l3i5,-0.0753174,-0.7553174,0.7553174
2,0.68,7net-omat,1.31140137,0.63140137,0.63140137
2,0.68,ompa-mpa,1.30541992,0.62541992,0.62541992
2,0.68,ompa-omat24,1.34362793,0.66362793,0.66362793
2,0.68,omni-mpa,1.17102051,0.4910205099999999,0.4910205099999999
2,0.68,omni-omat24,1.16870117,0.48870117,0.48870117
2,0.68,orb_mpa,1.07531738,0.39531737999999994,0.39531737999999994
2,0.68,orb_omat,1.15856934,0.47856933999999984,0.47856933999999984
2,0.68,dpa-mp,0.95854694,0.2785469399999999,0.2785469399999999
2,0.68,dpa-omat,1.23459235,0.55459235,0.55459235
2,0.68,esen_omat,1.07824707,0.3982470699999999,0.3982470699999999
3,0.47,7net-0,0.12988281,-0.34011718999999996,0.34011718999999996
3,0.47,7net-l3i5,-0.4523926,-0.9223926,0.9223926
3,0.47,7net-omat,0.36877441,-0.10122558999999998,0.10122558999999998
3,0.47,ompa-mpa,0.48791504,0.01791504000000005,0.01791504000000005
3,0.47,ompa-omat24,0.52929688,0.059296879999999996,0.059296879999999996
3,0.47,omni-mpa,0.39379883,-0.07620116999999998,0.07620116999999998
3,0.47,omni-omat24,0.3951416,-0.07485839999999999,0.07485839999999999
3,0.47,orb_mpa,0.29541016,-0.17458984,0.17458984
3,0.47,orb_omat,0.30627441,-0.16372558999999998,0.16372558999999998
3,0.47,dpa-mp,0.49080272,0.020802720000000052,0.020802720000000052
3,0.47,dpa-omat,0.5541794,0.08417940000000002,0.08417940000000002
3,0.47,esen_omat,0.50146484,0.03146484000000005,0.03146484000000005
4,0.34,7net-0,0.42749023,0.08749023,0.08749023
4,0.34,7net-l3i5,-0.192749,-0.532749,0.532749
4,0.34,7net-omat,0.86437988,0.5243798799999999,0.5243798799999999
4,0.34,ompa-mpa,0.91259766,0.57259766,0.57259766
4,0.34,ompa-omat24,0.93566895,0.5956689500000001,0.5956689500000001
4,0.34,omni-mpa,0.84265137,0.5026513699999999,0.5026513699999999
4,0.34,omni-omat24,0.82446289,0.4844628899999999,0.4844628899999999
4,0.34,orb_mpa,0.76293945,0.42293944999999994,0.42293944999999994
4,0.34,orb_omat,0.76208496,0.42208496,0.42208496
4,0.34,dpa-mp,0.74250765,0.40250764999999994,0.40250764999999994
4,0.34,dpa-omat,0.89317092,0.5531709199999999,0.5531709199999999
4,0.34,esen_omat,0.75500488,0.41500487999999996,0.41500487999999996
5,0.58,7net-0,0.37524414,-0.20475585999999996,0.20475585999999996
5,0.58,7net-l3i5,-0.1113281,-0.6913281,0.6913281
5,0.58,7net-omat,0.95739746,0.3773974600000001,0.3773974600000001
5,0.58,ompa-mpa,1.06518555,0.4851855500000001,0.4851855500000001
5,0.58,ompa-omat24,1.09814453,0.5181445299999999,0.5181445299999999
5,0.58,omni-mpa,0.98632813,0.40632813,0.40632813
5,0.58,omni-omat24,0.97265625,0.39265625000000004,0.39265625000000004
5,0.58,orb_mpa,0.76318359,0.18318359000000006,0.18318359000000006
5,0.58,orb_omat,0.78222656,0.20222656000000006,0.20222656000000006
5,0.58,dpa-mp,0.87989378,0.29989378,0.29989378
5,0.58,dpa-omat,1.08295476,0.5029547600000001,0.5029547600000001
5,0.58,esen_omat,0.76269531,0.18269531000000006,0.18269531000000006
6,0.12,7net-0,0.02392578,-0.09607421999999999,0.09607421999999999
6,0.12,7net-l3i5,-0.6983643,-0.8183643,0.8183643
6,0.12,7net-omat,0.53393555,0.41393555000000004,0.41393555000000004
6,0.12,ompa-mpa,0.62207031,0.50207031,0.50207031
6,0.12,ompa-omat24,0.66503906,0.54503906,0.54503906
6,0.12,omni-mpa,0.58874512,0.46874512,0.46874512
6,0.12,omni-omat24,0.56567383,0.44567383000000005,0.44567383000000005
6,0.12,orb_mpa,0.27856445,0.15856445000000002,0.15856445000000002
6,0.12,orb_omat,0.31567383,0.19567383,0.19567383
6,0.12,dpa-mp,0.50538391,0.38538391000000005,0.38538391000000005
6,0.12,dpa-omat,0.72501012,0.60501012,0.60501012
6,0.12,esen_omat,0.36242676,0.24242676000000002,0.24242676000000002
7,0.16,7net-0,0.06518555,-0.09481445000000001,0.09481445000000001
7,0.16,7net-l3i5,-0.0634766,-0.2234766,0.2234766
7,0.16,7net-omat,0.09594727,-0.06405273,0.06405273
7,0.16,ompa-mpa,0.09020996,-0.06979004,0.06979004
7,0.16,ompa-omat24,0.09265137,-0.06734863,0.06734863
7,0.16,omni-mpa,0.06860352,-0.09139648,0.09139648
7,0.16,omni-omat24,0.07653809,-0.08346191,0.08346191
7,0.16,orb_mpa,-0.1351318,-0.2951318,0.2951318
7,0.16,orb_omat,0.11083984,-0.04916016000000001,0.04916016000000001
7,0.16,dpa-mp,0.07779926,-0.08220074000000001,0.08220074000000001
7,0.16,dpa-omat,0.10418403,-0.055815970000000006,0.055815970000000006
7,0.16,esen_omat,0.03222656,-0.12777344000000002,0.12777344000000002
8,0.13,7net-0,0.01049805,-0.11950195000000001,0.11950195000000001
8,0.13,7net-l3i5,-0.0703125,-0.2003125,0.2003125
8,0.13,7net-omat,0.05749512,-0.07250488000000001,0.07250488000000001
8,0.13,ompa-mpa,0.09228516,-0.03771484,0.03771484
8,0.13,ompa-omat24,0.11022949,-0.019770510000000005,0.019770510000000005
8,0.13,omni-mpa,0.06811523,-0.061884770000000006,0.061884770000000006
8,0.13,omni-omat24,0.06787109,-0.06212891000000001,0.06212891000000001
8,0.13,orb_mpa,-0.1087646,-0.2387646,0.2387646
8,0.13,orb_omat,0.07055664,-0.05944336,0.05944336
8,0.13,dpa-mp,0.07874224,-0.05125776,0.05125776
8,0.13,dpa-omat,0.13094568,0.0009456800000000043,0.0009456800000000043
8,0.13,esen_omat,0.0020752,-0.1279248,0.1279248
9,-0.09,7net-0,-0.1757813,-0.0857813,0.0857813
9,-0.09,7net-l3i5,-0.2376709,-0.1476709,0.1476709
9,-0.09,7net-omat,-0.0688477,0.0211523,0.0211523
9,-0.09,ompa-mpa,-0.0429688,0.047031199999999995,0.047031199999999995
9,-0.09,ompa-omat24,-0.0047607,0.08523929999999999,0.08523929999999999
9,-0.09,omni-mpa,-0.0223389,0.0676611,0.0676611
9,-0.09,omni-omat24,0.00036621,0.09036621,0.09036621
9,-0.09,orb_mpa,-0.2410889,-0.1510889,0.1510889
9,-0.09,orb_omat,0.02441406,0.11441406,0.11441406
9,-0.09,dpa-mp,-0.0443125,0.0456875,0.0456875
9,-0.09,dpa-omat,0.03295648,0.12295648,0.12295648
9,-0.09,esen_omat,-0.1442871,-0.054287100000000005,0.054287100000000005
10,-0.09,7net-0,0.02722168,0.11722168,0.11722168
10,-0.09,7net-l3i5,0.0411377,0.1311377,0.1311377
10,-0.09,7net-omat,0.00439453,0.09439452999999999,0.09439452999999999
10,-0.09,ompa-mpa,0.15234375,0.24234375,0.24234375
10,-0.09,ompa-omat24,0.16381836,0.25381836,0.25381836
10,-0.09,omni-mpa,0.12072754,0.21072754,0.21072754
10,-0.09,omni-omat24,0.1439209,0.2339209,0.2339209
10,-0.09,orb_mpa,-0.1485596,-0.05855960000000002,0.05855960000000002
10,-0.09,orb_omat,0.09790039,0.18790039,0.18790039
10,-0.09,dpa-mp,0.04740971,0.13740971,0.13740971
10,-0.09,dpa-omat,0.12781888,0.21781888,0.21781888
10,-0.09,esen_omat,0.04760742,0.13760741999999998,0.13760741999999998
11,-0.65,7net-0,-0.5356445,0.11435550000000005,0.11435550000000005
11,-0.65,7net-l3i5,-0.4841309,0.16586910000000005,0.16586910000000005
11,-0.65,7net-omat,-0.5639648,0.08603519999999998,0.08603519999999998
11,-0.65,ompa-mpa,-0.6262207,0.02377930000000006,0.02377930000000006
11,-0.65,ompa-omat24,-0.5939941,0.05600590000000005,0.05600590000000005
11,-0.65,omni-mpa,-0.5778809,0.07211909999999999,0.07211909999999999
11,-0.65,omni-omat24,-0.5688477,0.08115230000000007,0.08115230000000007
11,-0.65,orb_mpa,-0.7938232,-0.14382319999999993,0.14382319999999993
11,-0.65,orb_omat,-0.5759277,0.07407229999999998,0.07407229999999998
11,-0.65,dpa-mp,-0.611612,0.03838799999999998,0.03838799999999998
11,-0.65,dpa-omat,-0.5323518,0.11764819999999998,0.11764819999999998
11,-0.65,esen_omat,-0.7392578,-0.08925779999999994,0.08925779999999994
12,-1.67,7net-0,-0.9069824,0.7630176,0.7630176
12,-1.67,7net-l3i5,-1.4223633,0.24763669999999993,0.24763669999999993
12,-1.67,7net-omat,-1.6230469,0.04695309999999986,0.04695309999999986
12,-1.67,ompa-mpa,-1.6635742,0.006425799999999926,0.006425799999999926
12,-1.67,ompa-omat24,-1.6153564,0.0546435999999999,0.0546435999999999
12,-1.67,omni-mpa,-1.5349121,0.13508790000000004,0.13508790000000004
12,-1.67,omni-omat24,-1.5789795,0.09102049999999995,0.09102049999999995
12,-1.67,orb_mpa,-1.8227539,-0.1527539,0.1527539
12,-1.67,orb_omat,-1.4593506,0.21064939999999988,0.21064939999999988
12,-1.67,dpa-mp,-1.206219,0.463781,0.463781
12,-1.67,dpa-omat,-1.250356,0.4196439999999999,0.4196439999999999
12,-1.67,esen_omat,-1.6273193,0.042680700000000016,0.042680700000000016
13,1.07,7net-0,0.35656738,-0.7134326200000001,0.7134326200000001
13,1.07,7net-l3i5,-0.4833984,-1.5533984,1.5533984
13,1.07,7net-omat,1.15490723,0.08490723,0.08490723
13,1.07,ompa-mpa,1.27905273,0.20905273000000002,0.20905273000000002
13,1.07,ompa-omat24,1.31945801,0.2494580099999999,0.2494580099999999
13,1.07,omni-mpa,0.99511719,-0.07488281000000008,0.07488281000000008
13,1.07,omni-omat24,0.99230957,-0.07769043000000009,0.07769043000000009
13,1.07,orb_mpa,0.95751953,-0.11248047000000005,0.11248047000000005
13,1.07,orb_omat,0.94384766,-0.12615234000000008,0.12615234000000008
13,1.07,dpa-mp,0.9725765,-0.09742350000000011,0.09742350000000011
13,1.07,dpa-omat,1.32205474,0.25205473999999994,0.25205473999999994
13,1.07,esen_omat,0.98986816,-0.08013184000000007,0.08013184000000007
14,1.5,7net-0,0.75427246,-0.74572754,0.74572754
14,1.5,7net-l3i5,0.52416992,-0.97583008,0.97583008
14,1.5,7net-omat,1.41259766,-0.08740233999999991,0.08740233999999991
14,1.5,ompa-mpa,1.36437988,-0.13562012,0.13562012
14,1.5,ompa-omat24,1.44628906,-0.053710939999999985,0.053710939999999985
14,1.5,omni-mpa,1.23596191,-0.2640380899999999,0.2640380899999999
14,1.5,omni-omat24,1.29968262,-0.20031738,0.20031738
14,1.5,orb_mpa,1.24841309,-0.2515869100000001,0.2515869100000001
14,1.5,orb_omat,1.49133301,-0.008666990000000041,0.008666990000000041
14,1.5,dpa-mp,1.22736027,-0.2726397300000001,0.2726397300000001
14,1.5,dpa-omat,1.60263094,0.10263094000000006,0.10263094000000006
14,1.5,esen_omat,1.3034668,-0.19653319999999996,0.19653319999999996
15,-0.043,7net-0,-0.1431885,-0.1001885,0.1001885
15,-0.043,7net-l3i5,-0.204834,-0.16183399999999998,0.16183399999999998
15,-0.043,7net-omat,-0.0341797,0.008820299999999996,0.008820299999999996
15,-0.043,ompa-mpa,-0.0509033,-0.007903300000000002,0.007903300000000002
15,-0.043,ompa-omat24,-0.0550537,-0.0120537,0.0120537
15,-0.043,omni-mpa,-0.0285645,0.014435499999999997,0.014435499999999997
15,-0.043,omni-omat24,-0.0297852,0.013214799999999995,0.013214799999999995
15,-0.043,orb_mpa,-0.081665,-0.038665000000000005,0.038665000000000005
15,-0.043,orb_omat,-0.0444336,-0.0014336000000000002,0.0014336000000000002
15,-0.043,dpa-mp,-0.0394864,0.0035135999999999987,0.0035135999999999987
15,-0.043,dpa-omat,-0.0289651,0.014034899999999996,0.014034899999999996
15,-0.043,esen_omat,-0.0483398,-0.005339800000000006,0.005339800000000006
16,-0.239,7net-0,-0.095459,0.14354099999999997,0.14354099999999997
16,-0.239,7net-l3i5,0.1583252,0.3973252,0.3973252
16,-0.239,7net-omat,-0.0327148,0.2062852,0.2062852
16,-0.239,ompa-mpa,-0.140625,0.09837499999999999,0.09837499999999999
16,-0.239,ompa-omat24,-0.1467285,0.09227149999999998,0.09227149999999998
16,-0.239,omni-mpa,-0.0532227,0.18577729999999998,0.18577729999999998
16,-0.239,omni-omat24,-0.0620117,0.1769883,0.1769883
16,-0.239,orb_mpa,-0.2576904,-0.018690399999999996,0.018690399999999996
16,-0.239,orb_omat,-0.1744385,0.0645615,0.0645615
16,-0.239,dpa-mp,0.0365063,0.2755063,0.2755063
16,-0.239,dpa-omat,-0.0313982,0.2076018,0.2076018
16,-0.239,esen_omat,-0.2579346,-0.018934600000000024,0.018934600000000024
17,0.246,7net-0,-0.0043945,-0.2503945,0.2503945
17,0.246,7net-l3i5,0.04199219,-0.20400781,0.20400781
17,0.246,7net-omat,0.14160156,-0.10439844000000001,0.10439844000000001
17,0.246,ompa-mpa,0.13378906,-0.11221094000000001,0.11221094000000001
17,0.246,ompa-omat24,0.13342285,-0.11257714999999999,0.11257714999999999
17,0.246,omni-mpa,0.11315918,-0.13284082,0.13284082
17,0.246,omni-omat24,0.11206055,-0.13393945000000002,0.13393945000000002
17,0.246,orb_mpa,0.12890625,-0.11709375,0.11709375
17,0.246,orb_omat,0.16381836,-0.08218164,0.08218164
17,0.246,dpa-mp,0.21524096,-0.030759039999999988,0.030759039999999988
17,0.246,dpa-omat,0.2019875,-0.04401250000000001,0.04401250000000001
17,0.246,esen_omat,0.16564941,-0.08035059,0.08035059
18,0.079,7net-0,0.04760742,-0.03139258,0.03139258
18,0.079,7net-l3i5,0.23962402,0.16062401999999998,0.16062401999999998
18,0.079,7net-omat,0.0534668,-0.0255332,0.0255332
18,0.079,ompa-mpa,0.07678223,-0.002217769999999994,0.002217769999999994
18,0.079,ompa-omat24,0.07751465,-0.0014853499999999964,0.0014853499999999964
18,0.079,omni-mpa,0.0682373,-0.0107627,0.0107627
18,0.079,omni-omat24,0.0715332,-0.007466799999999996,0.007466799999999996
18,0.079,orb_mpa,-0.0322266,-0.11122660000000001,0.11122660000000001
18,0.079,orb_omat,0.00634766,-0.07265234,0.07265234
18,0.079,dpa-mp,0.04675424,-0.03224576,0.03224576
18,0.079,dpa-omat,0.05978012,-0.01921988,0.01921988
18,0.079,esen_omat,0.00231934,-0.07668066,0.07668066
19,-0.277,7net-0,-0.1003418,0.17665820000000004,0.17665820000000004
19,-0.277,7net-l3i5,-0.2714844,0.005515600000000009,0.005515600000000009
19,-0.277,7net-omat,-0.1459961,0.13100390000000003,0.13100390000000003
19,-0.277,ompa-mpa,-0.1849365,0.09206350000000002,0.09206350000000002
19,-0.277,ompa-omat24,-0.190918,0.08608200000000002,0.08608200000000002
