,7net-0,omat,ompa,ompas,ompas_wso,omni
a1,0.28564453125,0.6951904296875,0.725830078125,0.6942138671875,0.687744140625,0.6417236328125
a2,-0.1630859375,-0.016845703125,0.176513671875,0.1273193359375,0.1246337890625,0.0697021484375
b1,0.3077392578125,1.08251953125,1.1234130859375,1.0567626953125,1.05859375,0.9691162109375
b2,0.00537109375,0.1400146484375,0.3089599609375,0.240234375,0.2352294921875,0.19580078125
b3,0.3031005859375,0.635498046875,0.7154541015625,0.6749267578125,0.6654052734375,0.6251220703125
c1,0.312255859375,0.7900390625,0.846923828125,0.806884765625,0.798583984375,0.7459716796875
c2,-0.0390625,0.3665771484375,0.413818359375,0.37451171875,0.36572265625,0.3389892578125
d,0.064697265625,0.09619140625,0.0926513671875,0.073486328125,0.0728759765625,0.0765380859375
e,0.010009765625,0.0577392578125,0.110107421875,0.1046142578125,0.10400390625,0.06787109375
f,-0.176513671875,-0.068603515625,-0.0048828125,0.007568359375,0.006103515625,0.0003662109375
g,0.026611328125,0.004638671875,0.1636962890625,0.14111328125,0.1458740234375,0.1439208984375
h,-0.5361328125,-0.563720703125,-0.593994140625,-0.5810546875,-0.58740234375,-0.56884765625
i,-0.907470703125,-1.6229248046875,-1.6153564453125,-1.61572265625,-1.618896484375,-1.578857421875
j,0.3558349609375,1.155029296875,1.3194580078125,1.16455078125,1.1580810546875,0.9920654296875
k,0.75341796875,1.4127197265625,1.4462890625,1.479736328125,1.46728515625,1.2996826171875
l,0.5765380859375,1.1805419921875,1.15869140625,1.1455078125,1.134521484375,1.0528564453125
m,0.576416015625,1.41259765625,1.4462890625,1.479736328125,1.4674072265625,1.2998046875
