DFT,7net-0,7net-l3i5,7net-omat,7net-ompa-mpa,7net-ompa-omat24,7net-omni-mpa,7net-omni-omat24,orb_mpa,orb_omat
0.47,0.28601074,-0.1015625,0.69506836,0.70422363,0.72570801,0.6439209,0.64172363,0.59973145,0.59118652
-0.01,-0.1627197,-0.3913574,-0.0169678,0.14978027,0.1763916,0.06262207,0.06970215,-0.1151123,-0.0301514
0.68,0.43212891,-0.0753174,1.31140137,1.30541992,1.34362793,1.17102051,1.16870117,1.07531738,1.15856934
0.47,0.12988281,-0.4523926,0.36877441,0.48791504,0.52929688,0.39379883,0.3951416,0.29541016,0.30627441
0.34,0.42749023,-0.192749,0.86437988,0.91259766,0.93566895,0.84265137,0.82446289,0.76293945,0.76208496
0.58,0.37524414,-0.1113281,0.95739746,1.06518555,1.09814453,0.98632813,0.97265625,0.76318359,0.78222656
0.12,0.02392578,-0.6983643,0.53393555,0.62207031,0.66503906,0.58874512,0.56567383,0.27856445,0.31567383
0.16,0.06518555,-0.0634766,0.09594727,0.09020996,0.09265137,0.06860352,0.07653809,-0.1351318,0.11083984
0.13,0.01049805,-0.0703125,0.05749512,0.09228516,0.11022949,0.06811523,0.06787109,-0.1087646,0.07055664
-0.09,-0.1757813,-0.2376709,-0.0688477,-0.0429688,-0.0047607,-0.0223389,0.00036621,-0.2410889,0.02441406
-0.09,0.02722168,0.0411377,0.00439453,0.15234375,0.16381836,0.12072754,0.1439209,-0.1485596,0.09790039
-0.65,-0.5356445,-0.4841309,-0.5639648,-0.6262207,-0.5939941,-0.5778809,-0.5688477,-0.7938232,-0.5759277
-1.67,-0.9069824,-1.4223633,-1.6230469,-1.6635742,-1.6153564,-1.5349121,-1.5789795,-1.8227539,-1.4593506
1.07,0.35656738,-0.4833984,1.15490723,1.27905273,1.31945801,0.99511719,0.99230957,0.95751953,0.94384766
1.5,0.75427246,0.52416992,1.41259766,1.36437988,1.44628906,1.23596191,1.29968262,1.24841309,1.49133301
