config,dft,mlip,pred,delta,abs_error
a1,0.47,7net-ompa-mpa,0.70422363,0.23422363000000002,0.23422363000000002
a1,0.47,7net-omni-mpa,0.6439209,0.17392090000000004,0.17392090000000004
a1,0.47,orb_mpa,0.59973145,0.12973145000000008,0.12973145000000008
a2,-0.01,7net-ompa-mpa,0.14978027,0.15978027,0.15978027
a2,-0.01,7net-omni-mpa,0.06262207,0.07262207,0.07262207
a2,-0.01,orb_mpa,-0.1151123,-0.1051123,0.1051123
b1,0.68,7net-ompa-mpa,1.30541992,0.62541992,0.62541992
b1,0.68,7net-omni-mpa,1.17102051,0.4910205099999999,0.4910205099999999
b1,0.68,orb_mpa,1.07531738,0.39531737999999994,0.39531737999999994
b2,0.47,7net-ompa-mpa,0.48791504,0.01791504000000005,0.01791504000000005
b2,0.47,7net-omni-mpa,0.39379883,-0.07620116999999998,0.07620116999999998
b2,0.47,orb_mpa,0.29541016,-0.17458984,0.17458984
b3,0.34,7net-ompa-mpa,0.91259766,0.57259766,0.57259766
b3,0.34,7net-omni-mpa,0.84265137,0.5026513699999999,0.5026513699999999
b3,0.34,orb_mpa,0.76293945,0.42293944999999994,0.42293944999999994
c1,0.58,7net-ompa-mpa,1.06518555,0.4851855500000001,0.4851855500000001
c1,0.58,7net-omni-mpa,0.98632813,0.40632813,0.40632813
c1,0.58,orb_mpa,0.76318359,0.18318359000000006,0.18318359000000006
c2,0.12,7net-ompa-mpa,0.62207031,0.50207031,0.50207031
c2,0.12,7net-omni-mpa,0.58874512,0.46874512,0.46874512
c2,0.12,orb_mpa,0.27856445,0.15856445000000002,0.15856445000000002
d,0.16,7net-ompa-mpa,0.09020996,-0.06979004,0.06979004
d,0.16,7net-omni-mpa,0.06860352,-0.09139648,0.09139648
d,0.16,orb_mpa,-0.1351318,-0.2951318,0.2951318
e,0.13,7net-ompa-mpa,0.09228516,-0.03771484,0.03771484
e,0.13,7net-omni-mpa,0.06811523,-0.061884770000000006,0.061884770000000006
e,0.13,orb_mpa,-0.1087646,-0.2387646,0.2387646
f,-0.09,7net-ompa-mpa,-0.0429688,0.047031199999999995,0.047031199999999995
f,-0.09,7net-omni-mpa,-0.0223389,0.0676611,0.0676611
f,-0.09,orb_mpa,-0.2410889,-0.1510889,0.1510889
g,-0.09,7net-ompa-mpa,0.15234375,0.24234375,0.24234375
g,-0.09,7net-omni-mpa,0.12072754,0.21072754,0.21072754
g,-0.09,orb_mpa,-0.1485596,-0.05855960000000002,0.05855960000000002
h,-0.65,7net-ompa-mpa,-0.6262207,0.02377930000000006,0.02377930000000006
h,-0.65,7net-omni-mpa,-0.5778809,0.07211909999999999,0.07211909999999999
h,-0.65,orb_mpa,-0.7938232,-0.14382319999999993,0.14382319999999993
i,-1.67,7net-ompa-mpa,-1.6635742,0.006425799999999926,0.006425799999999926
i,-1.67,7net-omni-mpa,-1.5349121,0.13508790000000004,0.13508790000000004
i,-1.67,orb_mpa,-1.8227539,-0.1527539,0.1527539
j,1.07,7net-ompa-mpa,1.27905273,0.20905273000000002,0.20905273000000002
j,1.07,7net-omni-mpa,0.99511719,-0.07488281000000008,0.07488281000000008
j,1.07,orb_mpa,0.95751953,-0.11248047000000005,0.11248047000000005
k,1.5,7net-ompa-mpa,1.36437988,-0.13562012,0.13562012
k,1.5,7net-omni-mpa,1.23596191,-0.2640380899999999,0.2640380899999999
k,1.5,orb_mpa,1.24841309,-0.2515869100000001,0.2515869100000001
