config,dft,mlip,pred,delta,abs_error
a1,0.47,7net-ompa-omat24,0.72570801,0.25570801,0.25570801
a1,0.47,7net-omni-omat24,0.64172363,0.17172363000000002,0.17172363000000002
a1,0.47,orb_omat,0.59118652,0.12118652000000008,0.12118652000000008
a2,-0.01,7net-ompa-omat24,0.1763916,0.18639160000000002,0.18639160000000002
a2,-0.01,7net-omni-omat24,0.06970215,0.07970215,0.07970215
a2,-0.01,orb_omat,-0.0301514,-0.0201514,0.0201514
b1,0.68,7net-ompa-omat24,1.34362793,0.66362793,0.66362793
b1,0.68,7net-omni-omat24,1.16870117,0.48870117,0.48870117
b1,0.68,orb_omat,1.15856934,0.47856933999999984,0.47856933999999984
b2,0.47,7net-ompa-omat24,0.52929688,0.059296879999999996,0.059296879999999996
b2,0.47,7net-omni-omat24,0.3951416,-0.07485839999999999,0.07485839999999999
b2,0.47,orb_omat,0.30627441,-0.16372558999999998,0.16372558999999998
b3,0.34,7net-ompa-omat24,0.93566895,0.5956689500000001,0.5956689500000001
b3,0.34,7net-omni-omat24,0.82446289,0.4844628899999999,0.4844628899999999
b3,0.34,orb_omat,0.76208496,0.42208496,0.42208496
c1,0.58,7net-ompa-omat24,1.09814453,0.5181445299999999,0.5181445299999999
c1,0.58,7net-omni-omat24,0.97265625,0.39265625000000004,0.39265625000000004
c1,0.58,orb_omat,0.78222656,0.20222656000000006,0.20222656000000006
c2,0.12,7net-ompa-omat24,0.66503906,0.54503906,0.54503906
c2,0.12,7net-omni-omat24,0.56567383,0.44567383000000005,0.44567383000000005
c2,0.12,orb_omat,0.31567383,0.19567383,0.19567383
d,0.16,7net-ompa-omat24,0.09265137,-0.06734863,0.06734863
d,0.16,7net-omni-omat24,0.07653809,-0.08346191,0.08346191
d,0.16,orb_omat,0.11083984,-0.04916016000000001,0.04916016000000001
e,0.13,7net-ompa-omat24,0.11022949,-0.019770510000000005,0.019770510000000005
e,0.13,7net-omni-omat24,0.06787109,-0.06212891000000001,0.06212891000000001
e,0.13,orb_omat,0.07055664,-0.05944336,0.05944336
f,-0.09,7net-ompa-omat24,-0.0047607,0.08523929999999999,0.08523929999999999
f,-0.09,7net-omni-omat24,0.00036621,0.09036621,0.09036621
f,-0.09,orb_omat,0.02441406,0.11441406,0.11441406
g,-0.09,7net-ompa-omat24,0.16381836,0.25381836,0.25381836
g,-0.09,7net-omni-omat24,0.1439209,0.2339209,0.2339209
g,-0.09,orb_omat,0.09790039,0.18790039,0.18790039
h,-0.65,7net-ompa-omat24,-0.5939941,0.05600590000000005,0.05600590000000005
h,-0.65,7net-omni-omat24,-0.5688477,0.08115230000000007,0.08115230000000007
h,-0.65,orb_omat,-0.5759277,0.07407229999999998,0.07407229999999998
i,-1.67,7net-ompa-omat24,-1.6153564,0.0546435999999999,0.0546435999999999
i,-1.67,7net-omni-omat24,-1.5789795,0.09102049999999995,0.09102049999999995
i,-1.67,orb_omat,-1.4593506,0.21064939999999988,0.21064939999999988
j,1.07,7net-ompa-omat24,1.31945801,0.2494580099999999,0.2494580099999999
j,1.07,7net-omni-omat24,0.99230957,-0.07769043000000009,0.07769043000000009
j,1.07,orb_omat,0.94384766,-0.12615234000000008,0.12615234000000008
k,1.5,7net-ompa-omat24,1.44628906,-0.053710939999999985,0.053710939999999985
k,1.5,7net-omni-omat24,1.29968262,-0.20031738,0.20031738
k,1.5,orb_omat,1.49133301,-0.008666990000000041,0.008666990000000041
