pos1,pos2,DFT,7net-0,7net-l3i5,7net-omat,7net-ompa-mpa,7net-ompa-omat24,7net-omni-mpa,7net-omni-omat24,orb_mpa,orb_omat,esen_oam,esen_omat,7net-0-AE,7net-l3i5-AE,7net-omat-AE,7net-ompa-mpa-AE,7net-ompa-omat24-AE,7net-omni-omat24-AE,7net-omni-mpa-AE,orb_mpa-AE,orb_omat-AE,esen_oam-AE,esen_omat-AE
C,Vac,0.47,0.28601074,-0.1015625,0.69506836,0.70422363,0.72570801,0.6439209,0.64172363,0.59973145,0.59118652,0.52368164,0.52819824,0.18398926,0.5715625,0.22506836,0.23422363,0.25570801,0.17172363,0.1739209,0.12973145,0.12118652,0.05368164,0.05819824
C,Vac-Vac,-0.01,-0.1627197,-0.3913574,-0.0169678,0.14978027,0.1763916,0.06262207,0.06970215,-0.1151123,-0.0301514,-0.0214844,-0.0483398,0.1527197,0.3813574,0.0069678,0.15978027,0.1863916,0.07970215,0.07262207,0.1051123,0.0201514,0.0114844,0.0383398
C,Vac-Vac,0.68,0.43212891,-0.0753174,1.31140137,1.30541992,1.34362793,1.17102051,1.16870117,1.07531738,1.15856934,1.06884766,1.07824707,0.24787109,0.7553174,0.63140137,0.62541992,0.66362793,0.48870117,0.49102051,0.39531738,0.47856934,0.38884766,0.39824707
C,Vac-Vac,0.47,0.12988281,-0.4523926,0.36877441,0.48791504,0.52929688,0.39379883,0.3951416,0.29541016,0.30627441,0.50036621,0.50146484,0.34011719,0.9223926,0.10122559,0.01791504,0.05929688,0.0748584,0.07620117,0.17458984,0.16372559,0.03036621,0.03146484
C,Vac-Vac,0.34,0.42749023,-0.192749,0.86437988,0.91259766,0.93566895,0.84265137,0.82446289,0.76293945,0.76208496,0.76123047,0.75500488,0.08749023,0.532749,0.52437988,0.57259766,0.59566895,0.48446289,0.50265137,0.42293945,0.42208496,0.42123047,0.41500488
C,Vac-Vac,0.58,0.37524414,-0.1113281,0.95739746,1.06518555,1.09814453,0.98632813,0.97265625,0.76318359,0.78222656,0.75463867,0.76269531,0.20475586,0.6913281,0.37739746,0.48518555,0.51814453,0.39265625,0.40632813,0.18318359,0.20222656,0.17463867,0.18269531
C,C,0.12,0.02392578,-0.6983643,0.53393555,0.62207031,0.66503906,0.58874512,0.56567383,0.27856445,0.31567383,0.35888672,0.36242676,0.09607422,0.8183643,0.41393555,0.50207031,0.54503906,0.44567383,0.46874512,0.15856445,0.19567383,0.23888672,0.24242676
C,C,0.16,0.06518555,-0.0634766,0.09594727,0.09020996,0.09265137,0.06860352,0.07653809,-0.1351318,0.11083984,0.04284668,0.03222656,0.09481445,0.2234766,0.06405273,0.06979004,0.06734863,0.08346191,0.09139648,0.2951318,0.04916016,0.11715332,0.12777344
C,C,0.13,0.01049805,-0.0703125,0.05749512,0.09228516,0.11022949,0.06811523,0.06787109,-0.1087646,0.07055664,-0.0015869,0.0020752,0.11950195,0.2003125,0.07250488,0.03771484,0.01977051,0.06212891,0.06188477,0.2387646,0.05944336,0.1315869,0.1279248
C,C,-0.09,-0.1757813,-0.2376709,-0.0688477,-0.0429688,-0.0047607,-0.0223389,0.00036621,-0.2410889,0.02441406,-0.1256104,-0.1442871,0.0857813,0.1476709,0.0211523,0.0470312,0.0852393,0.09036621,0.0676611,0.1510889,0.11441406,0.0356104,0.0542871
C,C,-0.09,0.02722168,0.0411377,0.00439453,0.15234375,0.16381836,0.12072754,0.1439209,-0.1485596,0.09790039,0.0123291,0.04760742,0.11722168,0.1311377,0.09439453,0.24234375,0.25381836,0.2339209,0.21072754,0.0585596,0.18790039,0.1023291,0.13760742
C,C,-0.65,-0.5356445,-0.4841309,-0.5639648,-0.6262207,-0.5939941,-0.5778809,-0.5688477,-0.7938232,-0.5759277,-0.7145996,-0.7392578,0.1143555,0.1658691,0.0860352,0.0237793,0.0560059,0.0811523,0.0721191,0.1438232,0.0740723,0.0645996,0.0892578
C,C,-1.67,-0.9069824,-1.4223633,-1.6230469,-1.6635742,-1.6153564,-1.5349121,-1.5789795,-1.8227539,-1.4593506,-1.5593262,-1.6273193,0.7630176,0.2476367,0.0469531,0.0064258,0.0546436,0.0910205,0.1350879,0.1527539,0.2106494,0.1106738,0.0426807
C-C,Vac,1.07,0.35656738,-0.4833984,1.15490723,1.27905273,1.31945801,0.99511719,0.99230957,0.95751953,0.94384766,0.96594238,0.98986816,0.71343262,1.5533984,0.08490723,0.20905273,0.24945801,0.07769043,0.07488281,0.11248047,0.12615234,0.10405762,0.08013184
C-C,Vac,1.5,0.75427246,0.52416992,1.41259766,1.36437988,1.44628906,1.23596191,1.29968262,1.24841309,1.49133301,1.3125,1.3034668,0.74572754,0.97583008,0.08740234,0.13562012,0.05371094,0.20031738,0.26403809,0.25158691,0.00866699,0.1875,0.1965332
