ompa-mpa,ompa-omat,MACE-mpa,MACE-omat,ORB-mpa,ORB-omat,eSEN-oam,eSEN-omat,DPA-mp,DPA-omat,UMA-omc,UMA-omat,omni-mpa,omni-omat,omni-matpes_pbe
0.23422363,0.25583008,0.06818868,0.47667142,0.13339355,0.12106445,0.053681641,0.05807617,0.12951502,0.28983694,3.7974808,0.18805054,0.13266113,0.27755859,0.27951172
0.15978027,0.18651367,0.0309019,0.22158133,0.0694678,0.0202734,0.011484375,,0.07014227,0.11353452,0.04656049,0.05910278,0.02159668,0.09544922,0.10301758
0.62541992,0.66375,0.16339378,0.91674661,0.40032227,0.47844727,0.388847656,0.39800293,0.27847166,0.5545551,1.6317225,0.50458557,0.37090332,0.63030273,0.6682666
0.01791504,0.05929688,0.22118332,0.48609798,0.17324707,0.16396973,0.03036621,0.0312207,0.02073472,0.08414331,0.5178344,0.07943848,0.14675781,0.03555176,0.02944824
0.57259766,0.59579102,0.15498683,0.82634907,0.42745605,0.42184082,0.421230469,0.41463867,0.40243653,0.55313832,1.2584713,0.44930664,0.45858398,0.59652344,0.60128418
0.48518555,0.51814453,0.08047006,0.704659,0.1868457,0.20198242,0.174638672,0.1823291,0.28554803,0.50292207,3.813798428,,0.30842773,0.46858398,0.5314502
0.50207031,0.54503906,0.05760679,0.83313326,0.16637695,0.19542969,0.238886719,0.24218262,0.74554864,0.60498646,4.273796725,0.39542664,0.34557617,0.52294434,0.55443848
0.06991211,0.06734863,0.05785626,0.05745102,0.07259766,0.04928223,0.117275391,,0.08223322,0.05583993,3.795577192,0.05076233,0.11556641,0.08626953,0.0954248
0.03771484,0.01989258,0.02889719,0.00342673,0.08654297,0.05956543,0.131586914,0.12829102,0.05128882,0.00092601,3.002077933,0.05851257,0.1497754,0.08849609,0.08263672
0.0470312,0.0852393,0.10552511,0.0309933,0.0594824,0.11416992,0.035610352,0.0546533,0.0456485,0.12293949,8.920279196,,0.061001,0.0419043,0.046543
0.24234375,0.25381836,0.29558295,0.17896986,0.14786133,0.18777832,0.101962891,0.13711914,0.13738033,0.21780154,7.094172678,0.19028076,0.0597266,0.18448242,0.15860352
0.0237793,0.0560059,0.0426038,0.0058526,0.0113281,0.0738281,0.06472168,0.089624,0.0383552,0.1176272,11.07242436,0.0047241,0.009375,0.0813965,0.1095947
0.0064258,0.0546436,0.300412,0.0636932,0.3721484,0.2105273,0.1106738,0.0420703,0.4637484,0.4196205,15.9681126,0.2066821,0.1173877,0.0231494,0.0221387
0.2091748,0.24945801,0.49796787,0.52092829,0.06804687,0.12639648,0.103935547,0.08049805,0.09749443,0.25200485,2.962479675,0.14081543,0.02729004,0.31354492,0.34223145
0.13562012,0.05371094,0.57500313,0.2704297,0.24890137,0.00891113,0.1875,0.19702148,0.27270114,0.10259929,5.488294852,,0.41638184,0.03063965,0.01525879
