DFT,model,pred,delta,abs_error
0.47,ompa-mpa,0.70422363,0.23422363000000002,0.23422363000000002
-0.01,ompa-mpa,0.14978027,0.15978027,0.15978027
0.68,ompa-mpa,1.30541992,0.62541992,0.62541992
0.47,ompa-mpa,0.48791504,0.01791504000000005,0.01791504000000005
0.34,ompa-mpa,0.91259766,0.57259766,0.57259766
0.58,ompa-mpa,1.06518555,0.4851855500000001,0.4851855500000001
0.12,ompa-mpa,0.62207031,0.50207031,0.50207031
0.16,ompa-mpa,0.09008789,-0.06991211,0.06991211
0.13,ompa-mpa,0.09228516,-0.03771484,0.03771484
-0.09,ompa-mpa,-0.0429688,0.047031199999999995,0.047031199999999995
-0.09,ompa-mpa,0.15234375,0.24234375,0.24234375
-0.65,ompa-mpa,-0.6262207,0.02377930000000006,0.02377930000000006
-1.67,ompa-mpa,-1.6635742,0.006425799999999926,0.006425799999999926
1.07,ompa-mpa,1.2791748,0.2091748,0.2091748
1.5,ompa-mpa,1.36437988,-0.13562012,0.13562012
0.47,ompa-omat,0.72583008,0.25583008000000007,0.25583008000000007
-0.01,ompa-omat,0.17651367,0.18651367000000002,0.18651367000000002
0.68,ompa-omat,1.34375,0.66375,0.66375
0.47,ompa-omat,0.52929688,0.059296879999999996,0.059296879999999996
0.34,ompa-omat,0.93579102,0.5957910200000001,0.5957910200000001
0.58,ompa-omat,1.09814453,0.5181445299999999,0.5181445299999999
0.12,ompa-omat,0.66503906,0.54503906,0.54503906
0.16,ompa-omat,0.09265137,-0.06734863,0.06734863
0.13,ompa-omat,0.11010742,-0.019892580000000007,0.019892580000000007
-0.09,ompa-omat,-0.0047607,0.08523929999999999,0.08523929999999999
-0.09,ompa-omat,0.16381836,0.25381836,0.25381836
-0.65,ompa-omat,-0.5939941,0.05600590000000005,0.05600590000000005
-1.67,ompa-omat,-1.6153564,0.0546435999999999,0.0546435999999999
1.07,ompa-omat,1.31945801,0.2494580099999999,0.2494580099999999
1.5,ompa-omat,1.44628906,-0.053710939999999985,0.053710939999999985
0.47,MACE-mpa,0.40181132,-0.06818867999999995,0.06818867999999995
-0.01,MACE-mpa,-0.0409019,-0.030901899999999996,0.030901899999999996
0.68,MACE-mpa,0.84339378,0.16339377999999993,0.16339377999999993
0.47,MACE-mpa,0.24881668,-0.22118331999999996,0.22118331999999996
0.34,MACE-mpa,0.49498683,0.15498682999999996,0.15498682999999996
0.58,MACE-mpa,0.66047006,0.08047006000000001,0.08047006000000001
0.12,MACE-mpa,0.17760679,0.05760678999999999,0.05760678999999999
0.16,MACE-mpa,0.10214374,-0.05785626000000001,0.05785626000000001
0.13,MACE-mpa,0.15889719,0.02889718999999999,0.02889718999999999
-0.09,MACE-mpa,0.01552511,0.10552510999999999,0.10552510999999999
-0.09,MACE-mpa,0.20558295,0.29558295,0.29558295
-0.65,MACE-mpa,-0.6073962,0.04260379999999997,0.04260379999999997
-1.67,MACE-mpa,-1.369588,0.3004119999999999,0.3004119999999999
1.07,MACE-mpa,0.57203213,-0.4979678700000001,0.4979678700000001
1.5,MACE-mpa,0.92499687,-0.57500313,0.57500313
0.47,MACE-omat,0.94667142,0.47667142000000007,0.47667142000000007
-0.01,MACE-omat,0.21158133,0.22158133000000002,0.22158133000000002
0.68,MACE-omat,1.59674661,0.91674661,0.91674661
0.47,MACE-omat,0.95609798,0.48609798000000004,0.48609798000000004
0.34,MACE-omat,1.16634907,0.82634907,0.82634907
0.58,MACE-omat,1.284659,0.704659,0.704659
0.12,MACE-omat,0.95313326,0.83313326,0.83313326
0.16,MACE-omat,0.10254898,-0.057451020000000005,0.057451020000000005
0.13,MACE-omat,0.12657327,-0.0034267300000000167,0.0034267300000000167
-0.09,MACE-omat,-0.1209933,-0.0309933,0.0309933
-0.09,MACE-omat,0.08896986,0.17896985999999998,0.17896985999999998
-0.65,MACE-omat,-0.6558526,-0.005852599999999986,0.005852599999999986
-1.67,MACE-omat,-1.6063068,0.0636931999999999,0.0636931999999999
1.07,MACE-omat,1.59092829,0.5209282899999998,0.5209282899999998
1.5,MACE-omat,1.7704297,0.2704297,0.2704297
0.47,ORB-mpa,0.60339355,0.13339354999999997,0.13339354999999997
-0.01,ORB-mpa,-0.0794678,-0.06946780000000001,0.06946780000000001
0.68,ORB-mpa,1.08032227,0.40032226999999987,0.40032226999999987
0.47,ORB-mpa,0.29675293,-0.17324706999999995,0.17324706999999995
0.34,ORB-mpa,0.76745605,0.4274560499999999,0.4274560499999999
0.58,ORB-mpa,0.7668457,0.1868457,0.1868457
0.12,ORB-mpa,0.28637695,0.16637695000000002,0.16637695000000002
0.16,ORB-mpa,0.08740234,-0.07259766000000001,0.07259766000000001
0.13,ORB-mpa,0.04345703,-0.08654297,0.08654297
-0.09,ORB-mpa,-0.0305176,0.0594824,0.0594824
-0.09,ORB-mpa,0.05786133,0.14786133,0.14786133
-0.65,ORB-mpa,-0.6386719,0.011328100000000063,0.011328100000000063
-1.67,ORB-mpa,-1.2978516,0.37214839999999993,0.37214839999999993
1.07,ORB-mpa,1.00195313,-0.06804687000000009,0.06804687000000009
1.5,ORB-mpa,1.25109863,-0.24890137,0.24890137
0.47,ORB-omat,0.59106445,0.12106444999999999,0.12106444999999999
-0.01,ORB-omat,-0.0302734,-0.020273399999999997,0.020273399999999997
0.68,ORB-omat,1.15844727,0.47844726999999987,0.47844726999999987
0.47,ORB-omat,0.30603027,-0.16396972999999998,0.16396972999999998
0.34,ORB-omat,0.76184082,0.42184081999999995,0.42184081999999995
0.58,ORB-omat,0.78198242,0.20198242,0.20198242
0.12,ORB-omat,0.31542969,0.19542969,0.19542969
0.16,ORB-omat,0.11071777,-0.04928223000000001,0.04928223000000001
0.13,ORB-omat,0.07043457,-0.05956543,0.05956543
-0.09,ORB-omat,0.02416992,0.11416992,0.11416992
-0.09,ORB-omat,0.09777832,0.18777832,0.18777832
-0.65,ORB-omat,-0.5761719,0.07382810000000006,0.07382810000000006
-1.67,ORB-omat,-1.4594727,0.21052729999999986,0.21052729999999986
1.07,ORB-omat,0.94360352,-0.12639648000000003,0.12639648000000003
1.5,ORB-omat,1.49108887,-0.00891112999999999,0.00891112999999999
0.47,eSEN-oam,0.523681641,0.05368164100000006,0.05368164100000006
-0.01,eSEN-oam,-0.021484375,-0.011484375,0.011484375
0.68,eSEN-oam,1.068847656,0.38884765599999993,0.38884765599999993
0.47,eSEN-oam,0.50036621,0.03036621000000006,0.03036621000000006
0.34,eSEN-oam,0.761230469,0.421230469,0.421230469
0.58,eSEN-oam,0.754638672,0.17463867200000005,0.17463867200000005
0.12,eSEN-oam,0.358886719,0.23888671900000003,0.23888671900000003
0.16,eSEN-oam,0.042724609,-0.117275391,0.117275391
0.13,eSEN-oam,-0.001586914,-0.131586914,0.131586914
-0.09,eSEN-oam,-0.125610352,-0.03561035200000001,0.03561035200000001
-0.09,eSEN-oam,0.011962891,0.101962891,0.101962891
-0.65,eSEN-oam,-0.71472168,-0.06472168,0.06472168
-1.67,eSEN-oam,-1.5593262,0.11067379999999982,0.11067379999999982
1.07,eSEN-oam,0.966064453,-0.10393554700000007,0.10393554700000007
1.5,eSEN-oam,1.3125,-0.1875,0.1875
0.47,eSEN-omat,0.52807617,0.05807616999999998,0.05807616999999998
-0.01,eSEN-omat,,,
0.68,eSEN-omat,1.07800293,0.39800293,0.39800293
0.47,eSEN-omat,0.5012207,0.03122069999999999,0.03122069999999999
0.34,eSEN-omat,0.75463867,0.41463866999999993,0.41463866999999993
0.58,eSEN-omat,0.7623291,0.18232910000000002,0.18232910000000002
0.12,eSEN-omat,0.36218262,0.24218262000000002,0.24218262000000002
0.16,eSEN-omat,,,
0.13,eSEN-omat,0.00170898,-0.12829102,0.12829102
-0.09,eSEN-omat,-0.1446533,-0.054653300000000016,0.054653300000000016
-0.09,eSEN-omat,0.04711914,0.13711914,0.13711914
-0.65,eSEN-omat,-0.739624,-0.08962399999999993,0.08962399999999993
-1.67,eSEN-omat,-1.6279297,0.042070300000000005,0.042070300000000005
1.07,eSEN-omat,0.98950195,-0.0804980500000001,0.0804980500000001
1.5,eSEN-omat,1.30297852,-0.19702148000000008,0.19702148000000008
0.47,DPA-mp,0.59951502,0.12951502000000004,0.12951502000000004
-0.01,DPA-mp,0.06014227,0.07014226999999999,0.07014226999999999
0.68,DPA-mp,0.95847166,0.2784716599999999,0.2784716599999999
0.47,DPA-mp,0.49073472,0.02073472000000004,0.02073472000000004
0.34,DPA-mp,0.74243653,0.40243652999999996,0.40243652999999996
0.58,DPA-mp,0.86554803,0.28554803000000006,0.28554803000000006
0.12,DPA-mp,0.86554864,0.74554864,0.74554864
0.16,DPA-mp,0.07776678,-0.08223322000000001,0.08223322000000001
0.13,DPA-mp,0.07871118,-0.05128882,0.05128882
-0.09,DPA-mp,-0.0443515,0.045648499999999995,0.045648499999999995
-0.09,DPA-mp,0.04738033,0.13738033,0.13738033
-0.65,DPA-mp,-0.6116448,0.038355200000000034,0.038355200000000034
-1.67,DPA-mp,-1.2062516,0.46374839999999984,0.46374839999999984
1.07,DPA-mp,0.97250557,-0.09749443000000002,0.09749443000000002
1.5,DPA-mp,1.22729886,-0.2727011399999999,0.2727011399999999
0.47,DPA-omat,0.75983694,0.28983694000000004,0.28983694000000004
-0.01,DPA-omat,0.10353452,0.11353452,0.11353452
0.68,DPA-omat,1.2345551,0.5545550999999999,0.5545550999999999
0.47,DPA-omat,0.55414331,0.08414330999999997,0.08414330999999997
0.34,DPA-omat,0.89313832,0.55313832,0.55313832
0.58,DPA-omat,1.08292207,0.50292207,0.50292207
0.12,DPA-omat,0.72498646,0.60498646,0.60498646
0.16,DPA-omat,0.10416007,-0.05583993000000001,0.05583993000000001
0.13,DPA-omat,0.13092601,0.0009260100000000049,0.0009260100000000049
-0.09,DPA-omat,0.03293949,0.12293949,0.12293949
-0.09,DPA-omat,0.12780154,0.21780154,0.21780154
-0.65,DPA-omat,-0.5323728,0.11762720000000004,0.11762720000000004
-1.67,DPA-omat,-1.2503795,0.41962049999999995,0.41962049999999995
1.07,DPA-omat,1.32200485,0.25200484999999984,0.25200484999999984
1.5,DPA-omat,1.60259929,0.1025992899999999,0.1025992899999999
0.47,UMA-omat,0.65805054,0.18805054,0.18805054
-0.01,UMA-omat,0.04910278,0.05910278,0.05910278
0.68,UMA-omat,1.18458557,0.50458557,0.50458557
0.47,UMA-omat,0.54943848,0.07943847999999998,0.07943847999999998
0.34,UMA-omat,0.78930664,0.4493066399999999,0.4493066399999999
0.58,UMA-omat,,,
0.12,UMA-omat,0.51542664,0.39542664000000005,0.39542664000000005
0.16,UMA-omat,0.10923767,-0.05076233000000001,0.05076233000000001
0.13,UMA-omat,0.07148743,-0.05851257,0.05851257
-0.09,UMA-omat,,,
-0.09,UMA-omat,0.10028076,0.19028076,0.19028076
-0.65,UMA-omat,-0.6547241,-0.004724100000000009,0.004724100000000009
