,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-omat,esen-oam,dpa-mp,dpa-omat,uma-omc,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe
Fe128,-1082.736572265625,-1058.550048828125,-1084.1128337838577,-1062.8198874984184,-1079.76953125,-1058.95458984375,-1057.8597412109375,-1082.5767822265625,-1075.3497607707977,-1060.5933022499084,-597.794961572876,-1058.333040147267,-1081.4375,-1058.30419921875,-1059.31201171875
Fe127Vac,-1072.0396728515625,-1047.982421875,-1073.438989306336,-1052.0398367203018,-1069.4617919921875,-1048.6954345703125,-1047.4453125,-1071.93505859375,-1065.195997953415,-1050.3730231523514,-593.8038682949385,-1047.9249953180067,-1070.8985595703125,-1047.837890625,-1048.6846923828125
Fe128C,-1091.176513671875,-1066.98388671875,-1092.2902296270936,-1070.9231755941641,-1088.2239990234375,-1067.2022705078125,-1066.52734375,-1091.1845703125,-1083.7236488163471,-1068.7629390358925,-602.655746051846,-1066.7828002119952,-1090.24609375,-1066.810302734375,-1067.8572998046875
a1,-1081.183837890625,-1057.14208984375,-1082.0181964663757,-1061.089796232024,-1078.5196533203125,-1057.5341796875,-1056.6409912109375,-1081.0665283203125,-1074.1694010198116,-1059.302496880293,-595.3371719452074,-1057.0328516962115,-1080.309814453125,-1057.091552734375,-1057.9794921875
a2,-1080.62939453125,-1056.5927734375,-1081.57548329289,-1060.3547061451343,-1077.8367919921875,-1056.912841796875,-1056.064453125,-1080.5213623046875,-1073.6300282739105,-1058.6461944580078,-598.701213268741,-1056.423858165938,-1079.71875,-1056.429443359375,-1057.322998046875
b1,-1071.088134765625,-1047.1923828125,-1071.7859344494527,-1050.959820644601,-1068.6888427734375,-1047.8424072265625,-1046.7764892578125,-1070.969970703125,-1064.3745948374271,-1049.5569359362123,-593.7218369765612,-1047.151326642342,-1070.2191162109375,-1047.18798828125,-1047.950927734375
b2,-1070.2706298828125,-1046.3779296875,-1071.1913573475276,-1050.319172017415,-1067.9052734375,-1046.989990234375,-1046.19970703125,-1070.4014892578125,-1063.9068579040468,-1048.8765241503716,-594.6257250785391,-1046.5161642888263,-1069.491455078125,-1046.3121337890625,-1047.043212890625
b3,-1070.6953125,-1046.784423828125,-1071.4375274982697,-1050.5294231040982,-1068.3759765625,-1047.44580078125,-1046.453125,-1070.662353515625,-1064.1585597097874,-1049.2155191600325,-593.7550881775842,-1046.7560324528888,-1069.966796875,-1046.814208984375,-1047.5439453125
c1,-1070.847900390625,-1046.94677734375,-1071.6030107322356,-1050.6477330343016,-1068.3753662109375,-1047.4659423828125,-1046.4608154296875,-1070.65576171875,-1064.2816712111237,-1049.4053029119968,-599.06735792366,-1046.9158987858966,-1070.056640625,-1046.92626953125,-1047.714111328125
c2,-1070.40478515625,-1046.513671875,-1071.1201474659624,-1050.3162073022113,-1067.8948974609375,-1046.9993896484375,-1046.0606689453125,-1070.260009765625,-1064.281671822071,-1049.0473673008382,-599.0673562207138,-1046.482182965584,-1069.6337890625,-1046.5206298828125,-1047.277099609375
d,-1099.70654296875,-1075.5103759765625,-1100.569769210921,-1079.1290126664617,-1096.765869140625,-1075.5606689453125,-1075.2266845703125,-1099.8350830078125,-1092.1753036379814,-1077.0367358922958,-611.4721077228623,-1075.3418742415672,-1099.09912109375,-1075.39013671875,-1076.4671630859375
e,-1099.708740234375,-1075.52783203125,-1100.626522657857,-1079.153036958351,-1096.721923828125,-1075.5203857421875,-1075.1966552734375,-1099.790771484375,-1092.1762480437756,-1077.0635018348694,-610.648608463522,-1075.303971409536,-1099.034912109375,-1075.35791015625,-1076.449951171875
f,-1099.573486328125,-1075.4129638671875,-1100.4831505831526,-1078.9054703886652,-1096.64794921875,-1075.47412109375,-1075.05029296875,-1099.666748046875,-1092.053185388446,-1076.965515315533,-616.3468097273098,-1075.1924754378565,-1098.9036865234375,-1075.268310546875,-1076.359130859375
g,-1099.768798828125,-1075.58154296875,-1100.6732084185796,-1079.1154335458184,-1096.736328125,-1075.5477294921875,-1075.2420654296875,-1099.8043212890625,-1092.144917190075,-1077.0603773593905,-614.5207032083994,-1075.3328715560203,-1099.0244140625,-1075.410888671875,-1076.47119140625
h,-1098.990234375,-1074.82373046875,-1099.8602292990277,-1078.370611119066,-1096.039794921875,-1074.873779296875,-1074.4552001953125,-1099.07763671875,-1091.485892109573,-1076.400203049183,-617.9389548868479,-1074.5778514144188,-1098.4140625,-1074.747802734375,-1075.8621826171875
i,-1097.952880859375,-1073.8023681640625,-1099.0980374858823,-1077.4201569159834,-1095.380615234375,-1073.990478515625,-1073.5670166015625,-1098.232666015625,-1090.8912852481008,-1075.6821963191032,-621.8146431281234,-1073.769150852895,-1097.5020751953125,-1073.6695556640625,-1074.71044921875
j,-1090.19873046875,-1066.1695556640625,-1090.3658131241832,-1069.8373412002702,-1087.3726806640625,-1066.1343994140625,-1065.77001953125,-1090.11669921875,-1082.9162796139717,-1068.0343015789986,-607.5579169278598,-1066.035422429885,-1089.613037109375,-1066.233642578125,-1067.1875
k,-1090.283935546875,-1066.29638671875,-1090.7187778629434,-1070.0168426072712,-1087.621826171875,-1066.681884765625,-1066.08349609375,-1090.463134765625,-1083.1710729077458,-1068.314896017313,-610.5137321044068,-1066.3751593683617,-1089.599365234375,-1066.3807373046875,-1067.29052734375
Fe127Co,-1081.529296875,-1057.47314453125,-1082.9081420554455,-1061.5763848379597,-1078.70458984375,-1057.864990234375,-1056.8170166015625,-1081.4434814453125,-1074.139181137085,-1059.3696545362473,-593.0900859825355,-1057.222198864024,-1080.2705078125,-1057.2125244140625,-1058.203857421875
Fe126Co2,-1080.271118,-1056.341187,-1081.699872,-1060.326002,-1077.558472,-1056.730835,-1055.725708,-1080.245239,-1072.889086,-1058.117033,-593.706288,-1056.075316,-1079.045898,-1056.064941,-1057.0354
Fe127Cr,-1083.9615478515625,-1059.861572265625,-1085.1421960936595,-1063.7667561102637,-1081.2403564453125,-1060.20703125,-1059.362548828125,-1084.0679931640625,-1076.3897545337677,-1061.70087993145,-594.3563823485258,-1059.7308710175964,-1082.6287841796875,-1059.564453125,-1060.35791015625
Fe126Cr2,-1085.045654,-1061.026123,-1086.173843,-1064.711082,-1082.453247,-1061.284912,-1060.606934,-1085.213867,-1077.466219,-1062.777065,-597.847885,-1060.90603,-1083.724976,-1060.721558,-1061.385132
Fe127Cu,-1077.85986328125,-1053.5196533203125,-1078.9593726680328,-1057.4334680875706,-1074.955810546875,-1053.759521484375,-1052.78857421875,-1077.6572265625,-1070.377133011818,-1055.425180196762,-592.2970982896509,-1053.1809940121138,-1076.6484375,-1053.262939453125,-1054.2462158203125
Fe126Cu2,-1073.116943,-1048.622925,-1073.931918,-1052.25334,-1070.273071,-1048.728149,-1047.882812,-1072.89563,-1065.619699,-1050.459,-587.412329,-1048.230883,-1071.97876,-1048.365845,-1049.325073
Fe127Mn,-1083.1414794921875,-1058.9840087890625,-1084.3976648839746,-1063.389925754,-1080.4285888671875,-1059.47802734375,-1058.4884033203125,-1083.1768798828125,-1075.8771450519562,-1061.0795047283173,-593.1964113103777,-1058.8378714984844,-1081.859375,-1058.75634765625,-1059.613037109375
Fe126Mn2,-1083.623291,-1059.495239,-1084.735331,-1063.960731,-1081.055664,-1060.00769,-1059.119507,-1083.765625,-1076.451231,-1061.625444,-595.644553,-1059.368963,-1082.345337,-1059.274048,-1059.993896
Fe127Mo,-1084.926513671875,-1061.008056640625,-1086.2908521203105,-1065.0582707588665,-1082.266357421875,-1061.439208984375,-1060.621826171875,-1085.08056640625,-1077.6464014053345,-1063.0069041252136,-595.3027258397591,-1060.931629207925,-1083.6485595703125,-1060.775634765625,-1061.55322265625
Fe126Mo2,-1086.931519,-1063.275146,-1088.33444,-1067.184976,-1084.495972,-1063.787598,-1063.126953,-1087.280151,-1079.758083,-1065.232144,-591.265227,-1063.289877,-1085.744873,-1063.134644,-1063.750732
Fe127Nb,-1084.37158203125,-1060.306396484375,-1085.7528951403547,-1064.130999357051,-1081.6680908203125,-1060.862060546875,-1059.854248046875,-1084.4473876953125,-1077.0679383277893,-1062.2735713124275,-600.277326312353,-1060.232161726387,-1083.210693359375,-1060.192138671875,-1060.9852294921875
Fe126Nb2,-1085.648926,-1061.706543,-1087.073919,-1065.241037,-1083.198242,-1062.442627,-1061.5177,-1085.921997,-1078.482026,-1063.645594,-597.835775,-1061.801281,-1084.674927,-1061.761963,-1062.376221
Fe127Ni,-1079.9881591796875,-1055.71044921875,-1081.2599601779739,-1059.7743369391103,-1077.1397705078125,-1056.0673828125,-1055.079833984375,-1079.9317626953125,-1072.5673969984055,-1057.6667238473892,-593.7179093941759,-1055.456383397397,-1078.787841796875,-1055.5234375,-1056.445556640625
Fe126Ni2,-1077.271729,-1052.90332,-1078.483501,-1056.850125,-1074.547363,-1053.245361,-1052.310913,-1077.26416,-1069.805745,-1054.790224,-596.705701,-1052.608978,-1076.159424,-1052.771362,-1053.614746
Fe127Ti,-1082.943603515625,-1058.82568359375,-1084.3304084505621,-1062.6199308793891,-1080.184814453125,-1059.2799072265625,-1058.219970703125,-1082.8447265625,-1075.7035559415817,-1060.7920635454357,-595.1200066248614,-1058.6627920932199,-1081.764892578125,-1058.703857421875,-1059.58251953125
Fe126Ti2,-1082.817505,-1058.767212,-1084.077796,-1062.170539,-1080.249634,-1059.29126,-1058.306152,-1082.81311,-1075.759338,-1060.720229,-589.363521,-1058.744528,-1081.862305,-1058.848633,-1059.5979
Fe127V,-1083.986572265625,-1059.834716796875,-1085.3308624030426,-1063.7417949254886,-1081.2972412109375,-1060.289794921875,-1059.322509765625,-1084.0408935546875,-1076.6763496398926,-1061.7738573551178,-595.6040007656776,-1059.7203324529632,-1082.77783203125,-1059.685302734375,-1060.460205078125
Fe126V2,-1084.95752,-1060.82666,-1086.405988,-1064.537642,-1082.513916,-1061.352051,-1060.530151,-1085.211548,-1077.80633,-1062.784569,-590.143593,-1060.890446,-1083.911133,-1060.82959,-1061.407349
