dft,7net-0,7net-l3i5,7net-omat,ompa-mpa,ompa-omat24,omni-mpa,omni-omat24,orb_mpa,orb_omat,dpa-mp,dpa-omat,esen_omat,ompa-mpa_delta,ompa-omat24_delta,omni-mpa_delta,omni-omat24_delta,orb_mpa_delta,orb_omat_delta,dpa-mp_delta,dpa-omat_delta,esen_omat_delta
0.47,0.28601074,-0.1015625,0.69506836,0.70422363,0.72570801,0.6439209,0.64172363,0.59973145,0.59118652,0.59956326,0.75984666,0.52819824,0.23422363000000002,0.25570801,0.17392090000000004,0.17172363000000002,0.12973145000000008,0.12118652000000008,0.12956326000000007,0.28984666000000003,0.05819824000000007
-0.01,-0.1627197,-0.3913574,-0.0169678,0.14978027,0.1763916,0.06262207,0.06970215,-0.1151123,-0.0301514,0.06017656,0.10354659,-0.0483398,0.15978027,0.18639160000000002,0.07262207,0.07970215,-0.1051123,-0.0201514,0.07017656,0.11354658999999999,-0.0383398
0.68,0.43212891,-0.0753174,1.31140137,1.30541992,1.34362793,1.17102051,1.16870117,1.07531738,1.15856934,0.95854694,1.23459235,1.07824707,0.62541992,0.66362793,0.4910205099999999,0.48870117,0.39531737999999994,0.47856933999999984,0.2785469399999999,0.55459235,0.3982470699999999
0.47,0.12988281,-0.4523926,0.36877441,0.48791504,0.52929688,0.39379883,0.3951416,0.29541016,0.30627441,0.49080272,0.5541794,0.50146484,0.01791504000000005,0.059296879999999996,-0.07620116999999998,-0.07485839999999999,-0.17458984,-0.16372558999999998,0.020802720000000052,0.08417940000000002,0.03146484000000005
0.34,0.42749023,-0.192749,0.86437988,0.91259766,0.93566895,0.84265137,0.82446289,0.76293945,0.76208496,0.74250765,0.89317092,0.75500488,0.57259766,0.5956689500000001,0.5026513699999999,0.4844628899999999,0.42293944999999994,0.42208496,0.40250764999999994,0.5531709199999999,0.41500487999999996
0.58,0.37524414,-0.1113281,0.95739746,1.06518555,1.09814453,0.98632813,0.97265625,0.76318359,0.78222656,0.87989378,1.08295476,0.76269531,0.4851855500000001,0.5181445299999999,0.40632813,0.39265625000000004,0.18318359000000006,0.20222656000000006,0.29989378,0.5029547600000001,0.18269531000000006
0.12,0.02392578,-0.6983643,0.53393555,0.62207031,0.66503906,0.58874512,0.56567383,0.27856445,0.31567383,0.50538391,0.72501012,0.36242676,0.50207031,0.54503906,0.46874512,0.44567383000000005,0.15856445000000002,0.19567383,0.38538391000000005,0.60501012,0.24242676000000002
0.16,0.06518555,-0.0634766,0.09594727,0.09020996,0.09265137,0.06860352,0.07653809,-0.1351318,0.11083984,0.07779926,0.10418403,0.03222656,-0.06979004,-0.06734863,-0.09139648,-0.08346191,-0.2951318,-0.04916016000000001,-0.08220074000000001,-0.055815970000000006,-0.12777344000000002
0.13,0.01049805,-0.0703125,0.05749512,0.09228516,0.11022949,0.06811523,0.06787109,-0.1087646,0.07055664,0.07874224,0.13094568,0.0020752,-0.03771484,-0.019770510000000005,-0.061884770000000006,-0.06212891000000001,-0.2387646,-0.05944336,-0.05125776,0.0009456800000000043,-0.1279248
-0.09,-0.1757813,-0.2376709,-0.0688477,-0.0429688,-0.0047607,-0.0223389,0.00036621,-0.2410889,0.02441406,-0.0443125,0.03295648,-0.1442871,0.047031199999999995,0.08523929999999999,0.0676611,0.09036621,-0.1510889,0.11441406,0.0456875,0.12295648,-0.054287100000000005
