solute,dft,7net-0,7net-l3i5,7net-omat,ompa-mpa,ompa-omat24,omni-mpa,omni-omat24,orb_mpa,orb_omat,dpa-mp,dpa-omat,esen_omat
C,0.47,0.28601074,-0.1015625,0.69506836,0.70422363,0.72570801,0.6439209,0.64172363,0.59973145,0.59118652,0.59956326,0.75984666,0.52819824
C,-0.01,-0.1627197,-0.3913574,-0.0169678,0.14978027,0.1763916,0.06262207,0.06970215,-0.1151123,-0.0301514,0.06017656,0.10354659,-0.0483398
C,0.68,0.43212891,-0.0753174,1.31140137,1.30541992,1.34362793,1.17102051,1.16870117,1.07531738,1.15856934,0.95854694,1.23459235,1.07824707
C,0.47,0.12988281,-0.4523926,0.36877441,0.48791504,0.52929688,0.39379883,0.3951416,0.29541016,0.30627441,0.49080272,0.5541794,0.50146484
C,0.34,0.42749023,-0.192749,0.86437988,0.91259766,0.93566895,0.84265137,0.82446289,0.76293945,0.76208496,0.74250765,0.89317092,0.75500488
C,0.58,0.37524414,-0.1113281,0.95739746,1.06518555,1.09814453,0.98632813,0.97265625,0.76318359,0.78222656,0.87989378,1.08295476,0.76269531
C,0.12,0.02392578,-0.6983643,0.53393555,0.62207031,0.66503906,0.58874512,0.56567383,0.27856445,0.31567383,0.50538391,0.72501012,0.36242676
C,0.16,0.06518555,-0.0634766,0.09594727,0.09020996,0.09265137,0.06860352,0.07653809,-0.1351318,0.11083984,0.07779926,0.10418403,0.03222656
C,0.13,0.01049805,-0.0703125,0.05749512,0.09228516,0.11022949,0.06811523,0.06787109,-0.1087646,0.07055664,0.07874224,0.13094568,0.0020752
C,-0.09,-0.1757813,-0.2376709,-0.0688477,-0.0429688,-0.0047607,-0.0223389,0.00036621,-0.2410889,0.02441406,-0.0443125,0.03295648,-0.1442871
C,-0.09,0.02722168,0.0411377,0.00439453,0.15234375,0.16381836,0.12072754,0.1439209,-0.1485596,0.09790039,0.04740971,0.12781888,0.04760742
C,-0.65,-0.5356445,-0.4841309,-0.5639648,-0.6262207,-0.5939941,-0.5778809,-0.5688477,-0.7938232,-0.5759277,-0.611612,-0.5323518,-0.7392578
C,-1.67,-0.9069824,-1.4223633,-1.6230469,-1.6635742,-1.6153564,-1.5349121,-1.5789795,-1.8227539,-1.4593506,-1.206219,-1.250356,-1.6273193
C,1.07,0.35656738,-0.4833984,1.15490723,1.27905273,1.31945801,0.99511719,0.99230957,0.95751953,0.94384766,0.9725765,1.32205474,0.98986816
C,1.5,0.75427246,0.52416992,1.41259766,1.36437988,1.44628906,1.23596191,1.29968262,1.24841309,1.49133301,1.22736027,1.60263094,1.3034668
Co,-0.043,-0.1431885,-0.204834,-0.0341797,-0.0509033,-0.0550537,-0.0285645,-0.0297852,-0.081665,-0.0444336,-0.0394864,-0.0289651,-0.0483398
Cr,-0.239,-0.095459,0.1583252,-0.0327148,-0.140625,-0.1467285,-0.0532227,-0.0620117,-0.2576904,-0.1744385,0.0365063,-0.0313982,-0.2579346
Cu,0.246,-0.0043945,0.04199219,0.14160156,0.13378906,0.13342285,0.11315918,0.11206055,0.12890625,0.16381836,0.21524096,0.2019875,0.16564941
Mn,0.079,0.04760742,0.23962402,0.0534668,0.07678223,0.07751465,0.0682373,0.0715332,-0.0322266,0.00634766,0.04675424,0.05978012,0.00231934
Mo,-0.277,-0.1003418,-0.2714844,-0.1459961,-0.1849365,-0.190918,-0.1345215,-0.1334229,-0.2839355,-0.1361084,-0.184911,-0.1883905,-0.2567139
Nb,-0.381,0.08508301,-0.3706055,-0.3198242,-0.3574219,-0.3562012,-0.3457031,-0.333252,-0.4041748,-0.3267822,-0.3040478,-0.3082404,-0.3311768
Ni,0.02,-0.1159668,-0.2875977,0.04760742,0.03173828,0.0324707,0.04284668,0.04406738,0.03674316,0.06518555,0.0207454,0.05011868,0.01098633
Ti,-0.246,0.12744141,-0.3651123,-0.3280029,-0.3331299,-0.3341064,-0.3221436,-0.3283691,-0.3709717,-0.3139648,-0.297966,-0.270583741,-0.2738037
V,-0.233,-0.0722656,0.00708008,-0.2043457,-0.2785645,-0.2927246,-0.2445068,-0.2490234,-0.3123779,-0.2728271,-0.1965861,-0.1698002,-0.255249
