7net-ompa-mpa,7net-ompa-omat24,7net-omni-mpa,7net-omni-omat24,orb_mpa,orb_omat
0.70422363,0.72570801,0.6439209,0.64172363,0.59973145,0.59118652
0.14978027,0.1763916,0.06262207,0.06970215,-0.1151123,-0.0301514
1.30541992,1.34362793,1.17102051,1.16870117,1.07531738,1.15856934
0.48791504,0.52929688,0.39379883,0.3951416,0.29541016,0.30627441
0.91259766,0.93566895,0.84265137,0.82446289,0.76293945,0.76208496
1.06518555,1.09814453,0.98632813,0.97265625,0.76318359,0.78222656
0.62207031,0.66503906,0.58874512,0.56567383,0.27856445,0.31567383
0.09020996,0.09265137,0.06860352,0.07653809,-0.1351318,0.11083984
0.09228516,0.11022949,0.06811523,0.06787109,-0.1087646,0.07055664
-0.0429688,-0.0047607,-0.0223389,0.00036621,-0.2410889,0.02441406
0.15234375,0.16381836,0.12072754,0.1439209,-0.1485596,0.09790039
-0.6262207,-0.5939941,-0.5778809,-0.5688477,-0.7938232,-0.5759277
-1.6635742,-1.6153564,-1.5349121,-1.5789795,-1.8227539,-1.4593506
1.27905273,1.31945801,0.99511719,0.99230957,0.95751953,0.94384766
1.36437988,1.44628906,1.23596191,1.29968262,1.24841309,1.49133301
