config,dft,mlip,pred,delta,abs_error
a1,0.47,7net-ompa-mpa,0.70422363,0.23422363000000002,0.23422363000000002
a1,0.47,7net-ompa-omat24,0.72570801,0.25570801,0.25570801
a1,0.47,7net-omni-mpa,0.6439209,0.17392090000000004,0.17392090000000004
a1,0.47,7net-omni-omat24,0.64172363,0.17172363000000002,0.17172363000000002
a1,0.47,orb_mpa,0.59973145,0.12973145000000008,0.12973145000000008
a1,0.47,orb_omat,0.59118652,0.12118652000000008,0.12118652000000008
a2,-0.01,7net-ompa-mpa,0.14978027,0.15978027,0.15978027
a2,-0.01,7net-ompa-omat24,0.1763916,0.18639160000000002,0.18639160000000002
a2,-0.01,7net-omni-mpa,0.06262207,0.07262207,0.07262207
a2,-0.01,7net-omni-omat24,0.06970215,0.07970215,0.07970215
a2,-0.01,orb_mpa,-0.1151123,-0.1051123,0.1051123
a2,-0.01,orb_omat,-0.0301514,-0.0201514,0.0201514
b1,0.68,7net-ompa-mpa,1.30541992,0.62541992,0.62541992
b1,0.68,7net-ompa-omat24,1.34362793,0.66362793,0.66362793
b1,0.68,7net-omni-mpa,1.17102051,0.4910205099999999,0.4910205099999999
b1,0.68,7net-omni-omat24,1.16870117,0.48870117,0.48870117
b1,0.68,orb_mpa,1.07531738,0.39531737999999994,0.39531737999999994
b1,0.68,orb_omat,1.15856934,0.47856933999999984,0.47856933999999984
b2,0.47,7net-ompa-mpa,0.48791504,0.01791504000000005,0.01791504000000005
b2,0.47,7net-ompa-omat24,0.52929688,0.059296879999999996,0.059296879999999996
b2,0.47,7net-omni-mpa,0.39379883,-0.07620116999999998,0.07620116999999998
b2,0.47,7net-omni-omat24,0.3951416,-0.07485839999999999,0.07485839999999999
b2,0.47,orb_mpa,0.29541016,-0.17458984,0.17458984
b2,0.47,orb_omat,0.30627441,-0.16372558999999998,0.16372558999999998
b3,0.34,7net-ompa-mpa,0.91259766,0.57259766,0.57259766
b3,0.34,7net-ompa-omat24,0.93566895,0.5956689500000001,0.5956689500000001
b3,0.34,7net-omni-mpa,0.84265137,0.5026513699999999,0.5026513699999999
b3,0.34,7net-omni-omat24,0.82446289,0.4844628899999999,0.4844628899999999
b3,0.34,orb_mpa,0.76293945,0.42293944999999994,0.42293944999999994
b3,0.34,orb_omat,0.76208496,0.42208496,0.42208496
c1,0.58,7net-ompa-mpa,1.06518555,0.4851855500000001,0.4851855500000001
c1,0.58,7net-ompa-omat24,1.09814453,0.5181445299999999,0.5181445299999999
c1,0.58,7net-omni-mpa,0.98632813,0.40632813,0.40632813
c1,0.58,7net-omni-omat24,0.97265625,0.39265625000000004,0.39265625000000004
c1,0.58,orb_mpa,0.76318359,0.18318359000000006,0.18318359000000006
c1,0.58,orb_omat,0.78222656,0.20222656000000006,0.20222656000000006
c2,0.12,7net-ompa-mpa,0.62207031,0.50207031,0.50207031
c2,0.12,7net-ompa-omat24,0.66503906,0.54503906,0.54503906
c2,0.12,7net-omni-mpa,0.58874512,0.46874512,0.46874512
c2,0.12,7net-omni-omat24,0.56567383,0.44567383000000005,0.44567383000000005
c2,0.12,orb_mpa,0.27856445,0.15856445000000002,0.15856445000000002
c2,0.12,orb_omat,0.31567383,0.19567383,0.19567383
d,0.16,7net-ompa-mpa,0.09020996,-0.06979004,0.06979004
d,0.16,7net-ompa-omat24,0.09265137,-0.06734863,0.06734863
d,0.16,7net-omni-mpa,0.06860352,-0.09139648,0.09139648
d,0.16,7net-omni-omat24,0.07653809,-0.08346191,0.08346191
d,0.16,orb_mpa,-0.1351318,-0.2951318,0.2951318
d,0.16,orb_omat,0.11083984,-0.04916016000000001,0.04916016000000001
e,0.13,7net-ompa-mpa,0.09228516,-0.03771484,0.03771484
e,0.13,7net-ompa-omat24,0.11022949,-0.019770510000000005,0.019770510000000005
e,0.13,7net-omni-mpa,0.06811523,-0.061884770000000006,0.061884770000000006
e,0.13,7net-omni-omat24,0.06787109,-0.06212891000000001,0.06212891000000001
e,0.13,orb_mpa,-0.1087646,-0.2387646,0.2387646
e,0.13,orb_omat,0.07055664,-0.05944336,0.05944336
f,-0.09,7net-ompa-mpa,-0.0429688,0.047031199999999995,0.047031199999999995
f,-0.09,7net-ompa-omat24,-0.0047607,0.08523929999999999,0.08523929999999999
f,-0.09,7net-omni-mpa,-0.0223389,0.0676611,0.0676611
f,-0.09,7net-omni-omat24,0.00036621,0.09036621,0.09036621
f,-0.09,orb_mpa,-0.2410889,-0.1510889,0.1510889
f,-0.09,orb_omat,0.02441406,0.11441406,0.11441406
g,-0.09,7net-ompa-mpa,0.15234375,0.24234375,0.24234375
g,-0.09,7net-ompa-omat24,0.16381836,0.25381836,0.25381836
g,-0.09,7net-omni-mpa,0.12072754,0.21072754,0.21072754
g,-0.09,7net-omni-omat24,0.1439209,0.2339209,0.2339209
g,-0.09,orb_mpa,-0.1485596,-0.05855960000000002,0.05855960000000002
g,-0.09,orb_omat,0.09790039,0.18790039,0.18790039
h,-0.65,7net-ompa-mpa,-0.6262207,0.02377930000000006,0.02377930000000006
h,-0.65,7net-ompa-omat24,-0.5939941,0.05600590000000005,0.05600590000000005
h,-0.65,7net-omni-mpa,-0.5778809,0.07211909999999999,0.07211909999999999
h,-0.65,7net-omni-omat24,-0.5688477,0.08115230000000007,0.08115230000000007
h,-0.65,orb_mpa,-0.7938232,-0.14382319999999993,0.14382319999999993
h,-0.65,orb_omat,-0.5759277,0.07407229999999998,0.07407229999999998
i,-1.67,7net-ompa-mpa,-1.6635742,0.006425799999999926,0.006425799999999926
i,-1.67,7net-ompa-omat24,-1.6153564,0.0546435999999999,0.0546435999999999
i,-1.67,7net-omni-mpa,-1.5349121,0.13508790000000004,0.13508790000000004
i,-1.67,7net-omni-omat24,-1.5789795,0.09102049999999995,0.09102049999999995
i,-1.67,orb_mpa,-1.8227539,-0.1527539,0.1527539
i,-1.67,orb_omat,-1.4593506,0.21064939999999988,0.21064939999999988
j,1.07,7net-ompa-mpa,1.27905273,0.20905273000000002,0.20905273000000002
j,1.07,7net-ompa-omat24,1.31945801,0.2494580099999999,0.2494580099999999
j,1.07,7net-omni-mpa,0.99511719,-0.07488281000000008,0.07488281000000008
j,1.07,7net-omni-omat24,0.99230957,-0.07769043000000009,0.07769043000000009
j,1.07,orb_mpa,0.95751953,-0.11248047000000005,0.11248047000000005
j,1.07,orb_omat,0.94384766,-0.12615234000000008,0.12615234000000008
k,1.5,7net-ompa-mpa,1.36437988,-0.13562012,0.13562012
k,1.5,7net-ompa-omat24,1.44628906,-0.053710939999999985,0.053710939999999985
k,1.5,7net-omni-mpa,1.23596191,-0.2640380899999999,0.2640380899999999
k,1.5,7net-omni-omat24,1.29968262,-0.20031738,0.20031738
k,1.5,orb_mpa,1.24841309,-0.2515869100000001,0.2515869100000001
k,1.5,orb_omat,1.49133301,-0.008666990000000041,0.008666990000000041
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
