,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.0,0.23507812500000003,0.25900390625,-0.06282952488342747,0.4825393570515917,0.13461425781250003,0.12155273437500003,0.05453613281250003,0.06808593750000003,0.1339252728223801,0.29343107223510745,0.18789794921875003,0.10263183593750003,0.2681591796875,0.309052734375,0.08447309537612457,0.09935064487333878,0.15090955487087743
a2,0.0,0.1605126953125,0.1898095703125,-0.02555604264875,0.2274710204433267,-0.068125,-0.019785156249999998,-0.0106298828125,-0.028574218749999998,0.0744843243062496,0.11708588361740109,0.0589501953125,0.0027978515625,0.0899560546875,0.1229150390625,-0.0474888727464895,-0.0383160603657779,-0.0190715737992286
b1,0.0,0.62712890625,0.6702197265625,0.17394729343647664,0.9285160581017134,0.40312988281249995,0.47942382812499995,0.39055664062499995,0.41802246093749995,0.28724618971347793,0.5618635189533233,0.5043719482419599,0.27544433593749995,0.573662109375,0.66716796875,0.3472362133841852,0.4139796593688697,0.39975632258398963
b2,0.0,0.019501953125000027,0.06564453125000003,-0.2105051694627218,0.49784316117759764,-0.17068359374999997,-0.16287109374999997,0.03219726562500003,0.05124023437500003,0.02947198852896693,0.09135028600692752,0.07913330078102265,-0.14932128906249997,-0.015043945312499973,0.013154296875000027,-0.11327901484944047,-0.07021963976282675,-0.043250197856396
b3,0.0,0.5745507812499999,0.6021386718749999,0.16571348736775687,0.8380193208023776,0.4301416015625,0.4230615234375,0.422939453125,0.4345361328125,0.41107668340206144,0.5604018008708953,0.4490014648435226,0.451015625,0.6131249999999999,0.6543847656249999,0.34118251004580086,0.350915145082954,0.42786677594736827
c1,0.0,0.43245117187500004,0.47761718750000004,0.1154702130835813,0.7580765957235781,0.24800292968750004,0.22749511718750004,0.23750488281250004,0.21272460937500004,0.29416246533393864,0.43398357748985295,0.28666870117164767,0.28828613281250004,0.48066894531250004,0.52595703125,0.2547524729301768,0.2519236725781139,0.27888903212207883
c2,0.0,0.892451171875,0.9374951171875,0.5754702130838086,1.2180765957238053,0.703486328125,0.682734375,0.6973828125,0.672724609375,0.7541612136363983,0.8939831006526947,0.7466839599607101,0.7481640625,0.9406689453125,0.98595703125,0.7147524729299494,0.7119236725778865,0.7389155283716536
d,0.0,-0.069912109375,-0.066982421875,-0.05759362185463951,-0.057272372604447896,-0.07259765625,-0.04916015625,-0.1169091796875,-0.1278955078125,-0.08198833823204041,-0.055863771438598706,-0.050869140625,-0.12337890625,-0.08333984375,-0.089443359375,-0.0665827761460242,-0.0632969084755678,-0.12790009627420662
e,0.0,-0.037714843750000004,-0.019404296875000004,0.029151056916925794,-0.0032077129359368017,-0.0864208984375,-0.059321289062500004,-0.13146484375,-0.128046875,-0.05105153203010561,0.0009041380882262862,-0.058710937500000004,-0.1743115234375,-0.0997265625,-0.0803173828125,-0.0719163393740746,-0.0729463334909088,-0.127837053833564
f,0.0,0.04703125,0.08560546875,0.10577999674668709,-0.030772768344977497,0.059482421875,0.1144140625,-0.0353662109375,-0.0544091796875,0.045880612134933496,0.1229341888427734,0.0497930908203125,-0.08333984375,0.021274414062499997,0.0476416015625,0.037728024934349395,0.053881186012940896,-0.006909459360858808
g,0.0,0.24234375,0.25430664062499997,0.2956397547371489,0.1791399635347625,0.147861328125,0.1880224609375,0.10220703125,0.1374853515625,0.1374568903446197,0.2177776360511779,0.1902044677734375,0.006259765624999997,0.1476171875,0.13052734375,0.1084579386987024,0.10666142705016679,0.082933168864056
h,0.0,0.023779296875000022,0.05649414062500002,0.04285469620313054,-0.005646461506194078,0.011450195312500022,0.07407226562500002,-0.06447753906249998,-0.08950195312499998,0.03859204202890398,0.1176162898540497,-0.004861450195312478,-0.026757812499999978,0.03574218750000002,0.09702148437500002,0.01701888865422918,0.018288607019167125,0.10325316106732318
i,0.0,0.006425781249999929,0.05500976562499993,0.30066189347455285,0.06385912815168915,0.37214843749999993,0.21064941406249993,0.11079589843749993,0.04255859374999993,0.46400841146707505,0.41960884451866143,0.20645324707031243,0.12471191406249993,0.02595703124999993,0.02766601562499993,0.3355231167935653,0.31452344474557314,0.17315609402309762
j,0.0,0.20990722656249994,0.25312011718749994,-0.4923236015939165,0.5268454841372476,-0.06670410156250006,-0.12566406250000006,-0.10308105468750006,-0.07036621093750006,-0.09291928231716162,0.2556173431873321,0.14064758300804003,-0.10344726562500006,0.23529785156249994,0.35468261718749994,-0.1914940152983673,-0.12186969149667681,-0.13828849899920903
k,0.0,-0.1346435546875,-0.0499267578125,-0.5696368154308402,0.2764924363514183,-0.247314453125,-0.008056640625,-0.186279296875,-0.186767578125,-0.268077589571476,0.10633426904678345,0.050460815429914874,-0.46240234375,0.01953125,0.092529296875,-0.15419180295771184,-0.1392576307807758,-0.2023752523141411
