,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.0,0.235078125,0.25900390625,0.0628295248834274,0.4825393570515917,0.1346142578125,0.121552734375,0.0545361328125,0.0680859375,0.1339252728223801,0.2934310722351074,0.18789794921875,0.1026318359375,0.2681591796875,0.309052734375,0.0844730953761245,0.0993506448733387,0.1509095548708774
a2,0.0,0.1605126953125,0.1898095703125,0.02555604264875,0.2274710204433267,0.068125,0.0197851562499999,0.0106298828125,0.0285742187499999,0.0744843243062496,0.117085883617401,0.0589501953125,0.0027978515625,0.0899560546875,0.1229150390625,0.0474888727464895,0.0383160603657779,0.0190715737992286
b1,0.0,0.62712890625,0.6702197265625,0.1739472934364766,0.9285160581017134,0.4031298828124999,0.4794238281249999,0.3905566406249999,0.4180224609374999,0.2872461897134779,0.5618635189533233,0.5043719482419599,0.2754443359374999,0.573662109375,0.66716796875,0.3472362133841852,0.4139796593688697,0.3997563225839896
b2,0.0,0.019501953125,0.06564453125,0.2105051694627218,0.4978431611775976,0.1706835937499999,0.1628710937499999,0.032197265625,0.051240234375,0.0294719885289669,0.0913502860069275,0.0791333007810226,0.1493212890624999,0.0150439453124999,0.013154296875,0.1132790148494404,0.0702196397628267,0.043250197856396
b3,0.0,0.5745507812499999,0.6021386718749999,0.1657134873677568,0.8380193208023776,0.4301416015625,0.4230615234375,0.422939453125,0.4345361328125,0.4110766834020614,0.5604018008708953,0.4490014648435226,0.451015625,0.6131249999999999,0.6543847656249999,0.3411825100458008,0.350915145082954,0.4278667759473682
c1,0.0,0.432451171875,0.4776171875,0.1154702130835813,0.7580765957235781,0.2480029296875,0.2274951171875,0.2375048828125,0.212724609375,0.2941624653339386,0.4339835774898529,0.2866687011716476,0.2882861328125,0.4806689453125,0.52595703125,0.2547524729301768,0.2519236725781139,0.2788890321220788
c2,0.0,0.892451171875,0.9374951171875,0.5754702130838086,1.2180765957238051,0.703486328125,0.682734375,0.6973828125,0.672724609375,0.7541612136363983,0.8939831006526947,0.7466839599607101,0.7481640625,0.9406689453125,0.98595703125,0.7147524729299494,0.7119236725778865,0.7389155283716536
d,0.0,0.069912109375,0.066982421875,0.0575936218546395,0.0572723726044478,0.07259765625,0.04916015625,0.1169091796875,0.1278955078125,0.0819883382320404,0.0558637714385987,0.050869140625,0.12337890625,0.08333984375,0.089443359375,0.0665827761460242,0.0632969084755678,0.1279000962742066
e,0.0,0.03771484375,0.019404296875,0.0291510569169257,0.0032077129359368,0.0864208984375,0.0593212890625,0.13146484375,0.128046875,0.0510515320301056,0.0009041380882262,0.0587109375,0.1743115234375,0.0997265625,0.0803173828125,0.0719163393740746,0.0729463334909088,0.127837053833564
f,0.0,0.04703125,0.08560546875,0.105779996746687,0.0307727683449774,0.059482421875,0.1144140625,0.0353662109375,0.0544091796875,0.0458806121349334,0.1229341888427734,0.0497930908203125,0.08333984375,0.0212744140624999,0.0476416015625,0.0377280249343493,0.0538811860129408,0.0069094593608588
g,0.0,0.24234375,0.2543066406249999,0.2956397547371489,0.1791399635347625,0.147861328125,0.1880224609375,0.10220703125,0.1374853515625,0.1374568903446197,0.2177776360511779,0.1902044677734375,0.0062597656249999,0.1476171875,0.13052734375,0.1084579386987024,0.1066614270501667,0.082933168864056
h,0.0,0.023779296875,0.056494140625,0.0428546962031305,0.005646461506194,0.0114501953125,0.074072265625,0.0644775390624999,0.0895019531249999,0.0385920420289039,0.1176162898540497,0.0048614501953124,0.0267578124999999,0.0357421875,0.097021484375,0.0170188886542291,0.0182886070191671,0.1032531610673231
i,0.0,0.0064257812499999,0.0550097656249999,0.3006618934745528,0.0638591281516891,0.3721484374999999,0.2106494140624999,0.1107958984374999,0.0425585937499999,0.464008411467075,0.4196088445186614,0.2064532470703124,0.1247119140624999,0.0259570312499999,0.0276660156249999,0.3355231167935653,0.3145234447455731,0.1731560940230976
j,0.0,0.2099072265624999,0.2531201171874999,0.4923236015939165,0.5268454841372476,0.0667041015625,0.1256640625,0.1030810546875,0.0703662109375,0.0929192823171616,0.2556173431873321,0.14064758300804,0.103447265625,0.2352978515624999,0.3546826171874999,0.1914940152983673,0.1218696914966768,0.138288498999209
k,0.0,0.1346435546875,0.0499267578125,0.5696368154308402,0.2764924363514183,0.247314453125,0.008056640625,0.186279296875,0.186767578125,0.268077589571476,0.1063342690467834,0.0504608154299148,0.46240234375,0.01953125,0.092529296875,0.1541918029577118,0.1392576307807758,0.2023752523141411
