,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.0,0.23349121093750003,0.257783203125,-0.06179694185422707,0.482368398351382,0.13754394531250003,0.12277343750000003,0.05453613281250003,0.06845214843750003,0.13342495143413546,0.29218682527542117,0.18744018554687503,0.10299804687500003,0.26779296875,0.3081982421875,0.08310336293155163,0.09734242809443461,0.15002655189644432
a2,0.0,0.1600244140625,0.1887109375,-0.0252398506624922,0.2275726058869713,-0.0651953125,-0.018564453124999998,-0.010263671875,-0.028818359374999998,0.0743571428954601,0.1158906018733978,0.0585382080078125,0.0027978515625,0.0899560546875,0.12181640625,-0.0492120790352055,-0.0410609738339553,-0.0196887767376574
b1,0.0,0.626396484375,0.668876953125,0.17540553900932532,0.9287609700084613,0.40923339843749995,0.48235351562499995,0.39116699218749995,0.41851074218749995,0.2874553424119948,0.5596765351295471,0.5041430664060226,0.27568847656249995,0.574150390625,0.66521484375,0.34485020136964517,0.40949448223984286,0.3987634203418292
b2,0.0,0.018159179687500027,0.06369140625000003,-0.20925861299107967,0.4983538474866964,-0.16396972656249997,-0.16030761718749997,0.03231933593750003,0.05136230468750003,0.02919446930289271,0.0888437616825104,0.07847717285133515,-0.14932128906249997,-0.015043945312499973,0.010957031250000027,-0.11622331967211719,-0.07462588711607165,-0.044399305208089546
b3,0.0,0.5724755859374999,0.5999414062499999,0.1671431195935929,0.8384797759564753,0.4369775390625,0.4255029296875,0.4226953125,0.43490234375,0.4112843161821365,0.5578711664676665,0.4488793945310226,0.4508935546875,0.6131249999999999,0.6524316406249999,0.3386950943007923,0.3457093931218969,0.42607601747423357
c1,0.0,0.43123046875000004,0.47541992187500004,0.11664226201098249,0.7580715108330603,0.25398437500000004,0.22981445312500004,0.23799316406250004,0.21284667968750004,0.29426510453224186,0.4317292404174805,0.28616516113258517,0.28853027343750004,0.48066894531250004,0.52400390625,0.2518271535363238,0.24667921281176863,0.27714625195100784
c2,0.0,0.8911083984375,0.935419921875,0.5766422620112098,1.2180715108330604,0.7094677734375,0.6850537109375,0.6979931640625,0.6728466796875,0.754268651008606,0.8917295980453491,0.7461346435544601,0.7485302734375,0.9406689453125,0.98400390625,0.7118271535363238,0.7066792128117686,0.7371602906592943
d,0.0,-0.0691796875,-0.066005859375,-0.05833574032786601,-0.05684326321958,-0.071376953125,-0.0485498046875,-0.116298828125,-0.127529296875,-0.0821197366714478,-0.0550296640396119,-0.0508843994140625,-0.1225244140625,-0.082607421875,-0.089443359375,-0.06664824484224491,-0.0631472390929594,-0.1272005801708111
e,0.0,-0.037226562500000004,-0.018671875000000004,0.0284972233335975,-0.0030525605342336948,-0.085078125,-0.058833007812500004,-0.1309765625,-0.1276806640625,-0.051250313520431606,0.0014111948013305065,-0.058833007812500004,-0.173701171875,-0.0991162109375,-0.0801953125,-0.0716392020607419,-0.07310442914684251,-0.126936705043936
f,0.0,0.047763671875,0.0867041015625,0.10497804580299079,-0.030542078643893508,0.060703125,0.1150244140625,-0.035,-0.05404296875,0.0457317197322846,0.12349250555038449,0.049686279296875,-0.082607421875,0.022006835937499997,0.047763671875,0.037793360032392295,0.0537089861921595,-0.006139348903534403
g,0.0,0.2429541015625,0.25503906249999997,0.2953082568193076,0.1795880668178961,0.14908203125,0.1885107421875,0.1025732421875,0.1377294921875,0.1376244390010833,0.21857639789581298,0.1900823974609375,0.007114257812499997,0.148349609375,0.130771484375,0.1082971056510723,0.1064525440864053,0.083686527593809
h,0.0,0.024389648437500022,0.05734863281250002,0.0421210615897053,-0.00546610456658525,0.012670898437500022,0.07468261718750002,-0.06398925781249998,-0.08925781249999998,0.03842111080884936,0.1181120812892914,-0.005029296874999978,-0.026025390624999978,0.03635253906250002,0.09714355468750002,0.017003756161011574,0.018356758911204474,0.10389327831708217
i,0.0,0.006914062499999929,0.05598632812499993,0.29989032144287187,0.06413641346504839,0.37324707031249993,0.21113769531249993,0.11128417968749993,0.04268066406249993,0.4639608469605445,0.4204616677761077,0.20636169433593743,0.12312499999999993,0.02400390624999993,0.02083007812499993,0.33550846731183803,0.3143396591121199,0.17388848074453556
j,0.0,0.21002929687499994,0.25324218749999994,-0.49203821770658585,0.5273144917065837,-0.06218750000000006,-0.12346679687500006,-0.10222656250000006,-0.07024414062500006,-0.09255767583847041,0.2551712322235107,0.14052551269554003,-0.10234863281250006,0.23590820312499994,0.35370605468749994,-0.19273316032406007,-0.12421197450118604,-0.1385730982281712
k,0.0,-0.13427734375,-0.04931640625,-0.5687577788551152,0.27732342649142083,-0.24267578125,-0.0057373046875,-0.1849365234375,-0.18603515625,-0.2674664333462715,0.10610023140907288,0.050735473633040096,-0.4610595703125,0.0208740234375,0.0921630859375,-0.1548158511341171,-0.1413279223459083,-0.20203718359152845
