,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.0,-1072.5090625,-1048.450224609375,-1073.9023292775978,-1052.503927945416,-1069.92751953125,-1049.163603515625,-1072.4039599609375,-1047.905302734375,-1065.661609621048,-1050.840250582695,-1048.3949037652724,-1071.172880859375,-1048.0715625,-1049.3976123046875,-1072.0578606577164,-1047.7794841257135,-1070.7807444266828
a2,0.0,-1072.0290625,-1047.970224609375,-1073.4223292775978,-1052.023927945416,-1069.44751953125,-1048.683603515625,-1071.9239599609375,-1047.425302734375,-1065.181609621048,-1050.360250582695,-1047.9149037652724,-1070.692880859375,-1047.5915625,-1048.9176123046875,-1071.5778606577164,-1047.2994841257134,-1070.3007444266827
b1,0.0,-1072.7190625,-1048.660224609375,-1074.1123292775978,-1052.7139279454161,-1070.13751953125,-1049.373603515625,-1072.6139599609376,-1048.115302734375,-1065.871609621048,-1051.050250582695,-1048.6049037652724,-1071.382880859375,-1048.2815625,-1049.6076123046876,-1072.2678606577165,-1047.9894841257135,-1070.9907444266828
b2,0.0,-1072.5090625,-1048.450224609375,-1073.9023292775978,-1052.503927945416,-1069.92751953125,-1049.163603515625,-1072.4039599609375,-1047.905302734375,-1065.661609621048,-1050.840250582695,-1048.3949037652724,-1071.172880859375,-1048.0715625,-1049.3976123046875,-1072.0578606577164,-1047.7794841257135,-1070.7807444266828
b3,0.0,-1072.3790625,-1048.320224609375,-1073.7723292775977,-1052.373927945416,-1069.79751953125,-1049.033603515625,-1072.2739599609374,-1047.775302734375,-1065.531609621048,-1050.710250582695,-1048.2649037652723,-1071.042880859375,-1047.9415625,-1049.2676123046874,-1071.9278606577163,-1047.6494841257133,-1070.6507444266826
c1,0.0,-1072.6190625,-1048.560224609375,-1074.0123292775977,-1052.613927945416,-1070.03751953125,-1049.273603515625,-1072.5139599609374,-1048.015302734375,-1065.771609621048,-1050.950250582695,-1048.5049037652723,-1071.282880859375,-1048.1815625,-1049.5076123046874,-1072.1678606577163,-1047.8894841257134,-1070.8907444266827
c2,0.0,-1072.1590625,-1048.100224609375,-1073.5523292775977,-1052.153927945416,-1069.57751953125,-1048.813603515625,-1072.0539599609374,-1047.555302734375,-1065.3116096210479,-1050.490250582695,-1048.0449037652722,-1070.822880859375,-1047.7215625,-1049.0476123046874,-1071.7078606577163,-1047.4294841257133,-1070.4307444266826
d,0.0,-1072.1990625,-1048.140224609375,-1073.5923292775979,-1052.1939279454161,-1069.61751953125,-1048.853603515625,-1072.0939599609376,-1047.595302734375,-1065.351609621048,-1050.530250582695,-1048.0849037652724,-1070.862880859375,-1047.7615625,-1049.0876123046876,-1071.7478606577165,-1047.4694841257135,-1070.4707444266828
e,0.0,-1072.1690625,-1048.110224609375,-1073.5623292775979,-1052.1639279454162,-1069.58751953125,-1048.823603515625,-1072.0639599609376,-1047.565302734375,-1065.321609621048,-1050.5002505826951,-1048.0549037652725,-1070.832880859375,-1047.7315625,-1049.0576123046876,-1071.7178606577165,-1047.4394841257135,-1070.4407444266828
f,0.0,-1071.9490625,-1047.890224609375,-1073.3423292775979,-1051.9439279454161,-1069.36751953125,-1048.603603515625,-1071.8439599609376,-1047.345302734375,-1065.101609621048,-1050.280250582695,-1047.8349037652724,-1070.612880859375,-1047.5115625,-1048.8376123046876,-1071.4978606577165,-1047.2194841257135,-1070.2207444266828
g,0.0,-1071.9490625,-1047.890224609375,-1073.3423292775979,-1051.9439279454161,-1069.36751953125,-1048.603603515625,-1071.8439599609376,-1047.345302734375,-1065.101609621048,-1050.280250582695,-1047.8349037652724,-1070.612880859375,-1047.5115625,-1048.8376123046876,-1071.4978606577165,-1047.2194841257135,-1070.2207444266828
h,0.0,-1071.3890625,-1047.330224609375,-1072.7823292775977,-1051.383927945416,-1068.80751953125,-1048.043603515625,-1071.2839599609374,-1046.785302734375,-1064.5416096210479,-1049.720250582695,-1047.2749037652723,-1070.052880859375,-1046.9515625,-1048.2776123046874,-1070.9378606577163,-1046.6594841257133,-1069.6607444266826
i,0.0,-1070.3690625,-1046.310224609375,-1071.7623292775977,-1050.363927945416,-1067.78751953125,-1047.023603515625,-1070.2639599609374,-1045.765302734375,-1063.521609621048,-1048.700250582695,-1046.2549037652723,-1069.032880859375,-1045.9315625,-1047.2576123046874,-1069.9178606577163,-1045.6394841257134,-1068.6407444266827
j,0.0,-1073.1090625,-1049.050224609375,-1074.5023292775977,-1053.103927945416,-1070.52751953125,-1049.763603515625,-1073.0039599609374,-1048.505302734375,-1066.261609621048,-1051.440250582695,-1048.9949037652723,-1071.772880859375,-1048.6715625,-1049.9976123046874,-1072.6578606577164,-1048.3794841257134,-1071.3807444266827
k,0.0,-1073.5390625,-1049.480224609375,-1074.9323292775978,-1053.533927945416,-1070.95751953125,-1050.193603515625,-1073.4339599609375,-1048.935302734375,-1066.691609621048,-1051.870250582695,-1049.4249037652723,-1072.202880859375,-1049.1015625,-1050.4276123046875,-1073.0878606577164,-1048.8094841257134,-1071.8107444266827
