,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.47,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
a2,-0.01,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
b1,0.68,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
b2,0.47,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
b3,0.34,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
c1,0.58,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
c2,0.12,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
d,0.16,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
e,0.13,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
f,-0.09,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
g,-0.09,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
h,-0.65,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
i,-1.67,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
j,1.07,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
k,1.5,-1072.03857421875,-1047.979248046875,-1073.43359599708,-1052.0339823133347,-1069.4603271484375,-1048.6949462890625,-1071.93408203125,-1047.4354248046875,-1065.19171500206,-1050.3692922592163,-1047.9248885064833,-1070.702880859375,-1047.6015625,-1048.9268798828125,-1071.5867674898527,-1047.3074894477877,-1070.309934799091
