,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.47,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
a2,-0.01,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
b1,0.68,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
b2,0.47,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
b3,0.34,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
c1,0.58,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
c2,0.12,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
d,0.16,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
e,0.13,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
f,-0.09,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
g,-0.09,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
h,-0.65,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
i,-1.67,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
j,1.07,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
k,1.5,-1072.03857421875,-1047.979248046875,-1073.4335851204903,-1052.034306673509,-1069.4578857421875,-1048.694091796875,-1071.934326171875,-1047.4351806640625,-1065.1918103694916,-1050.3692846298218,-1047.924812212538,-1070.702880859375,-1047.6016845703125,-1048.9268798828125,-1071.5864900206525,-1047.3075051666683,-1070.3099431022845
