,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.47,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
a2,-0.01,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
b1,0.68,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
b2,0.47,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
b3,0.34,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
c1,0.58,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
c2,0.12,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
d,0.16,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
e,0.13,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
f,-0.09,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
g,-0.09,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
h,-0.65,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
i,-1.67,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
j,1.07,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
k,1.5,-1072.0390625,-1047.980224609375,-1073.4323292775978,-1052.033927945416,-1069.45751953125,-1048.693603515625,-1071.9339599609375,-1047.435302734375,-1065.191609621048,-1050.370250582695,-1047.9249037652723,-1070.702880859375,-1047.6015625,-1048.9276123046875,-1071.5878606577164,-1047.3094841257134,-1070.3107444266827
