,dft,ompa-mpa,ompa-omat24,mace-mpa,mace-omat,orb-mpa,orb-omat,esen-oam,esen-omat,dpa-mp,dpa-omat,uma-omat,omni-mpa,omni-omat24,omni-matpes_pbe,grace-oam,grace-omat,nequip-oam
a1,0.47,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
a2,-0.01,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
b1,0.68,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
b2,0.47,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
b3,0.34,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
c1,0.58,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
c2,0.12,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
d,0.16,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
e,0.13,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
f,-0.09,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
g,-0.09,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
h,-0.65,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
i,-1.67,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
j,1.07,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
k,1.5,-1072.0390625,-1047.97705078125,-1073.4323600667567,-1052.0342521549817,-1069.4578857421875,-1048.69384765625,-1071.93408203125,-1047.4351806640625,-1065.191701412201,-1050.370329618454,-1047.9249037652723,-1070.702880859375,-1047.601806640625,-1048.92724609375,-1071.588026532314,-1047.3090635568835,-1070.310753152626
