mlip,fmax_1e-2_ucf,fmax_1e-2_frech,fmax_0.5e-3_ucf,fmax_0.5e-3_frech
dft,0.0,0.0,0.0,0.0
ompa-mpa,0.2469518229166666,0.24704134114583326,0.24757031249999992,0.2475621744791666
ompa-omat24,0.2711868489583333,0.26881054687499994,0.2695348307291666,0.26951855468749997
mace-mpa,0.21481745259407395,0.2148036822673966,0.21488683730718,0.21487555872829092
mace-omat,0.40607614635114797,0.40639633498675654,0.4059271721238528,0.4062518957727109
orb-mpa,0.21548632812499993,0.21555957031249992,0.21548632812499993,0.21481087239583327
orb-omat,0.19668749999999993,0.19668749999999993,0.19661425781249994,0.19641894531249993
esen-oam,0.17952734374999998,0.17961686197916665,0.1796005859375,0.17975520833333333
esen-omat,0.18156998697916663,0.18152929687499997,0.18164322916666664,0.18152929687499997
dpa-mp,0.2108431522448857,0.2108921502431233,0.2108628803888956,0.2109668557246525
dpa-omat,0.28210034553209934,0.28241884692509966,0.2833568611145019,0.2832503813902536
uma-omat,0.20427827962235032,0.20412772623693368,0.20450919596349618,0.20431388346349616
omni-mpa,0.20779329427083332,0.20781770833333332,0.20813509114583334,0.2081513671875
omni-omat24,0.24322037760416662,0.24337499999999995,0.2432366536458333,0.24331803385416662
omni-matpes_pbe,0.27971549479166663,0.27857617187499994,0.27977246093749997,0.27989453124999997
grace-oam,0.1919737849727656,0.19201183412662912,0.19249570049366893,0.19240517034127938
grace-omat,0.18793883948382425,0.18774940689456823,0.18847789602965223,0.18849024824543623
nequip-oam,0.20104958471824522,0.20104105445746423,0.20144144570556813,0.20142078468586982
