config,E_bind,E_FeVac,n_FeVac,E_FeC,n_FeC,E_Fe,n_Fe,E_FeCVac,n_FeCVac,n_carbon,n_vacancy
a1,0.28564453125,-1061.156494140625,127,-1079.337158203125,129,-1070.814208984375,128,-1069.965087890625,128,1,1
a2,-0.1630859375,-1061.1563720703125,127,-1079.337158203125,129,-1070.814208984375,128,-1069.5162353515625,128,1,1
b1,0.3077392578125,-1051.622802734375,126,-1079.337158203125,129,-1070.814208984375,128,-1060.4534912109375,127,1,2
b2,0.00537109375,-1051.622802734375,126,-1079.337158203125,129,-1070.814208984375,128,-1060.151123046875,127,1,2
b3,0.3031005859375,-1051.622802734375,126,-1079.337158203125,129,-1070.814208984375,128,-1060.4488525390625,127,1,2
c1,0.312255859375,-1051.561279296875,126,-1079.337158203125,129,-1070.814208984375,128,-1060.396484375,127,1,2
c2,-0.0390625,-1051.561279296875,126,-1079.337158203125,129,-1070.814208984375,128,-1060.045166015625,127,1,2
d,0.064697265625,-1070.814208984375,128,-1079.337158203125,129,-1070.814208984375,128,-1087.9248046875,130,2,0
e,0.010009765625,-1070.814208984375,128,-1079.337158203125,129,-1070.814208984375,128,-1087.8701171875,130,2,0
f,-0.176513671875,-1070.814208984375,128,-1079.337158203125,129,-1070.814208984375,128,-1087.68359375,130,2,0
g,0.026611328125,-1070.814208984375,128,-1079.337158203125,129,-1070.814208984375,128,-1087.88671875,130,2,0
h,-0.5361328125,-1070.814208984375,128,-1079.337158203125,129,-1070.814208984375,128,-1087.323974609375,130,2,0
i,-0.907470703125,-1070.814208984375,128,-1079.337158203125,129,-1070.814208984375,128,-1086.95263671875,130,2,0
j,0.3558349609375,-1061.156494140625,127,-1079.337158203125,129,-1070.814208984375,128,-1078.5582275390625,129,2,1
k,0.75341796875,-1061.156494140625,127,-1079.337158203125,129,-1070.814208984375,128,-1078.955810546875,129,2,1
l,0.5765380859375,-1061.1563720703125,127,-1079.337158203125,129,-1070.814208984375,128,-1078.77880859375,129,2,1
m,0.576416015625,-1061.1563720703125,127,-1079.337158203125,129,-1070.814208984375,128,-1078.7786865234375,129,2,1
