      Step     Time          Energy          fmax
FIRE:    0 14:44:22    -1051.343750        0.358357
FIRE:    1 14:44:22    -1051.358643        0.344413
FIRE:    2 14:44:22    -1051.385986        0.317073
FIRE:    3 14:44:22    -1051.421387        0.277581
FIRE:    4 14:44:22    -1051.459351        0.228120
FIRE:    5 14:44:22    -1051.494995        0.172019
FIRE:    6 14:44:22    -1051.524536        0.113862
FIRE:    7 14:44:23    -1051.546631        0.095143
FIRE:    8 14:44:23    -1051.563232        0.100178
FIRE:    9 14:44:23    -1051.574463        0.089790
FIRE:   10 14:44:23    -1051.580688        0.063680
FIRE:   11 14:44:23    -1051.582764        0.074522
FIRE:   12 14:44:23    -1051.583740        0.072003
FIRE:   13 14:44:23    -1051.585571        0.067094
FIRE:   14 14:44:23    -1051.588257        0.060051
FIRE:   15 14:44:23    -1051.591309        0.051877
FIRE:   16 14:44:23    -1051.594482        0.046293
FIRE:   17 14:44:23    -1051.597656        0.045483
FIRE:   18 14:44:23    -1051.600586        0.044574
FIRE:   19 14:44:23    -1051.603027        0.043467
FIRE:   20 14:44:23    -1051.604736        0.042140
FIRE:   21 14:44:23    -1051.605591        0.040595
FIRE:   22 14:44:23    -1051.605469        0.038928
FIRE:   23 14:44:23    -1051.605469        0.038926
FIRE:   24 14:44:23    -1051.605713        0.038920
FIRE:   25 14:44:23    -1051.605713        0.038913
FIRE:   26 14:44:23    -1051.605957        0.038901
FIRE:   27 14:44:23    -1051.606079        0.038886
FIRE:   28 14:44:23    -1051.606323        0.038866
FIRE:   29 14:44:23    -1051.606567        0.038841
FIRE:   30 14:44:23    -1051.606934        0.038804
FIRE:   31 14:44:23    -1051.607178        0.038750
FIRE:   32 14:44:23    -1051.607544        0.038670
FIRE:   33 14:44:23    -1051.607910        0.038549
FIRE:   34 14:44:23    -1051.608154        0.038368
FIRE:   35 14:44:23    -1051.608398        0.038099
FIRE:   36 14:44:23    -1051.608887        0.037709
FIRE:   37 14:44:23    -1051.609375        0.037163
FIRE:   38 14:44:23    -1051.609863        0.036417
FIRE:   39 14:44:23    -1051.610718        0.035425
FIRE:   40 14:44:23    -1051.611572        0.034140
FIRE:   41 14:44:24    -1051.612671        0.032519
FIRE:   42 14:44:24    -1051.613770        0.030546
FIRE:   43 14:44:24    -1051.614990        0.028266
FIRE:   44 14:44:24    -1051.616089        0.025769
FIRE:   45 14:44:24    -1051.617432        0.023090
FIRE:   46 14:44:24    -1051.618896        0.020122
FIRE:   47 14:44:24    -1051.620239        0.016573
FIRE:   48 14:44:24    -1051.621338        0.012340
FIRE:   49 14:44:24    -1051.622192        0.007511
FIRE:   50 14:44:24    -1051.622559        0.006617
FIRE:   51 14:44:24    -1051.622559        0.005321
FIRE:   52 14:44:24    -1051.622681        0.003004
FIRE:   53 14:44:24    -1051.622681        0.003587
FIRE:   54 14:44:24    -1051.622681        0.003512
FIRE:   55 14:44:24    -1051.622681        0.003116
FIRE:   56 14:44:24    -1051.622681        0.002496
FIRE:   57 14:44:24    -1051.622559        0.002480
FIRE:   58 14:44:24    -1051.622681        0.002459
FIRE:   59 14:44:24    -1051.622681        0.002435
FIRE:   60 14:44:24    -1051.622681        0.002409
FIRE:   61 14:44:24    -1051.622681        0.002383
FIRE:   62 14:44:24    -1051.622803        0.002383
FIRE:   63 14:44:24    -1051.622803        0.002383
FIRE:   64 14:44:24    -1051.622681        0.002382
FIRE:   65 14:44:24    -1051.622681        0.002382
FIRE:   66 14:44:24    -1051.622681        0.002381
FIRE:   67 14:44:24    -1051.622681        0.002380
FIRE:   68 14:44:24    -1051.622681        0.002379
FIRE:   69 14:44:24    -1051.622681        0.002378
FIRE:   70 14:44:24    -1051.622803        0.002375
FIRE:   71 14:44:24    -1051.622559        0.002371
FIRE:   72 14:44:24    -1051.622681        0.002367
FIRE:   73 14:44:24    -1051.622803        0.002360
FIRE:   74 14:44:24    -1051.622681        0.002351
FIRE:   75 14:44:25    -1051.622803        0.002341
FIRE:   76 14:44:25    -1051.622681        0.002327
FIRE:   77 14:44:25    -1051.622681        0.002310
FIRE:   78 14:44:25    -1051.622681        0.002288
FIRE:   79 14:44:25    -1051.622681        0.002262
FIRE:   80 14:44:25    -1051.622681        0.002231
FIRE:   81 14:44:25    -1051.622681        0.002195
FIRE:   82 14:44:25    -1051.622681        0.002151
FIRE:   83 14:44:25    -1051.622559        0.002096
FIRE:   84 14:44:25    -1051.622681        0.002026
FIRE:   85 14:44:25    -1051.622681        0.001940
FIRE:   86 14:44:25    -1051.622681        0.001838
FIRE:   87 14:44:25    -1051.622681        0.001722
FIRE:   88 14:44:25    -1051.622803        0.001587
FIRE:   89 14:44:25    -1051.622681        0.001430
FIRE:   90 14:44:25    -1051.622681        0.001259
FIRE:   91 14:44:25    -1051.622803        0.001086
FIRE:   92 14:44:25    -1051.622681        0.001126
FIRE:   93 14:44:25    -1051.622803        0.001576
FIRE:   94 14:44:25    -1051.622803        0.003295
FIRE:   95 14:44:25    -1051.622803        0.000842
      Step     Time          Energy          fmax
FIRE:    0 14:53:32    -1051.343750        0.358357
FIRE:    1 14:53:32    -1051.358643        0.344413
FIRE:    2 14:53:32    -1051.385986        0.317073
FIRE:    3 14:53:32    -1051.421387        0.277581
FIRE:    4 14:53:32    -1051.459351        0.228120
FIRE:    5 14:53:32    -1051.495117        0.172019
FIRE:    6 14:53:32    -1051.524536        0.113863
FIRE:    7 14:53:32    -1051.546631        0.095143
FIRE:    8 14:53:32    -1051.563232        0.100178
FIRE:    9 14:53:32    -1051.574463        0.089790
FIRE:   10 14:53:32    -1051.580688        0.063680
FIRE:   11 14:53:32    -1051.582764        0.074523
FIRE:   12 14:53:32    -1051.583740        0.072003
FIRE:   13 14:53:32    -1051.585693        0.067094
FIRE:   14 14:53:32    -1051.588257        0.060051
FIRE:   15 14:53:32    -1051.591309        0.051877
FIRE:   16 14:53:32    -1051.594482        0.046293
FIRE:   17 14:53:32    -1051.597656        0.045483
FIRE:   18 14:53:32    -1051.600586        0.044574
FIRE:   19 14:53:33    -1051.603027        0.043467
FIRE:   20 14:53:33    -1051.604736        0.042140
FIRE:   21 14:53:33    -1051.605591        0.040595
FIRE:   22 14:53:33    -1051.605469        0.038928
FIRE:   23 14:53:33    -1051.605469        0.038926
FIRE:   24 14:53:33    -1051.605713        0.038920
FIRE:   25 14:53:33    -1051.605713        0.038913
FIRE:   26 14:53:33    -1051.605957        0.038901
FIRE:   27 14:53:33    -1051.606201        0.038886
FIRE:   28 14:53:33    -1051.606323        0.038866
FIRE:   29 14:53:33    -1051.606567        0.038841
FIRE:   30 14:53:33    -1051.606934        0.038804
FIRE:   31 14:53:33    -1051.607178        0.038750
FIRE:   32 14:53:33    -1051.607544        0.038670
FIRE:   33 14:53:33    -1051.607910        0.038549
FIRE:   34 14:53:33    -1051.608154        0.038368
FIRE:   35 14:53:33    -1051.608398        0.038099
FIRE:   36 14:53:33    -1051.608887        0.037709
FIRE:   37 14:53:33    -1051.609375        0.037163
FIRE:   38 14:53:33    -1051.609863        0.036417
FIRE:   39 14:53:33    -1051.610718        0.035425
FIRE:   40 14:53:33    -1051.611572        0.034140
FIRE:   41 14:53:33    -1051.612671        0.032519
FIRE:   42 14:53:33    -1051.613770        0.030546
FIRE:   43 14:53:33    -1051.614990        0.028266
FIRE:   44 14:53:33    -1051.616089        0.025769
FIRE:   45 14:53:33    -1051.617432        0.023089
FIRE:   46 14:53:33    -1051.619019        0.020122
FIRE:   47 14:53:33    -1051.620239        0.016573
FIRE:   48 14:53:33    -1051.621338        0.012340
