      Step     Time          Energy          fmax
FIRE:    0 14:44:49    -1051.420898        0.287874
FIRE:    1 14:44:49    -1051.429688        0.275137
FIRE:    2 14:44:49    -1051.445190        0.250437
FIRE:    3 14:44:49    -1051.465088        0.215370
FIRE:    4 14:44:49    -1051.485596        0.172422
FIRE:    5 14:44:49    -1051.504395        0.130964
FIRE:    6 14:44:49    -1051.519287        0.089902
FIRE:    7 14:44:49    -1051.530518        0.080374
FIRE:    8 14:44:49    -1051.539062        0.081490
FIRE:    9 14:44:49    -1051.544922        0.068296
FIRE:   10 14:44:49    -1051.547852        0.055928
FIRE:   11 14:44:49    -1051.548096        0.054521
FIRE:   12 14:44:49    -1051.548828        0.051747
FIRE:   13 14:44:49    -1051.549805        0.047679
FIRE:   14 14:44:50    -1051.550903        0.042429
FIRE:   15 14:44:50    -1051.552002        0.036149
FIRE:   16 14:44:50    -1051.553223        0.029021
FIRE:   17 14:44:50    -1051.554199        0.022678
FIRE:   18 14:44:50    -1051.555176        0.022127
FIRE:   19 14:44:50    -1051.555908        0.021502
FIRE:   20 14:44:50    -1051.556152        0.020831
FIRE:   21 14:44:50    -1051.556152        0.020172
FIRE:   22 14:44:50    -1051.556152        0.020175
FIRE:   23 14:44:50    -1051.556152        0.020183
FIRE:   24 14:44:50    -1051.556152        0.020194
FIRE:   25 14:44:50    -1051.556274        0.020207
FIRE:   26 14:44:50    -1051.556396        0.020223
FIRE:   27 14:44:50    -1051.556396        0.020239
FIRE:   28 14:44:50    -1051.556396        0.020256
FIRE:   29 14:44:50    -1051.556641        0.020272
FIRE:   30 14:44:50    -1051.556763        0.020285
FIRE:   31 14:44:50    -1051.556885        0.020290
FIRE:   32 14:44:50    -1051.556885        0.020276
FIRE:   33 14:44:50    -1051.557007        0.020230
FIRE:   34 14:44:50    -1051.557129        0.020135
FIRE:   35 14:44:50    -1051.557129        0.019973
FIRE:   36 14:44:50    -1051.557251        0.019726
FIRE:   37 14:44:50    -1051.557373        0.019377
FIRE:   38 14:44:50    -1051.557617        0.018908
FIRE:   39 14:44:50    -1051.557861        0.018301
FIRE:   40 14:44:50    -1051.558105        0.017544
FIRE:   41 14:44:50    -1051.558350        0.016633
FIRE:   42 14:44:50    -1051.558838        0.015574
FIRE:   43 14:44:50    -1051.559082        0.014377
FIRE:   44 14:44:50    -1051.559448        0.013031
FIRE:   45 14:44:50    -1051.559937        0.011481
FIRE:   46 14:44:50    -1051.560303        0.009637
FIRE:   47 14:44:50    -1051.560547        0.007453
FIRE:   48 14:44:51    -1051.561035        0.004970
FIRE:   49 14:44:51    -1051.561035        0.003213
FIRE:   50 14:44:51    -1051.561279        0.002724
FIRE:   51 14:44:51    -1051.561279        0.002206
FIRE:   52 14:44:51    -1051.561279        0.001320
FIRE:   53 14:44:51    -1051.561279        0.000548
      Step     Time          Energy          fmax
FIRE:    0 14:53:59    -1051.420898        0.287874
FIRE:    1 14:53:59    -1051.429688        0.275137
FIRE:    2 14:53:59    -1051.445190        0.250437
FIRE:    3 14:53:59    -1051.465088        0.215370
FIRE:    4 14:53:59    -1051.485596        0.172422
FIRE:    5 14:53:59    -1051.504395        0.130964
FIRE:    6 14:53:59    -1051.519287        0.089902
FIRE:    7 14:53:59    -1051.530518        0.080374
FIRE:    8 14:53:59    -1051.539062        0.081490
FIRE:    9 14:53:59    -1051.544922        0.068296
FIRE:   10 14:53:59    -1051.547852        0.055928
FIRE:   11 14:53:59    -1051.548096        0.054521
FIRE:   12 14:53:59    -1051.548828        0.051747
FIRE:   13 14:54:00    -1051.549805        0.047679
FIRE:   14 14:54:00    -1051.550903        0.042429
FIRE:   15 14:54:00    -1051.552002        0.036149
FIRE:   16 14:54:00    -1051.553223        0.029021
FIRE:   17 14:54:00    -1051.554199        0.022678
FIRE:   18 14:54:00    -1051.555176        0.022127
FIRE:   19 14:54:00    -1051.555908        0.021502
FIRE:   20 14:54:00    -1051.556152        0.020831
FIRE:   21 14:54:00    -1051.556152        0.020172
FIRE:   22 14:54:00    -1051.556152        0.020175
FIRE:   23 14:54:00    -1051.556152        0.020183
FIRE:   24 14:54:00    -1051.556152        0.020194
FIRE:   25 14:54:00    -1051.556274        0.020207
FIRE:   26 14:54:00    -1051.556396        0.020223
FIRE:   27 14:54:00    -1051.556396        0.020239
FIRE:   28 14:54:00    -1051.556396        0.020256
FIRE:   29 14:54:00    -1051.556641        0.020272
FIRE:   30 14:54:00    -1051.556641        0.020285
FIRE:   31 14:54:00    -1051.556885        0.020290
FIRE:   32 14:54:00    -1051.556885        0.020276
FIRE:   33 14:54:00    -1051.557007        0.020230
FIRE:   34 14:54:00    -1051.557129        0.020135
FIRE:   35 14:54:00    -1051.557129        0.019973
FIRE:   36 14:54:00    -1051.557251        0.019726
FIRE:   37 14:54:00    -1051.557373        0.019377
FIRE:   38 14:54:00    -1051.557617        0.018908
FIRE:   39 14:54:00    -1051.557861        0.018301
FIRE:   40 14:54:00    -1051.558105        0.017544
FIRE:   41 14:54:00    -1051.558350        0.016633
FIRE:   42 14:54:00    -1051.558838        0.015574
FIRE:   43 14:54:00    -1051.559082        0.014377
FIRE:   44 14:54:00    -1051.559448        0.013031
FIRE:   45 14:54:00    -1051.559937        0.011481
FIRE:   46 14:54:00    -1051.560303        0.009636
