      Step     Time          Energy          fmax
FIRE:    0 14:48:35    -1061.045776        0.280490
FIRE:    1 14:48:35    -1061.052612        0.268077
FIRE:    2 14:48:35    -1061.064941        0.243867
FIRE:    3 14:48:35    -1061.080811        0.209165
FIRE:    4 14:48:35    -1061.097412        0.166082
FIRE:    5 14:48:35    -1061.112793        0.117698
FIRE:    6 14:48:35    -1061.125122        0.075708
FIRE:    7 14:48:35    -1061.134155        0.079537
FIRE:    8 14:48:35    -1061.140869        0.078277
FIRE:    9 14:48:35    -1061.145020        0.062969
FIRE:   10 14:48:35    -1061.146484        0.057371
FIRE:   11 14:48:35    -1061.146973        0.055895
FIRE:   12 14:48:35    -1061.147461        0.052983
FIRE:   13 14:48:35    -1061.148193        0.048718
FIRE:   14 14:48:35    -1061.149048        0.043220
FIRE:   15 14:48:35    -1061.150024        0.036652
FIRE:   16 14:48:35    -1061.150879        0.029215
FIRE:   17 14:48:35    -1061.151855        0.021150
FIRE:   18 14:48:35    -1061.152588        0.017863
FIRE:   19 14:48:35    -1061.153076        0.017392
FIRE:   20 14:48:35    -1061.153564        0.016855
FIRE:   21 14:48:35    -1061.153320        0.016757
FIRE:   22 14:48:35    -1061.153320        0.016524
FIRE:   23 14:48:35    -1061.153320        0.016278
FIRE:   24 14:48:35    -1061.153442        0.016275
FIRE:   25 14:48:35    -1061.153442        0.016270
FIRE:   26 14:48:35    -1061.153564        0.016262
FIRE:   27 14:48:35    -1061.153564        0.016253
FIRE:   28 14:48:35    -1061.153564        0.016240
FIRE:   29 14:48:36    -1061.153687        0.016221
FIRE:   30 14:48:36    -1061.153687        0.016192
FIRE:   31 14:48:36    -1061.153809        0.016150
FIRE:   32 14:48:36    -1061.153809        0.016086
FIRE:   33 14:48:36    -1061.153931        0.015991
FIRE:   34 14:48:36    -1061.153931        0.015853
FIRE:   35 14:48:36    -1061.154053        0.015663
FIRE:   36 14:48:36    -1061.154175        0.015411
FIRE:   37 14:48:36    -1061.154175        0.015086
FIRE:   38 14:48:36    -1061.154297        0.014679
FIRE:   39 14:48:36    -1061.154419        0.014178
FIRE:   40 14:48:36    -1061.154541        0.013570
FIRE:   41 14:48:36    -1061.154785        0.012846
FIRE:   42 14:48:36    -1061.155029        0.012001
FIRE:   43 14:48:36    -1061.155273        0.011030
FIRE:   44 14:48:36    -1061.155518        0.009923
FIRE:   45 14:48:36    -1061.155762        0.008656
FIRE:   46 14:48:36    -1061.156006        0.007199
FIRE:   47 14:48:36    -1061.156006        0.005526
FIRE:   48 14:48:36    -1061.156250        0.003650
FIRE:   49 14:48:36    -1061.156372        0.001585
FIRE:   50 14:48:36    -1061.156250        0.002587
FIRE:   51 14:48:36    -1061.156250        0.002107
FIRE:   52 14:48:36    -1061.156372        0.001227
FIRE:   53 14:48:36    -1061.156372        0.000600
      Step     Time          Energy          fmax
FIRE:    0 14:57:48    -1061.045776        0.280490
FIRE:    1 14:57:49    -1061.052612        0.268077
FIRE:    2 14:57:49    -1061.064941        0.243867
FIRE:    3 14:57:49    -1061.080811        0.209165
FIRE:    4 14:57:49    -1061.097412        0.166082
FIRE:    5 14:57:49    -1061.112793        0.117698
FIRE:    6 14:57:49    -1061.125122        0.075708
FIRE:    7 14:57:49    -1061.134155        0.079537
FIRE:    8 14:57:49    -1061.140869        0.078277
FIRE:    9 14:57:49    -1061.145020        0.062969
FIRE:   10 14:57:49    -1061.146606        0.057371
FIRE:   11 14:57:49    -1061.146973        0.055895
FIRE:   12 14:57:49    -1061.147461        0.052983
FIRE:   13 14:57:49    -1061.148193        0.048718
FIRE:   14 14:57:49    -1061.149048        0.043220
FIRE:   15 14:57:49    -1061.150024        0.036652
FIRE:   16 14:57:49    -1061.150879        0.029215
FIRE:   17 14:57:49    -1061.151855        0.021150
FIRE:   18 14:57:49    -1061.152588        0.017863
FIRE:   19 14:57:49    -1061.153076        0.017392
FIRE:   20 14:57:49    -1061.153564        0.016855
FIRE:   21 14:57:49    -1061.153320        0.016757
FIRE:   22 14:57:49    -1061.153320        0.016524
FIRE:   23 14:57:49    -1061.153320        0.016279
FIRE:   24 14:57:49    -1061.153442        0.016275
FIRE:   25 14:57:49    -1061.153442        0.016270
FIRE:   26 14:57:49    -1061.153564        0.016262
FIRE:   27 14:57:49    -1061.153564        0.016253
FIRE:   28 14:57:49    -1061.153564        0.016240
FIRE:   29 14:57:49    -1061.153564        0.016221
FIRE:   30 14:57:49    -1061.153809        0.016192
FIRE:   31 14:57:49    -1061.153809        0.016150
FIRE:   32 14:57:49    -1061.153809        0.016086
FIRE:   33 14:57:49    -1061.153931        0.015991
FIRE:   34 14:57:49    -1061.154053        0.015853
FIRE:   35 14:57:50    -1061.154053        0.015663
FIRE:   36 14:57:50    -1061.154175        0.015411
FIRE:   37 14:57:50    -1061.154175        0.015086
FIRE:   38 14:57:50    -1061.154297        0.014679
FIRE:   39 14:57:50    -1061.154419        0.014178
FIRE:   40 14:57:50    -1061.154663        0.013570
FIRE:   41 14:57:50    -1061.154785        0.012847
FIRE:   42 14:57:50    -1061.155029        0.012001
FIRE:   43 14:57:50    -1061.155273        0.011030
FIRE:   44 14:57:50    -1061.155518        0.009923
FIRE:   45 14:57:50    -1061.155762        0.008656
FIRE:   46 14:57:50    -1061.156006        0.007199
FIRE:   47 14:57:50    -1061.156006        0.005526
FIRE:   48 14:57:50    -1061.156250        0.003649
FIRE:   49 14:57:50    -1061.156250        0.001585
FIRE:   50 14:57:50    -1061.156250        0.002587
FIRE:   51 14:57:50    -1061.156372        0.002106
FIRE:   52 14:57:50    -1061.156372        0.001227
FIRE:   53 14:57:50    -1061.156372        0.000599
