      Step     Time          Energy          fmax
FIRE:    0 14:21:02    -1070.657959        0.136823
FIRE:    1 14:21:03    -1070.658447        0.136571
FIRE:    2 14:21:03    -1070.659668        0.136062
FIRE:    3 14:21:03    -1070.661377        0.135302
FIRE:    4 14:21:03    -1070.663574        0.134291
FIRE:    5 14:21:04    -1070.666260        0.133032
FIRE:    6 14:21:04    -1070.669434        0.131528
FIRE:    7 14:21:04    -1070.673218        0.129782
FIRE:    8 14:21:04    -1070.677734        0.127574
FIRE:    9 14:21:04    -1070.683472        0.124805
FIRE:   10 14:21:04    -1070.690430        0.121357
FIRE:   11 14:21:04    -1070.698730        0.117094
FIRE:   12 14:21:04    -1070.708496        0.111868
FIRE:   13 14:21:04    -1070.719971        0.105500
FIRE:   14 14:21:04    -1070.732788        0.097800
FIRE:   15 14:21:04    -1070.747070        0.088575
FIRE:   16 14:21:04    -1070.762451        0.077618
FIRE:   17 14:21:04    -1070.777832        0.064751
FIRE:   18 14:21:04    -1070.792480        0.049834
FIRE:   19 14:21:04    -1070.804688        0.032803
FIRE:   20 14:21:04    -1070.812500        0.013720
FIRE:   21 14:21:04    -1070.813965        0.005534
FIRE:   22 14:21:04    -1070.813965        0.005501
FIRE:   23 14:21:04    -1070.813965        0.005436
FIRE:   24 14:21:04    -1070.813965        0.005339
FIRE:   25 14:21:04    -1070.813965        0.005208
FIRE:   26 14:21:04    -1070.813965        0.005047
FIRE:   27 14:21:04    -1070.813965        0.004856
FIRE:   28 14:21:04    -1070.813965        0.004636
FIRE:   29 14:21:04    -1070.813965        0.004361
FIRE:   30 14:21:04    -1070.813965        0.004020
FIRE:   31 14:21:04    -1070.813965        0.003602
FIRE:   32 14:21:04    -1070.814209        0.003096
FIRE:   33 14:21:04    -1070.814209        0.002492
FIRE:   34 14:21:04    -1070.814209        0.001781
FIRE:   35 14:21:04    -1070.814209        0.000956
      Step     Time          Energy          fmax
FIRE:    0 14:39:28    -1070.657959        0.136823
FIRE:    1 14:39:28    -1070.658447        0.136571
FIRE:    2 14:39:29    -1070.659668        0.136062
FIRE:    3 14:39:29    -1070.661377        0.135302
FIRE:    4 14:39:29    -1070.663574        0.134291
FIRE:    5 14:39:29    -1070.666260        0.133032
FIRE:    6 14:39:29    -1070.669434        0.131528
FIRE:    7 14:39:29    -1070.673218        0.129782
FIRE:    8 14:39:29    -1070.677734        0.127574
FIRE:    9 14:39:29    -1070.683472        0.124805
FIRE:   10 14:39:29    -1070.690430        0.121357
FIRE:   11 14:39:29    -1070.698730        0.117094
FIRE:   12 14:39:29    -1070.708496        0.111868
FIRE:   13 14:39:29    -1070.719971        0.105500
FIRE:   14 14:39:29    -1070.732788        0.097800
FIRE:   15 14:39:29    -1070.747070        0.088575
FIRE:   16 14:39:29    -1070.762451        0.077618
FIRE:   17 14:39:29    -1070.777832        0.064751
FIRE:   18 14:39:30    -1070.792480        0.049834
FIRE:   19 14:39:30    -1070.804688        0.032803
FIRE:   20 14:39:30    -1070.812500        0.013720
FIRE:   21 14:39:30    -1070.813965        0.005534
FIRE:   22 14:39:30    -1070.813965        0.005501
FIRE:   23 14:39:30    -1070.813965        0.005436
FIRE:   24 14:39:30    -1070.813965        0.005339
FIRE:   25 14:39:30    -1070.813965        0.005208
FIRE:   26 14:39:30    -1070.813965        0.005047
FIRE:   27 14:39:30    -1070.813965        0.004856
FIRE:   28 14:39:30    -1070.813965        0.004636
FIRE:   29 14:39:30    -1070.813965        0.004361
FIRE:   30 14:39:30    -1070.813965        0.004020
FIRE:   31 14:39:30    -1070.813965        0.003603
FIRE:   32 14:39:30    -1070.814209        0.003096
FIRE:   33 14:39:30    -1070.814209        0.002492
FIRE:   34 14:39:30    -1070.814209        0.001781
FIRE:   35 14:39:30    -1070.814209        0.000956
      Step     Time          Energy          fmax
FIRE:    0 14:40:19    -1070.657959        0.136823
FIRE:    1 14:40:19    -1070.658447        0.136571
FIRE:    2 14:40:20    -1070.659668        0.136062
FIRE:    3 14:40:20    -1070.661377        0.135302
FIRE:    4 14:40:20    -1070.663574        0.134291
FIRE:    5 14:40:20    -1070.666260        0.133032
FIRE:    6 14:40:20    -1070.669434        0.131528
FIRE:    7 14:40:20    -1070.673218        0.129782
FIRE:    8 14:40:20    -1070.677734        0.127574
FIRE:    9 14:40:20    -1070.683472        0.124805
FIRE:   10 14:40:20    -1070.690430        0.121357
FIRE:   11 14:40:20    -1070.698730        0.117094
FIRE:   12 14:40:20    -1070.708496        0.111868
FIRE:   13 14:40:20    -1070.719971        0.105500
FIRE:   14 14:40:20    -1070.732788        0.097800
FIRE:   15 14:40:20    -1070.747070        0.088575
FIRE:   16 14:40:20    -1070.762451        0.077618
FIRE:   17 14:40:20    -1070.777832        0.064751
FIRE:   18 14:40:20    -1070.792480        0.049834
FIRE:   19 14:40:21    -1070.804688        0.032803
FIRE:   20 14:40:21    -1070.812500        0.013720
FIRE:   21 14:40:21    -1070.813965        0.005534
FIRE:   22 14:40:21    -1070.813965        0.005501
FIRE:   23 14:40:21    -1070.813965        0.005436
FIRE:   24 14:40:21    -1070.813965        0.005339
FIRE:   25 14:40:21    -1070.813965        0.005208
FIRE:   26 14:40:21    -1070.813965        0.005047
FIRE:   27 14:40:21    -1070.813965        0.004856
FIRE:   28 14:40:21    -1070.813965        0.004636
FIRE:   29 14:40:21    -1070.813965        0.004361
FIRE:   30 14:40:21    -1070.813965        0.004020
FIRE:   31 14:40:21    -1070.814087        0.003602
FIRE:   32 14:40:21    -1070.814209        0.003096
FIRE:   33 14:40:21    -1070.814209        0.002492
FIRE:   34 14:40:21    -1070.814209        0.001781
FIRE:   35 14:40:21    -1070.814209        0.000956
      Step     Time          Energy          fmax
FIRE:    0 14:41:35    -1070.657959        0.136823
FIRE:    1 14:41:35    -1070.658447        0.136571
FIRE:    2 14:41:36    -1070.659668        0.136062
FIRE:    3 14:41:36    -1070.661377        0.135302
FIRE:    4 14:41:36    -1070.663574        0.134291
FIRE:    5 14:41:36    -1070.666260        0.133032
FIRE:    6 14:41:36    -1070.669434        0.131528
FIRE:    7 14:41:36    -1070.673218        0.129782
FIRE:    8 14:41:36    -1070.677734        0.127574
FIRE:    9 14:41:36    -1070.683472        0.124805
FIRE:   10 14:41:37    -1070.690430        0.121357
FIRE:   11 14:41:37    -1070.698730        0.117095
FIRE:   12 14:41:37    -1070.708496        0.111868
FIRE:   13 14:41:37    -1070.719971        0.105500
FIRE:   14 14:41:37    -1070.732788        0.097800
FIRE:   15 14:41:37    -1070.747070        0.088575
FIRE:   16 14:41:37    -1070.762451        0.077618
FIRE:   17 14:41:37    -1070.777832        0.064751
FIRE:   18 14:41:37    -1070.792480        0.049834
FIRE:   19 14:41:37    -1070.804688        0.032803
FIRE:   20 14:41:37    -1070.812500        0.013720
FIRE:   21 14:41:37    -1070.813965        0.005534
FIRE:   22 14:41:37    -1070.813965        0.005501
FIRE:   23 14:41:37    -1070.813965        0.005436
FIRE:   24 14:41:37    -1070.813965        0.005339
FIRE:   25 14:41:37    -1070.813965        0.005208
FIRE:   26 14:41:37    -1070.813965        0.005047
FIRE:   27 14:41:37    -1070.813965        0.004856
FIRE:   28 14:41:37    -1070.813965        0.004636
FIRE:   29 14:41:37    -1070.813965        0.004361
FIRE:   30 14:41:37    -1070.813965        0.004020
FIRE:   31 14:41:37    -1070.814087        0.003602
FIRE:   32 14:41:37    -1070.814209        0.003096
FIRE:   33 14:41:37    -1070.814209        0.002492
FIRE:   34 14:41:37    -1070.814209        0.001781
FIRE:   35 14:41:37    -1070.814209        0.000956
      Step     Time          Energy          fmax
FIRE:    0 14:43:00    -1070.657959        0.136823
FIRE:    1 14:43:00    -1070.658447        0.136571
FIRE:    2 14:43:01    -1070.659668        0.136062
FIRE:    3 14:43:01    -1070.661377        0.135302
FIRE:    4 14:43:01    -1070.663574        0.134291
FIRE:    5 14:43:01    -1070.666260        0.133032
FIRE:    6 14:43:01    -1070.669434        0.131528
FIRE:    7 14:43:01    -1070.673218        0.129782
FIRE:    8 14:43:01    -1070.677734        0.127574
FIRE:    9 14:43:01    -1070.683472        0.124805
FIRE:   10 14:43:01    -1070.690430        0.121357
FIRE:   11 14:43:01    -1070.698730        0.117094
FIRE:   12 14:43:01    -1070.708496        0.111868
FIRE:   13 14:43:01    -1070.719971        0.105500
FIRE:   14 14:43:01    -1070.732788        0.097800
FIRE:   15 14:43:01    -1070.747070        0.088575
FIRE:   16 14:43:01    -1070.762451        0.077618
FIRE:   17 14:43:01    -1070.777832        0.064751
FIRE:   18 14:43:01    -1070.792480        0.049834
FIRE:   19 14:43:01    -1070.804688        0.032803
FIRE:   20 14:43:01    -1070.812500        0.013720
FIRE:   21 14:43:01    -1070.813965        0.005534
FIRE:   22 14:43:01    -1070.813965        0.005501
FIRE:   23 14:43:02    -1070.813965        0.005436
FIRE:   24 14:43:02    -1070.813965        0.005339
FIRE:   25 14:43:02    -1070.813965        0.005208
FIRE:   26 14:43:02    -1070.813965        0.005047
FIRE:   27 14:43:02    -1070.813965        0.004856
FIRE:   28 14:43:02    -1070.813965        0.004636
FIRE:   29 14:43:02    -1070.813965        0.004361
FIRE:   30 14:43:02    -1070.813965        0.004020
FIRE:   31 14:43:02    -1070.813965        0.003603
FIRE:   32 14:43:02    -1070.814209        0.003096
FIRE:   33 14:43:02    -1070.814209        0.002492
FIRE:   34 14:43:02    -1070.814209        0.001781
FIRE:   35 14:43:02    -1070.814209        0.000955
      Step     Time          Energy          fmax
FIRE:    0 14:52:10    -1070.657959        0.136823
FIRE:    1 14:52:10    -1070.658447        0.136571
FIRE:    2 14:52:11    -1070.659668        0.136062
FIRE:    3 14:52:11    -1070.661377        0.135302
FIRE:    4 14:52:11    -1070.663574        0.134291
FIRE:    5 14:52:11    -1070.666260        0.133032
FIRE:    6 14:52:11    -1070.669434        0.131528
FIRE:    7 14:52:11    -1070.673218        0.129782
FIRE:    8 14:52:11    -1070.677734        0.127574
FIRE:    9 14:52:11    -1070.683472        0.124805
FIRE:   10 14:52:11    -1070.690430        0.121357
FIRE:   11 14:52:11    -1070.698730        0.117094
FIRE:   12 14:52:11    -1070.708496        0.111868
FIRE:   13 14:52:11    -1070.719971        0.105500
FIRE:   14 14:52:11    -1070.732788        0.097800
FIRE:   15 14:52:11    -1070.747070        0.088575
FIRE:   16 14:52:11    -1070.762451        0.077618
FIRE:   17 14:52:11    -1070.777832        0.064751
FIRE:   18 14:52:11    -1070.792480        0.049834
FIRE:   19 14:52:11    -1070.804688        0.032803
FIRE:   20 14:52:11    -1070.812500        0.013720
FIRE:   21 14:52:12    -1070.813965        0.005534
FIRE:   22 14:52:12    -1070.813965        0.005501
FIRE:   23 14:52:12    -1070.813965        0.005436
FIRE:   24 14:52:12    -1070.813965        0.005338
FIRE:   25 14:52:12    -1070.813965        0.005208
FIRE:   26 14:52:12    -1070.813965        0.005047
FIRE:   27 14:52:12    -1070.813965        0.004856
FIRE:   28 14:52:12    -1070.813965        0.004636
