      Step     Time          Energy          fmax
FIRE:    0 14:21:12    -2647.085938        0.163965
FIRE:    1 14:21:12    -2647.102539        0.147313
FIRE:    2 14:21:12    -2647.130859        0.115960
FIRE:    3 14:21:12    -2647.160889        0.077727
FIRE:    4 14:21:12    -2647.182617        0.044477
FIRE:    5 14:21:12    -2647.189941        0.023217
FIRE:    6 14:21:12    -2647.190186        0.022699
FIRE:    7 14:21:12    -2647.190430        0.021678
FIRE:    8 14:21:12    -2647.190430        0.020185
FIRE:    9 14:21:12    -2647.190918        0.018264
FIRE:   10 14:21:12    -2647.191162        0.015975
FIRE:   11 14:21:12    -2647.191406        0.013397
FIRE:   12 14:21:12    -2647.191895        0.011176
FIRE:   13 14:21:12    -2647.192383        0.009490
FIRE:   14 14:21:12    -2647.192627        0.009321
FIRE:   15 14:21:12    -2647.193115        0.008878
FIRE:   16 14:21:12    -2647.193359        0.008031
FIRE:   17 14:21:12    -2647.193359        0.007112
FIRE:   18 14:21:12    -2647.193604        0.006906
FIRE:   19 14:21:12    -2647.193848        0.007314
FIRE:   20 14:21:12    -2647.193848        0.009677
FIRE:   21 14:21:12    -2647.193848        0.010776
FIRE:   22 14:21:12    -2647.194336        0.010053
FIRE:   23 14:21:13    -2647.194580        0.007363
FIRE:   24 14:21:13    -2647.195068        0.007288
FIRE:   25 14:21:13    -2647.195312        0.008005
FIRE:   26 14:21:13    -2647.196289        0.007941
FIRE:   27 14:21:13    -2647.196777        0.005959
FIRE:   28 14:21:13    -2647.197021        0.007334
FIRE:   29 14:21:13    -2647.197510        0.005851
FIRE:   30 14:21:13    -2647.198242        0.008415
FIRE:   31 14:21:13    -2647.198730        0.006028
FIRE:   32 14:21:13    -2647.199219        0.003857
FIRE:   33 14:21:13    -2647.199463        0.006320
FIRE:   34 14:21:13    -2647.199707        0.005090
FIRE:   35 14:21:13    -2647.199707        0.002864
FIRE:   36 14:21:13    -2647.199707        0.002030
FIRE:   37 14:21:13    -2647.199707        0.002914
FIRE:   38 14:21:13    -2647.199707        0.002716
FIRE:   39 14:21:13    -2647.199707        0.002338
FIRE:   40 14:21:13    -2647.199707        0.001926
FIRE:   41 14:21:13    -2647.199707        0.001562
FIRE:   42 14:21:13    -2647.199707        0.001143
FIRE:   43 14:21:13    -2647.199951        0.000778
      Step     Time          Energy          fmax
FIRE:    0 14:41:45    -2647.085938        0.163965
FIRE:    1 14:41:45    -2647.102539        0.147313
FIRE:    2 14:41:45    -2647.130859        0.115961
FIRE:    3 14:41:45    -2647.160889        0.077727
FIRE:    4 14:41:45    -2647.182617        0.044477
FIRE:    5 14:41:45    -2647.189941        0.023216
FIRE:    6 14:41:45    -2647.190186        0.022699
FIRE:    7 14:41:45    -2647.190430        0.021678
FIRE:    8 14:41:45    -2647.190430        0.020185
FIRE:    9 14:41:45    -2647.190918        0.018264
FIRE:   10 14:41:45    -2647.191162        0.015976
FIRE:   11 14:41:45    -2647.191406        0.013397
FIRE:   12 14:41:46    -2647.191895        0.011176
FIRE:   13 14:41:46    -2647.192383        0.009490
FIRE:   14 14:41:46    -2647.192627        0.009321
FIRE:   15 14:41:46    -2647.192871        0.008877
FIRE:   16 14:41:46    -2647.193359        0.008031
FIRE:   17 14:41:46    -2647.193359        0.007112
FIRE:   18 14:41:46    -2647.193604        0.006906
FIRE:   19 14:41:46    -2647.193848        0.007314
FIRE:   20 14:41:46    -2647.193848        0.009677
FIRE:   21 14:41:46    -2647.193848        0.010776
FIRE:   22 14:41:46    -2647.194336        0.010053
FIRE:   23 14:41:46    -2647.194580        0.007362
FIRE:   24 14:41:46    -2647.195068        0.007289
FIRE:   25 14:41:46    -2647.195312        0.008005
FIRE:   26 14:41:46    -2647.196289        0.007941
FIRE:   27 14:41:46    -2647.196777        0.005959
FIRE:   28 14:41:46    -2647.197021        0.007333
FIRE:   29 14:41:46    -2647.197510        0.005851
FIRE:   30 14:41:46    -2647.198242        0.008414
FIRE:   31 14:41:46    -2647.198730        0.006027
FIRE:   32 14:41:46    -2647.199219        0.003857
FIRE:   33 14:41:46    -2647.199463        0.006320
FIRE:   34 14:41:46    -2647.199707        0.005090
FIRE:   35 14:41:46    -2647.199707        0.002864
FIRE:   36 14:41:46    -2647.199707        0.002030
FIRE:   37 14:41:46    -2647.199707        0.002915
FIRE:   38 14:41:46    -2647.199707        0.002715
FIRE:   39 14:41:46    -2647.199951        0.002338
FIRE:   40 14:41:46    -2647.199707        0.001927
FIRE:   41 14:41:46    -2647.199707        0.001561
FIRE:   42 14:41:46    -2647.199707        0.001143
FIRE:   43 14:41:46    -2647.199951        0.000778
      Step     Time          Energy          fmax
FIRE:    0 14:43:10    -2647.085938        0.163965
FIRE:    1 14:43:10    -2647.102539        0.147313
FIRE:    2 14:43:10    -2647.130859        0.115963
FIRE:    3 14:43:10    -2647.160889        0.077727
FIRE:    4 14:43:10    -2647.182617        0.044477
FIRE:    5 14:43:10    -2647.189941        0.023216
FIRE:    6 14:43:10    -2647.190186        0.022699
FIRE:    7 14:43:10    -2647.190430        0.021678
FIRE:    8 14:43:10    -2647.190430        0.020185
FIRE:    9 14:43:10    -2647.190918        0.018264
FIRE:   10 14:43:10    -2647.191162        0.015976
FIRE:   11 14:43:10    -2647.191895        0.013398
FIRE:   12 14:43:10    -2647.191895        0.011176
FIRE:   13 14:43:10    -2647.192383        0.009490
FIRE:   14 14:43:10    -2647.192627        0.009321
FIRE:   15 14:43:10    -2647.192871        0.008878
FIRE:   16 14:43:10    -2647.193359        0.008031
FIRE:   17 14:43:10    -2647.193359        0.007112
FIRE:   18 14:43:10    -2647.193604        0.006906
FIRE:   19 14:43:10    -2647.193848        0.007314
FIRE:   20 14:43:10    -2647.193848        0.009677
FIRE:   21 14:43:10    -2647.193848        0.010776
FIRE:   22 14:43:10    -2647.194336        0.010053
FIRE:   23 14:43:10    -2647.194580        0.007362
FIRE:   24 14:43:10    -2647.195068        0.007289
FIRE:   25 14:43:10    -2647.195312        0.008005
FIRE:   26 14:43:10    -2647.196289        0.007941
FIRE:   27 14:43:10    -2647.196777        0.005959
FIRE:   28 14:43:10    -2647.197021        0.007333
FIRE:   29 14:43:10    -2647.197510        0.005851
FIRE:   30 14:43:11    -2647.198242        0.008415
FIRE:   31 14:43:11    -2647.198730        0.006028
FIRE:   32 14:43:11    -2647.199219        0.003857
FIRE:   33 14:43:11    -2647.199463        0.006320
FIRE:   34 14:43:11    -2647.199707        0.005090
FIRE:   35 14:43:11    -2647.199707        0.002864
FIRE:   36 14:43:11    -2647.199707        0.002030
FIRE:   37 14:43:11    -2647.199707        0.002915
FIRE:   38 14:43:11    -2647.199707        0.002716
FIRE:   39 14:43:11    -2647.199951        0.002339
FIRE:   40 14:43:11    -2647.199707        0.001926
FIRE:   41 14:43:11    -2647.199707        0.001561
FIRE:   42 14:43:11    -2647.199707        0.001143
FIRE:   43 14:43:11    -2647.199951        0.000778
      Step     Time          Energy          fmax
FIRE:    0 14:52:20    -2647.085938        0.163966
FIRE:    1 14:52:20    -2647.102539        0.147313
FIRE:    2 14:52:20    -2647.130859        0.115963
FIRE:    3 14:52:20    -2647.160889        0.077727
FIRE:    4 14:52:20    -2647.182617        0.044476
FIRE:    5 14:52:20    -2647.189941        0.023216
FIRE:    6 14:52:20    -2647.190186        0.022700
FIRE:    7 14:52:20    -2647.190430        0.021678
FIRE:    8 14:52:20    -2647.190430        0.020185
FIRE:    9 14:52:20    -2647.190918        0.018264
FIRE:   10 14:52:20    -2647.191162        0.015975
FIRE:   11 14:52:20    -2647.191406        0.013398
FIRE:   12 14:52:20    -2647.191895        0.011176
FIRE:   13 14:52:20    -2647.192383        0.009490
FIRE:   14 14:52:20    -2647.192627        0.009321
FIRE:   15 14:52:20    -2647.192871        0.008877
FIRE:   16 14:52:20    -2647.193359        0.008031
FIRE:   17 14:52:20    -2647.193359        0.007112
FIRE:   18 14:52:20    -2647.193604        0.006906
FIRE:   19 14:52:20    -2647.193848        0.007314
FIRE:   20 14:52:20    -2647.193848        0.009677
FIRE:   21 14:52:20    -2647.193848        0.010776
