      Step     Time          Energy          fmax
FIRE:    0 14:21:05    -1061.045776        0.280499
FIRE:    1 14:21:06    -1061.052612        0.268085
FIRE:    2 14:21:06    -1061.064941        0.243873
FIRE:    3 14:21:06    -1061.080811        0.209169
FIRE:    4 14:21:06    -1061.097412        0.166084
FIRE:    5 14:21:06    -1061.112793        0.117700
FIRE:    6 14:21:06    -1061.125244        0.075710
FIRE:    7 14:21:06    -1061.134277        0.079545
FIRE:    8 14:21:06    -1061.140869        0.078285
FIRE:    9 14:21:07    -1061.145020        0.062975
FIRE:   10 14:21:07    -1061.146606        0.057372
FIRE:   11 14:21:07    -1061.146851        0.055896
FIRE:   12 14:21:07    -1061.147461        0.052985
FIRE:   13 14:21:07    -1061.148193        0.048719
FIRE:   14 14:21:07    -1061.149048        0.043221
FIRE:   15 14:21:07    -1061.150024        0.036652
FIRE:   16 14:21:07    -1061.150879        0.029215
FIRE:   17 14:21:07    -1061.151855        0.021150
FIRE:   18 14:21:07    -1061.152466        0.017863
FIRE:   19 14:21:07    -1061.153198        0.017392
FIRE:   20 14:21:07    -1061.153442        0.016855
FIRE:   21 14:21:07    -1061.153320        0.016758
FIRE:   22 14:21:07    -1061.153320        0.016525
FIRE:   23 14:21:07    -1061.153320        0.016279
FIRE:   24 14:21:07    -1061.153442        0.016275
FIRE:   25 14:21:07    -1061.153442        0.016270
FIRE:   26 14:21:07    -1061.153564        0.016262
FIRE:   27 14:21:07    -1061.153564        0.016253
FIRE:   28 14:21:07    -1061.153564        0.016240
FIRE:   29 14:21:07    -1061.153564        0.016221
FIRE:   30 14:21:07    -1061.153809        0.016192
FIRE:   31 14:21:07    -1061.153809        0.016150
FIRE:   32 14:21:07    -1061.153809        0.016086
FIRE:   33 14:21:07    -1061.154053        0.015991
FIRE:   34 14:21:07    -1061.153931        0.015853
FIRE:   35 14:21:07    -1061.154053        0.015663
FIRE:   36 14:21:07    -1061.154053        0.015410
FIRE:   37 14:21:08    -1061.154175        0.015086
FIRE:   38 14:21:08    -1061.154297        0.014679
FIRE:   39 14:21:08    -1061.154419        0.014178
FIRE:   40 14:21:08    -1061.154541        0.013570
FIRE:   41 14:21:08    -1061.154785        0.012846
FIRE:   42 14:21:08    -1061.155029        0.012001
FIRE:   43 14:21:08    -1061.155273        0.011030
FIRE:   44 14:21:08    -1061.155396        0.009923
FIRE:   45 14:21:08    -1061.155640        0.008656
FIRE:   46 14:21:08    -1061.155884        0.007198
FIRE:   47 14:21:08    -1061.156128        0.005526
FIRE:   48 14:21:08    -1061.156250        0.003650
FIRE:   49 14:21:08    -1061.156250        0.001585
FIRE:   50 14:21:08    -1061.156250        0.002587
FIRE:   51 14:21:08    -1061.156494        0.002106
FIRE:   52 14:21:08    -1061.156372        0.001227
FIRE:   53 14:21:08    -1061.156372        0.000599
      Step     Time          Energy          fmax
FIRE:    0 14:41:38    -1061.045776        0.280494
FIRE:    1 14:41:38    -1061.052612        0.268081
FIRE:    2 14:41:38    -1061.064941        0.243869
FIRE:    3 14:41:38    -1061.080811        0.209165
FIRE:    4 14:41:38    -1061.097412        0.166083
FIRE:    5 14:41:39    -1061.112793        0.117698
FIRE:    6 14:41:39    -1061.125244        0.075710
FIRE:    7 14:41:39    -1061.134277        0.079539
FIRE:    8 14:41:39    -1061.140869        0.078279
FIRE:    9 14:41:40    -1061.145020        0.062971
FIRE:   10 14:41:40    -1061.146606        0.057371
FIRE:   11 14:41:40    -1061.146851        0.055895
FIRE:   12 14:41:40    -1061.147461        0.052983
FIRE:   13 14:41:40    -1061.148193        0.048718
FIRE:   14 14:41:40    -1061.149048        0.043220
FIRE:   15 14:41:40    -1061.150024        0.036652
