      Step     Time          Energy          fmax
FIRE:    0 15:06:18    -1056.956055        1.431240
FIRE:    1 15:06:18    -1057.095947        1.137057
FIRE:    2 15:06:18    -1057.290161        0.714366
FIRE:    3 15:06:18    -1057.450195        0.292925
FIRE:    4 15:06:18    -1057.534912        0.238476
FIRE:    5 15:06:18    -1057.557007        0.337170
FIRE:    6 15:06:18    -1057.562256        0.327360
FIRE:    7 15:06:18    -1057.571899        0.307774
FIRE:    8 15:06:18    -1057.585449        0.278525
FIRE:    9 15:06:18    -1057.601562        0.239898
FIRE:   10 15:06:18    -1057.619141        0.192497
FIRE:   11 15:06:18    -1057.636353        0.149733
FIRE:   12 15:06:18    -1057.652222        0.129362
FIRE:   13 15:06:18    -1057.666992        0.107791
FIRE:   14 15:06:19    -1057.679199        0.108504
FIRE:   15 15:06:19    -1057.688721        0.143755
FIRE:   16 15:06:19    -1057.696411        0.199466
FIRE:   17 15:06:19    -1057.704590        0.224807
FIRE:   18 15:06:19    -1057.714844        0.208551
FIRE:   19 15:06:19    -1057.725952        0.145100
FIRE:   20 15:06:19    -1057.733276        0.093387
FIRE:   21 15:06:19    -1057.731323        0.087363
FIRE:   22 15:06:19    -1057.731689        0.087399
FIRE:   23 15:06:19    -1057.732422        0.087464
FIRE:   24 15:06:19    -1057.733643        0.087555
FIRE:   25 15:06:19    -1057.734863        0.087658
FIRE:   26 15:06:19    -1057.736328        0.087760
FIRE:   27 15:06:19    -1057.737915        0.087843
FIRE:   28 15:06:19    -1057.739380        0.087885
FIRE:   29 15:06:19    -1057.741211        0.087860
FIRE:   30 15:06:19    -1057.743042        0.087721
FIRE:   31 15:06:19    -1057.745117        0.087404
FIRE:   32 15:06:19    -1057.747314        0.086839
FIRE:   33 15:06:19    -1057.749756        0.085947
FIRE:   34 15:06:19    -1057.752319        0.084651
FIRE:   35 15:06:19    -1057.754883        0.082897
FIRE:   36 15:06:19    -1057.757568        0.080692
FIRE:   37 15:06:19    -1057.760986        0.078079
FIRE:   38 15:06:19    -1057.765137        0.075016
FIRE:   39 15:06:19    -1057.770386        0.071270
FIRE:   40 15:06:19    -1057.776367        0.066399
FIRE:   41 15:06:19    -1057.782959        0.059994
FIRE:   42 15:06:19    -1057.789551        0.051966
FIRE:   43 15:06:19    -1057.795410        0.043007
FIRE:   44 15:06:19    -1057.801025        0.033868
FIRE:   45 15:06:19    -1057.806396        0.023898
FIRE:   46 15:06:19    -1057.810303        0.025846
FIRE:   47 15:06:20    -1057.811279        0.027817
FIRE:   48 15:06:20    -1057.811523        0.017406
FIRE:   49 15:06:20    -1057.811646        0.008285
FIRE:   50 15:06:20    -1057.811768        0.012282
FIRE:   51 15:06:20    -1057.811890        0.013826
FIRE:   52 15:06:20    -1057.812012        0.006962
FIRE:   53 15:06:20    -1057.812012        0.006245
FIRE:   54 15:06:20    -1057.811890        0.004892
FIRE:   55 15:06:20    -1057.812012        0.003062
FIRE:   56 15:06:20    -1057.812012        0.001507
FIRE:   57 15:06:20    -1057.812012        0.001533
FIRE:   58 15:06:20    -1057.812012        0.002487
FIRE:   59 15:06:20    -1057.812012        0.002420
FIRE:   60 15:06:20    -1057.812012        0.002288
FIRE:   61 15:06:20    -1057.812012        0.002093
FIRE:   62 15:06:20    -1057.812012        0.001844
FIRE:   63 15:06:20    -1057.812012        0.001546
FIRE:   64 15:06:20    -1057.812012        0.001206
FIRE:   65 15:06:20    -1057.812012        0.000846
