      Step     Time          Energy          fmax
FIRE:    0 15:06:03    -1063.968384        0.677181
FIRE:    1 15:06:03    -1064.009521        0.570401
FIRE:    2 15:06:03    -1064.069824        0.388382
FIRE:    3 15:06:04    -1064.121826        0.174913
FIRE:    4 15:06:04    -1064.150635        0.168384
FIRE:    5 15:06:04    -1064.160522        0.173669
FIRE:    6 15:06:04    -1064.162598        0.166905
FIRE:    7 15:06:04    -1064.166260        0.155789
FIRE:    8 15:06:04    -1064.171387        0.146316
FIRE:    9 15:06:04    -1064.177246        0.134084
FIRE:   10 15:06:04    -1064.183472        0.119440
FIRE:   11 15:06:04    -1064.189697        0.102819
FIRE:   12 15:06:04    -1064.195068        0.084776
FIRE:   13 15:06:04    -1064.199951        0.064065
FIRE:   14 15:06:04    -1064.204102        0.069315
FIRE:   15 15:06:04    -1064.207153        0.102650
FIRE:   16 15:06:04    -1064.210205        0.123050
FIRE:   17 15:06:04    -1064.213867        0.124375
FIRE:   18 15:06:04    -1064.218262        0.102298
FIRE:   19 15:06:04    -1064.222168        0.056124
FIRE:   20 15:06:04    -1064.223633        0.045042
FIRE:   21 15:06:04    -1064.223633        0.045029
FIRE:   22 15:06:04    -1064.223755        0.045002
FIRE:   23 15:06:04    -1064.223877        0.044962
FIRE:   24 15:06:04    -1064.223999        0.044907
FIRE:   25 15:06:04    -1064.224121        0.044838
FIRE:   26 15:06:04    -1064.224487        0.044752
FIRE:   27 15:06:04    -1064.224609        0.044649
FIRE:   28 15:06:04    -1064.224854        0.044514
FIRE:   29 15:06:04    -1064.225220        0.044336
FIRE:   30 15:06:04    -1064.225586        0.044102
FIRE:   31 15:06:04    -1064.225830        0.043795
FIRE:   32 15:06:04    -1064.226562        0.043393
FIRE:   33 15:06:04    -1064.226929        0.042870
FIRE:   34 15:06:04    -1064.227539        0.042193
FIRE:   35 15:06:04    -1064.228271        0.041326
FIRE:   36 15:06:05    -1064.229126        0.040228
FIRE:   37 15:06:05    -1064.229980        0.038854
FIRE:   38 15:06:05    -1064.231201        0.037151
FIRE:   39 15:06:05    -1064.232422        0.035060
FIRE:   40 15:06:05    -1064.233887        0.032518
FIRE:   41 15:06:05    -1064.235596        0.029464
FIRE:   42 15:06:05    -1064.237183        0.025849
FIRE:   43 15:06:05    -1064.238770        0.021663
FIRE:   44 15:06:05    -1064.240356        0.016924
FIRE:   45 15:06:05    -1064.241699        0.011645
FIRE:   46 15:06:05    -1064.242676        0.005851
FIRE:   47 15:06:05    -1064.242920        0.004788
FIRE:   48 15:06:05    -1064.242920        0.004048
FIRE:   49 15:06:05    -1064.242920        0.002738
FIRE:   50 15:06:05    -1064.243042        0.001504
FIRE:   51 15:06:05    -1064.243042        0.002095
FIRE:   52 15:06:05    -1064.242920        0.001727
FIRE:   53 15:06:05    -1064.242920        0.001613
FIRE:   54 15:06:05    -1064.243042        0.001394
FIRE:   55 15:06:05    -1064.243042        0.001086
FIRE:   56 15:06:05    -1064.243042        0.000812
