      Step     Time          Energy          fmax
FIRE:    0 15:12:02    -1059.166626        0.911667
FIRE:    1 15:12:02    -1059.267944        0.783625
FIRE:    2 15:12:02    -1059.416748        0.549742
FIRE:    3 15:12:02    -1059.542236        0.326081
FIRE:    4 15:12:02    -1059.608643        0.316678
FIRE:    5 15:12:02    -1059.635620        0.254041
FIRE:    6 15:12:02    -1059.657471        0.324411
FIRE:    7 15:12:02    -1059.686768        0.320717
FIRE:    8 15:12:02    -1059.718994        0.252131
FIRE:    9 15:12:02    -1059.732666        0.276396
FIRE:   10 15:12:02    -1059.735596        0.264331
FIRE:   11 15:12:02    -1059.741211        0.240980
FIRE:   12 15:12:02    -1059.748657        0.207837
FIRE:   13 15:12:02    -1059.757324        0.167033
FIRE:   14 15:12:02    -1059.766357        0.121167
FIRE:   15 15:12:02    -1059.774902        0.110566
FIRE:   16 15:12:02    -1059.782104        0.111075
FIRE:   17 15:12:02    -1059.788208        0.111601
FIRE:   18 15:12:02    -1059.792480        0.112068
FIRE:   19 15:12:02    -1059.794922        0.112345
FIRE:   20 15:12:02    -1059.796143        0.112269
FIRE:   21 15:12:02    -1059.796387        0.112212
FIRE:   22 15:12:03    -1059.796875        0.112098
FIRE:   23 15:12:03    -1059.797729        0.111927
FIRE:   24 15:12:03    -1059.798584        0.111701
FIRE:   25 15:12:03    -1059.799561        0.111418
FIRE:   26 15:12:03    -1059.800903        0.111080
FIRE:   27 15:12:03    -1059.802002        0.110688
FIRE:   28 15:12:03    -1059.803345        0.110192
FIRE:   29 15:12:03    -1059.804810        0.109572
FIRE:   30 15:12:03    -1059.806152        0.108804
FIRE:   31 15:12:03    -1059.807861        0.107871
FIRE:   32 15:12:03    -1059.809326        0.106762
FIRE:   33 15:12:03    -1059.811279        0.105473
FIRE:   34 15:12:03    -1059.813477        0.104007
FIRE:   35 15:12:03    -1059.816406        0.102357
FIRE:   36 15:12:03    -1059.820068        0.100502
FIRE:   37 15:12:03    -1059.824463        0.098387
FIRE:   38 15:12:03    -1059.829590        0.095902
FIRE:   39 15:12:03    -1059.835449        0.092858
FIRE:   40 15:12:03    -1059.841797        0.089000
FIRE:   41 15:12:03    -1059.849121        0.084057
FIRE:   42 15:12:03    -1059.857422        0.077849
FIRE:   43 15:12:03    -1059.866455        0.070382
FIRE:   44 15:12:03    -1059.875977        0.061785
FIRE:   45 15:12:03    -1059.885132        0.052042
FIRE:   46 15:12:03    -1059.894287        0.040838
FIRE:   47 15:12:03    -1059.901611        0.027848
FIRE:   48 15:12:03    -1059.906372        0.015663
FIRE:   49 15:12:03    -1059.907715        0.024267
FIRE:   50 15:12:03    -1059.907959        0.016397
FIRE:   51 15:12:03    -1059.908203        0.005804
FIRE:   52 15:12:03    -1059.908081        0.013920
FIRE:   53 15:12:03    -1059.908203        0.012281
FIRE:   54 15:12:03    -1059.908203        0.009213
FIRE:   55 15:12:04    -1059.908203        0.005123
FIRE:   56 15:12:04    -1059.908203        0.002086
FIRE:   57 15:12:04    -1059.908203        0.004299
FIRE:   58 15:12:04    -1059.908203        0.004172
FIRE:   59 15:12:04    -1059.908203        0.003918
FIRE:   60 15:12:04    -1059.908203        0.003550
FIRE:   61 15:12:04    -1059.908203        0.003079
FIRE:   62 15:12:04    -1059.908203        0.002522
FIRE:   63 15:12:04    -1059.908203        0.001900
FIRE:   64 15:12:04    -1059.908203        0.001813
FIRE:   65 15:12:04    -1059.908203        0.001806
FIRE:   66 15:12:04    -1059.908203        0.001797
FIRE:   67 15:12:04    -1059.908203        0.001788
FIRE:   68 15:12:04    -1059.908203        0.001829
FIRE:   69 15:12:04    -1059.908203        0.002007
FIRE:   70 15:12:04    -1059.908203        0.001868
FIRE:   71 15:12:04    -1059.908203        0.001741
FIRE:   72 15:12:04    -1059.908203        0.001724
FIRE:   73 15:12:04    -1059.908203        0.001698
FIRE:   74 15:12:04    -1059.908081        0.001662
FIRE:   75 15:12:04    -1059.908203        0.001611
FIRE:   76 15:12:04    -1059.908203        0.001546
FIRE:   77 15:12:04    -1059.908203        0.001463
FIRE:   78 15:12:04    -1059.908203        0.001369
FIRE:   79 15:12:04    -1059.908203        0.001265
FIRE:   80 15:12:04    -1059.908203        0.001150
FIRE:   81 15:12:04    -1059.908203        0.001084
FIRE:   82 15:12:04    -1059.908203        0.000831
