      Step     Time          Energy          fmax
FIRE:    0 15:11:30    -1064.939331        0.881370
FIRE:    1 15:11:31    -1065.000977        0.737786
FIRE:    2 15:11:31    -1065.086670        0.474239
FIRE:    3 15:11:31    -1065.148804        0.183000
FIRE:    4 15:11:31    -1065.170410        0.224333
FIRE:    5 15:11:31    -1065.172607        0.247911
FIRE:    6 15:11:31    -1065.175781        0.238989
FIRE:    7 15:11:31    -1065.181763        0.221236
FIRE:    8 15:11:31    -1065.189819        0.194879
FIRE:    9 15:11:31    -1065.199097        0.174588
FIRE:   10 15:11:31    -1065.208618        0.150462
FIRE:   11 15:11:31    -1065.217285        0.123214
FIRE:   12 15:11:31    -1065.224365        0.093943
FIRE:   13 15:11:31    -1065.229614        0.070964
FIRE:   14 15:11:31    -1065.232422        0.096753
FIRE:   15 15:11:31    -1065.233887        0.142479
FIRE:   16 15:11:31    -1065.235352        0.168516
FIRE:   17 15:11:31    -1065.238525        0.168444
FIRE:   18 15:11:31    -1065.243774        0.138593
FIRE:   19 15:11:31    -1065.249756        0.079790
FIRE:   20 15:11:31    -1065.252808        0.062090
FIRE:   21 15:11:31    -1065.250977        0.079520
FIRE:   22 15:11:31    -1065.251221        0.076395
FIRE:   23 15:11:31    -1065.251709        0.070274
FIRE:   24 15:11:31    -1065.252441        0.061424
FIRE:   25 15:11:31    -1065.253174        0.059223
FIRE:   26 15:11:31    -1065.254150        0.059267
FIRE:   27 15:11:31    -1065.254883        0.059293
FIRE:   28 15:11:31    -1065.255615        0.059287
FIRE:   29 15:11:31    -1065.256226        0.059224
FIRE:   30 15:11:31    -1065.256958        0.059068
FIRE:   31 15:11:31    -1065.257812        0.058781
FIRE:   32 15:11:31    -1065.258789        0.058319
FIRE:   33 15:11:32    -1065.259888        0.057633
FIRE:   34 15:11:32    -1065.261230        0.056674
FIRE:   35 15:11:32    -1065.262207        0.055402
FIRE:   36 15:11:32    -1065.263428        0.053842
FIRE:   37 15:11:32    -1065.264771        0.052056
FIRE:   38 15:11:32    -1065.266846        0.050038
FIRE:   39 15:11:32    -1065.269165        0.047651
FIRE:   40 15:11:32    -1065.271729        0.044593
FIRE:   41 15:11:32    -1065.274658        0.040640
FIRE:   42 15:11:32    -1065.277588        0.035761
FIRE:   43 15:11:32    -1065.280273        0.030352
FIRE:   44 15:11:32    -1065.282959        0.024760
FIRE:   45 15:11:32    -1065.285400        0.018526
FIRE:   46 15:11:32    -1065.287598        0.014339
FIRE:   47 15:11:32    -1065.288452        0.009373
FIRE:   48 15:11:32    -1065.288574        0.006818
FIRE:   49 15:11:32    -1065.288696        0.005471
FIRE:   50 15:11:32    -1065.288696        0.004330
FIRE:   51 15:11:32    -1065.288818        0.003439
FIRE:   52 15:11:32    -1065.288818        0.003225
FIRE:   53 15:11:32    -1065.288818        0.003222
FIRE:   54 15:11:32    -1065.288818        0.003217
FIRE:   55 15:11:32    -1065.288818        0.003210
FIRE:   56 15:11:32    -1065.288818        0.003199
FIRE:   57 15:11:32    -1065.288818        0.003184
FIRE:   58 15:11:32    -1065.288818        0.003166
FIRE:   59 15:11:32    -1065.288818        0.003143
FIRE:   60 15:11:32    -1065.288818        0.003111
FIRE:   61 15:11:32    -1065.288818        0.003067
FIRE:   62 15:11:32    -1065.288818        0.003007
FIRE:   63 15:11:32    -1065.288818        0.002929
FIRE:   64 15:11:32    -1065.288696        0.002827
FIRE:   65 15:11:32    -1065.288818        0.002699
FIRE:   66 15:11:32    -1065.288818        0.002539
FIRE:   67 15:11:33    -1065.288818        0.002344
FIRE:   68 15:11:33    -1065.288818        0.002108
FIRE:   69 15:11:33    -1065.288818        0.001829
FIRE:   70 15:11:33    -1065.288818        0.001511
FIRE:   71 15:11:33    -1065.288940        0.001166
FIRE:   72 15:11:33    -1065.288818        0.000799
