      Step     Time          Energy          fmax
FIRE:    0 15:11:54    -1055.244751        0.909491
FIRE:    1 15:11:54    -1055.314697        0.760814
FIRE:    2 15:11:54    -1055.414307        0.488839
FIRE:    3 15:11:54    -1055.492432        0.245960
FIRE:    4 15:11:54    -1055.528198        0.237958
FIRE:    5 15:11:54    -1055.540771        0.277079
FIRE:    6 15:11:54    -1055.544434        0.267682
FIRE:    7 15:11:54    -1055.551270        0.249018
FIRE:    8 15:11:54    -1055.560547        0.221403
FIRE:    9 15:11:54    -1055.571289        0.185478
FIRE:   10 15:11:54    -1055.582397        0.154091
FIRE:   11 15:11:54    -1055.592651        0.125000
FIRE:   12 15:11:54    -1055.601074        0.098220
FIRE:   13 15:11:54    -1055.608154        0.082796
FIRE:   14 15:11:54    -1055.613037        0.109248
FIRE:   15 15:11:54    -1055.616699        0.157511
FIRE:   16 15:11:54    -1055.620728        0.183422
FIRE:   17 15:11:54    -1055.626709        0.179350
FIRE:   18 15:11:54    -1055.634644        0.141483
FIRE:   19 15:11:54    -1055.642212        0.073958
FIRE:   20 15:11:54    -1055.645264        0.040919
FIRE:   21 15:11:54    -1055.645264        0.040912
FIRE:   22 15:11:54    -1055.645386        0.040898
FIRE:   23 15:11:54    -1055.645508        0.040875
FIRE:   24 15:11:54    -1055.645752        0.040842
FIRE:   25 15:11:54    -1055.646240        0.040798
FIRE:   26 15:11:54    -1055.646484        0.040740
FIRE:   27 15:11:54    -1055.646851        0.040664
FIRE:   28 15:11:54    -1055.647217        0.040558
FIRE:   29 15:11:54    -1055.647705        0.040407
FIRE:   30 15:11:54    -1055.648193        0.040196
FIRE:   31 15:11:54    -1055.648682        0.039905
FIRE:   32 15:11:55    -1055.649170        0.039509
FIRE:   33 15:11:55    -1055.649658        0.038980
FIRE:   34 15:11:55    -1055.650269        0.038292
FIRE:   35 15:11:55    -1055.650879        0.037416
FIRE:   36 15:11:55    -1055.651611        0.036327
FIRE:   37 15:11:55    -1055.652344        0.034987
FIRE:   38 15:11:55    -1055.653320        0.033344
FIRE:   39 15:11:55    -1055.654541        0.031321
FIRE:   40 15:11:55    -1055.655518        0.028860
FIRE:   41 15:11:55    -1055.656982        0.025981
FIRE:   42 15:11:55    -1055.658203        0.022834
FIRE:   43 15:11:55    -1055.659424        0.019582
FIRE:   44 15:11:55    -1055.660889        0.016112
FIRE:   45 15:11:55    -1055.661987        0.012074
FIRE:   46 15:11:55    -1055.662720        0.007480
FIRE:   47 15:11:55    -1055.663086        0.012024
FIRE:   48 15:11:55    -1055.663330        0.007621
FIRE:   49 15:11:55    -1055.663330        0.004763
FIRE:   50 15:11:55    -1055.663330        0.006126
FIRE:   51 15:11:55    -1055.663452        0.006975
FIRE:   52 15:11:55    -1055.663330        0.003220
FIRE:   53 15:11:55    -1055.663330        0.004898
FIRE:   54 15:11:55    -1055.663452        0.004613
FIRE:   55 15:11:55    -1055.663452        0.004072
FIRE:   56 15:11:55    -1055.663452        0.003330
FIRE:   57 15:11:55    -1055.663330        0.002474
FIRE:   58 15:11:55    -1055.663452        0.002858
FIRE:   59 15:11:55    -1055.663330        0.003431
FIRE:   60 15:11:55    -1055.663452        0.003434
FIRE:   61 15:11:55    -1055.663330        0.002766
FIRE:   62 15:11:55    -1055.663452        0.001545
FIRE:   63 15:11:55    -1055.663452        0.001543
FIRE:   64 15:11:55    -1055.663452        0.001542
FIRE:   65 15:11:55    -1055.663452        0.001540
FIRE:   66 15:11:56    -1055.663452        0.001537
FIRE:   67 15:11:56    -1055.663452        0.001533
FIRE:   68 15:11:56    -1055.663574        0.001527
FIRE:   69 15:11:56    -1055.663452        0.001521
FIRE:   70 15:11:56    -1055.663452        0.001514
FIRE:   71 15:11:56    -1055.663452        0.001505
FIRE:   72 15:11:56    -1055.663330        0.001494
FIRE:   73 15:11:56    -1055.663330        0.001480
FIRE:   74 15:11:56    -1055.663452        0.001463
FIRE:   75 15:11:56    -1055.663330        0.001442
FIRE:   76 15:11:56    -1055.663330        0.001416
FIRE:   77 15:11:56    -1055.663452        0.001384
FIRE:   78 15:11:56    -1055.663452        0.001345
FIRE:   79 15:11:56    -1055.663452        0.001297
FIRE:   80 15:11:56    -1055.663452        0.001240
FIRE:   81 15:11:56    -1055.663452        0.001173
FIRE:   82 15:11:56    -1055.663330        0.001096
FIRE:   83 15:11:56    -1055.663452        0.001009
FIRE:   84 15:11:56    -1055.663452        0.000906
