      Step     Time          Energy          fmax
FIRE:    0 14:50:43    -1068.718994        0.279388
FIRE:    1 14:50:43    -1068.731445        0.244796
FIRE:    2 14:50:43    -1068.751587        0.179270
FIRE:    3 14:50:43    -1068.771729        0.129681
FIRE:    4 14:50:43    -1068.784912        0.081734
FIRE:    5 14:50:43    -1068.787964        0.099159
FIRE:    6 14:50:43    -1068.788208        0.096446
FIRE:    7 14:50:43    -1068.788818        0.091108
FIRE:    8 14:50:43    -1068.789429        0.083324
FIRE:    9 14:50:43    -1068.790527        0.073363
FIRE:   10 14:50:43    -1068.791504        0.061587
FIRE:   11 14:50:43    -1068.792358        0.048440
FIRE:   12 14:50:43    -1068.793335        0.034733
FIRE:   13 14:50:43    -1068.794189        0.034711
FIRE:   14 14:50:43    -1068.794800        0.034089
FIRE:   15 14:50:43    -1068.795410        0.032412
FIRE:   16 14:50:44    -1068.795898        0.030477
FIRE:   17 14:50:44    -1068.796387        0.030513
FIRE:   18 14:50:44    -1068.796997        0.030578
FIRE:   19 14:50:44    -1068.797607        0.023352
FIRE:   20 14:50:44    -1068.797974        0.013580
FIRE:   21 14:50:44    -1068.797974        0.014697
FIRE:   22 14:50:44    -1068.797974        0.014430
FIRE:   23 14:50:44    -1068.798096        0.013954
FIRE:   24 14:50:44    -1068.798096        0.013897
FIRE:   25 14:50:44    -1068.798096        0.013823
FIRE:   26 14:50:44    -1068.798096        0.013732
FIRE:   27 14:50:44    -1068.798218        0.013626
FIRE:   28 14:50:44    -1068.798340        0.013504
FIRE:   29 14:50:44    -1068.798340        0.013354
FIRE:   30 14:50:44    -1068.798340        0.013174
FIRE:   31 14:50:44    -1068.798462        0.012960
FIRE:   32 14:50:44    -1068.798584        0.012714
FIRE:   33 14:50:44    -1068.798462        0.012438
FIRE:   34 14:50:44    -1068.798584        0.012134
FIRE:   35 14:50:44    -1068.798584        0.011807
FIRE:   36 14:50:44    -1068.798706        0.011458
FIRE:   37 14:50:44    -1068.798706        0.011087
FIRE:   38 14:50:44    -1068.798828        0.010691
FIRE:   39 14:50:44    -1068.798950        0.010263
FIRE:   40 14:50:44    -1068.799072        0.009793
FIRE:   41 14:50:44    -1068.799072        0.009261
FIRE:   42 14:50:44    -1068.799316        0.008640
FIRE:   43 14:50:44    -1068.799316        0.007873
FIRE:   44 14:50:44    -1068.799561        0.006912
FIRE:   45 14:50:44    -1068.799683        0.005757
FIRE:   46 14:50:44    -1068.799805        0.004479
FIRE:   47 14:50:44    -1068.799805        0.004870
FIRE:   48 14:50:44    -1068.799805        0.003298
FIRE:   49 14:50:45    -1068.799805        0.001684
FIRE:   50 14:50:45    -1068.799805        0.001528
FIRE:   51 14:50:45    -1068.799805        0.002555
FIRE:   52 14:50:45    -1068.800049        0.002442
FIRE:   53 14:50:45    -1068.799805        0.002163
FIRE:   54 14:50:45    -1068.799805        0.001642
FIRE:   55 14:50:45    -1068.799927        0.001499
FIRE:   56 14:50:45    -1068.799805        0.001495
FIRE:   57 14:50:45    -1068.799805        0.001491
FIRE:   58 14:50:45    -1068.799805        0.001486
FIRE:   59 14:50:45    -1068.799805        0.001486
FIRE:   60 14:50:45    -1068.799805        0.001486
FIRE:   61 14:50:45    -1068.799805        0.001485
FIRE:   62 14:50:45    -1068.799927        0.001485
FIRE:   63 14:50:45    -1068.799805        0.001485
FIRE:   64 14:50:45    -1068.799805        0.001484
FIRE:   65 14:50:45    -1068.799927        0.001483
FIRE:   66 14:50:45    -1068.799805        0.001482
FIRE:   67 14:50:45    -1068.799805        0.001480
FIRE:   68 14:50:45    -1068.799927        0.001477
FIRE:   69 14:50:45    -1068.799927        0.001474
FIRE:   70 14:50:45    -1068.799927        0.001469
FIRE:   71 14:50:45    -1068.799927        0.001462
FIRE:   72 14:50:45    -1068.799927        0.001454
FIRE:   73 14:50:45    -1068.799805        0.001445
FIRE:   74 14:50:45    -1068.799927        0.001432
FIRE:   75 14:50:45    -1068.799805        0.001417
FIRE:   76 14:50:45    -1068.799805        0.001399
FIRE:   77 14:50:45    -1068.799805        0.001379
FIRE:   78 14:50:45    -1068.799805        0.001356
FIRE:   79 14:50:45    -1068.799805        0.001327
FIRE:   80 14:50:45    -1068.799805        0.001294
FIRE:   81 14:50:45    -1068.799927        0.001254
FIRE:   82 14:50:45    -1068.799927        0.001208
FIRE:   83 14:50:46    -1068.799927        0.001157
FIRE:   84 14:50:46    -1068.799927        0.001099
FIRE:   85 14:50:46    -1068.799805        0.001031
FIRE:   86 14:50:46    -1068.799805        0.000955
      Step     Time          Energy          fmax
FIRE:    0 15:00:04    -1068.718994        0.279388
FIRE:    1 15:00:05    -1068.731445        0.244796
FIRE:    2 15:00:05    -1068.751587        0.179271
FIRE:    3 15:00:05    -1068.771729        0.129681
FIRE:    4 15:00:05    -1068.784912        0.081734
FIRE:    5 15:00:05    -1068.787964        0.099159
FIRE:    6 15:00:05    -1068.788208        0.096446
FIRE:    7 15:00:05    -1068.788818        0.091108
FIRE:    8 15:00:05    -1068.789551        0.083324
FIRE:    9 15:00:05    -1068.790527        0.073364
FIRE:   10 15:00:05    -1068.791504        0.061587
FIRE:   11 15:00:05    -1068.792358        0.048440
FIRE:   12 15:00:05    -1068.793335        0.034733
FIRE:   13 15:00:05    -1068.794189        0.034711
FIRE:   14 15:00:05    -1068.794800        0.034089
FIRE:   15 15:00:05    -1068.795410        0.032412
FIRE:   16 15:00:05    -1068.795898        0.030477
FIRE:   17 15:00:05    -1068.796387        0.030513
FIRE:   18 15:00:05    -1068.796875        0.030578
FIRE:   19 15:00:05    -1068.797607        0.023353
FIRE:   20 15:00:05    -1068.797974        0.013580
FIRE:   21 15:00:05    -1068.797974        0.014697
FIRE:   22 15:00:05    -1068.797974        0.014430
FIRE:   23 15:00:05    -1068.798096        0.013954
FIRE:   24 15:00:05    -1068.798096        0.013897
FIRE:   25 15:00:06    -1068.798096        0.013823
FIRE:   26 15:00:06    -1068.798096        0.013732
FIRE:   27 15:00:06    -1068.798218        0.013625
FIRE:   28 15:00:06    -1068.798340        0.013504
FIRE:   29 15:00:06    -1068.798340        0.013354
FIRE:   30 15:00:06    -1068.798340        0.013174
FIRE:   31 15:00:06    -1068.798462        0.012960
FIRE:   32 15:00:06    -1068.798462        0.012714
FIRE:   33 15:00:06    -1068.798462        0.012438
FIRE:   34 15:00:06    -1068.798584        0.012134
FIRE:   35 15:00:06    -1068.798584        0.011807
FIRE:   36 15:00:06    -1068.798706        0.011458
FIRE:   37 15:00:06    -1068.798706        0.011087
FIRE:   38 15:00:06    -1068.798828        0.010691
FIRE:   39 15:00:06    -1068.798950        0.010263
FIRE:   40 15:00:06    -1068.799072        0.009793
FIRE:   41 15:00:06    -1068.799072        0.009261
FIRE:   42 15:00:06    -1068.799316        0.008640
FIRE:   43 15:00:06    -1068.799316        0.007873
FIRE:   44 15:00:06    -1068.799561        0.006912
FIRE:   45 15:00:06    -1068.799683        0.005757
FIRE:   46 15:00:06    -1068.799805        0.004479
FIRE:   47 15:00:06    -1068.799805        0.004875
FIRE:   48 15:00:06    -1068.799805        0.003301
FIRE:   49 15:00:06    -1068.799805        0.001685
FIRE:   50 15:00:06    -1068.799805        0.001528
FIRE:   51 15:00:06    -1068.799805        0.002557
FIRE:   52 15:00:06    -1068.799805        0.002444
FIRE:   53 15:00:06    -1068.799927        0.002166
FIRE:   54 15:00:06    -1068.799805        0.001644
FIRE:   55 15:00:06    -1068.799805        0.001499
FIRE:   56 15:00:06    -1068.799805        0.001495
FIRE:   57 15:00:06    -1068.799805        0.001491
FIRE:   58 15:00:06    -1068.799805        0.001486
FIRE:   59 15:00:07    -1068.799805        0.001486
FIRE:   60 15:00:07    -1068.799805        0.001486
FIRE:   61 15:00:07    -1068.799805        0.001485
FIRE:   62 15:00:07    -1068.799805        0.001485
FIRE:   63 15:00:07    -1068.799805        0.001485
FIRE:   64 15:00:07    -1068.799805        0.001484
FIRE:   65 15:00:07    -1068.799805        0.001483
FIRE:   66 15:00:07    -1068.799805        0.001482
FIRE:   67 15:00:07    -1068.799805        0.001480
FIRE:   68 15:00:07    -1068.799927        0.001477
FIRE:   69 15:00:07    -1068.799927        0.001474
FIRE:   70 15:00:07    -1068.799927        0.001469
FIRE:   71 15:00:07    -1068.799927        0.001462
FIRE:   72 15:00:07    -1068.799927        0.001455
FIRE:   73 15:00:07    -1068.799805        0.001445
FIRE:   74 15:00:07    -1068.799927        0.001432
FIRE:   75 15:00:07    -1068.799805        0.001417
FIRE:   76 15:00:07    -1068.799805        0.001399
FIRE:   77 15:00:07    -1068.799805        0.001379
FIRE:   78 15:00:07    -1068.799805        0.001356
FIRE:   79 15:00:07    -1068.799805        0.001327
FIRE:   80 15:00:07    -1068.799805        0.001294
FIRE:   81 15:00:07    -1068.799927        0.001254
FIRE:   82 15:00:07    -1068.799927        0.001208
FIRE:   83 15:00:07    -1068.799927        0.001157
FIRE:   84 15:00:07    -1068.799927        0.001099
FIRE:   85 15:00:07    -1068.799805        0.001032
FIRE:   86 15:00:07    -1068.799805        0.000955
