      Step     Time          Energy          fmax
FIRE:    0 14:50:32    -1069.859863        0.213304
FIRE:    1 14:50:32    -1069.865967        0.197399
FIRE:    2 14:50:32    -1069.876221        0.167367
FIRE:    3 14:50:32    -1069.886353        0.126569
FIRE:    4 14:50:32    -1069.893311        0.079554
FIRE:    5 14:50:32    -1069.895752        0.053170
FIRE:    6 14:50:32    -1069.895874        0.051864
FIRE:    7 14:50:32    -1069.896118        0.049291
FIRE:    8 14:50:32    -1069.896606        0.045529
FIRE:    9 14:50:32    -1069.896973        0.040695
FIRE:   10 14:50:32    -1069.897461        0.034950
FIRE:   11 14:50:32    -1069.897949        0.035112
FIRE:   12 14:50:32    -1069.898560        0.035528
FIRE:   13 14:50:32    -1069.899170        0.035641
FIRE:   14 14:50:32    -1069.899536        0.035146
FIRE:   15 14:50:32    -1069.900146        0.033616
FIRE:   16 14:50:32    -1069.900391        0.030560
FIRE:   17 14:50:32    -1069.900879        0.025566
FIRE:   18 14:50:32    -1069.901245        0.018389
FIRE:   19 14:50:32    -1069.901611        0.013632
FIRE:   20 14:50:33    -1069.901733        0.009892
FIRE:   21 14:50:33    -1069.901855        0.013360
FIRE:   22 14:50:33    -1069.901855        0.013144
FIRE:   23 14:50:33    -1069.901855        0.012718
FIRE:   24 14:50:33    -1069.901855        0.012089
FIRE:   25 14:50:33    -1069.901978        0.011277
FIRE:   26 14:50:33    -1069.901855        0.010299
FIRE:   27 14:50:33    -1069.901978        0.009771
FIRE:   28 14:50:33    -1069.901978        0.009692
FIRE:   29 14:50:33    -1069.902100        0.009594
FIRE:   30 14:50:33    -1069.902100        0.009475
FIRE:   31 14:50:33    -1069.902100        0.009331
FIRE:   32 14:50:33    -1069.902100        0.009161
FIRE:   33 14:50:33    -1069.902100        0.008965
FIRE:   34 14:50:33    -1069.902222        0.008742
FIRE:   35 14:50:33    -1069.902222        0.008492
FIRE:   36 14:50:33    -1069.902344        0.008215
FIRE:   37 14:50:33    -1069.902222        0.007908
FIRE:   38 14:50:33    -1069.902344        0.007568
FIRE:   39 14:50:33    -1069.902344        0.007187
FIRE:   40 14:50:33    -1069.902466        0.006758
FIRE:   41 14:50:33    -1069.902588        0.006272
FIRE:   42 14:50:33    -1069.902588        0.005714
FIRE:   43 14:50:33    -1069.902588        0.005054
FIRE:   44 14:50:33    -1069.902832        0.004247
FIRE:   45 14:50:33    -1069.902832        0.003291
FIRE:   46 14:50:33    -1069.902832        0.002229
FIRE:   47 14:50:33    -1069.902954        0.001872
FIRE:   48 14:50:33    -1069.902832        0.001621
FIRE:   49 14:50:33    -1069.902832        0.001362
FIRE:   50 14:50:33    -1069.902954        0.000895
      Step     Time          Energy          fmax
FIRE:    0 14:59:53    -1069.859863        0.213304
FIRE:    1 14:59:53    -1069.866089        0.197399
FIRE:    2 14:59:53    -1069.876221        0.167367
FIRE:    3 14:59:53    -1069.886353        0.126569
FIRE:    4 14:59:53    -1069.893311        0.079554
FIRE:    5 14:59:53    -1069.895752        0.053170
FIRE:    6 14:59:53    -1069.895874        0.051864
FIRE:    7 14:59:53    -1069.896118        0.049290
FIRE:    8 14:59:53    -1069.896606        0.045529
FIRE:    9 14:59:53    -1069.896973        0.040695
FIRE:   10 14:59:53    -1069.897461        0.034950
FIRE:   11 14:59:53    -1069.897949        0.035112
FIRE:   12 14:59:53    -1069.898682        0.035528
FIRE:   13 14:59:53    -1069.899170        0.035641
FIRE:   14 14:59:53    -1069.899658        0.035146
FIRE:   15 14:59:53    -1069.900146        0.033616
FIRE:   16 14:59:53    -1069.900513        0.030560
FIRE:   17 14:59:53    -1069.900879        0.025566
FIRE:   18 14:59:53    -1069.901245        0.018389
FIRE:   19 14:59:53    -1069.901611        0.013632
FIRE:   20 14:59:53    -1069.901855        0.009892
FIRE:   21 14:59:54    -1069.901855        0.013359
FIRE:   22 14:59:54    -1069.901855        0.013144
FIRE:   23 14:59:54    -1069.901855        0.012718
FIRE:   24 14:59:54    -1069.901855        0.012089
FIRE:   25 14:59:54    -1069.901978        0.011277
FIRE:   26 14:59:54    -1069.901855        0.010299
FIRE:   27 14:59:54    -1069.901978        0.009771
FIRE:   28 14:59:54    -1069.901978        0.009692
FIRE:   29 14:59:54    -1069.902100        0.009594
FIRE:   30 14:59:54    -1069.902100        0.009475
FIRE:   31 14:59:54    -1069.902100        0.009331
FIRE:   32 14:59:54    -1069.902100        0.009161
FIRE:   33 14:59:54    -1069.902100        0.008965
FIRE:   34 14:59:54    -1069.902222        0.008742
FIRE:   35 14:59:54    -1069.902222        0.008492
FIRE:   36 14:59:54    -1069.902222        0.008215
FIRE:   37 14:59:54    -1069.902222        0.007908
FIRE:   38 14:59:54    -1069.902344        0.007568
FIRE:   39 14:59:54    -1069.902344        0.007187
FIRE:   40 14:59:54    -1069.902466        0.006758
FIRE:   41 14:59:54    -1069.902588        0.006272
FIRE:   42 14:59:54    -1069.902588        0.005714
FIRE:   43 14:59:54    -1069.902588        0.005054
FIRE:   44 14:59:54    -1069.902710        0.004247
FIRE:   45 14:59:54    -1069.902832        0.003291
FIRE:   46 14:59:54    -1069.902832        0.002230
FIRE:   47 14:59:54    -1069.902954        0.001871
FIRE:   48 14:59:54    -1069.902832        0.001620
FIRE:   49 14:59:54    -1069.902832        0.001362
FIRE:   50 14:59:54    -1069.902954        0.000895
