      Step     Time          Energy          fmax
FIRE:    0 14:50:46    -1060.075684        0.290783
FIRE:    1 14:50:46    -1060.086548        0.273596
FIRE:    2 14:50:46    -1060.105469        0.242217
FIRE:    3 14:50:46    -1060.128052        0.204536
FIRE:    4 14:50:46    -1060.149292        0.166907
FIRE:    5 14:50:46    -1060.166260        0.130355
FIRE:    6 14:50:46    -1060.178223        0.107685
FIRE:    7 14:50:46    -1060.186646        0.096284
FIRE:    8 14:50:46    -1060.193604        0.092835
FIRE:    9 14:50:46    -1060.198975        0.074441
FIRE:   10 14:50:46    -1060.201294        0.067907
FIRE:   11 14:50:46    -1060.201782        0.066011
FIRE:   12 14:50:46    -1060.202637        0.062276
FIRE:   13 14:50:46    -1060.203979        0.056818
FIRE:   14 14:50:46    -1060.205444        0.049810
FIRE:   15 14:50:46    -1060.207031        0.041480
FIRE:   16 14:50:46    -1060.208496        0.032114
FIRE:   17 14:50:46    -1060.209717        0.029228
FIRE:   18 14:50:46    -1060.210815        0.028643
FIRE:   19 14:50:46    -1060.211670        0.027959
FIRE:   20 14:50:46    -1060.211914        0.027188
FIRE:   21 14:50:46    -1060.211914        0.027184
FIRE:   22 14:50:47    -1060.211914        0.027175
FIRE:   23 14:50:47    -1060.211914        0.027163
FIRE:   24 14:50:47    -1060.211914        0.027147
FIRE:   25 14:50:47    -1060.212036        0.027126
FIRE:   26 14:50:47    -1060.212036        0.027100
FIRE:   27 14:50:47    -1060.212158        0.027069
FIRE:   28 14:50:47    -1060.212280        0.027028
FIRE:   29 14:50:47    -1060.212402        0.026974
FIRE:   30 14:50:47    -1060.212524        0.026901
FIRE:   31 14:50:47    -1060.212646        0.026805
FIRE:   32 14:50:47    -1060.212646        0.026676
FIRE:   33 14:50:47    -1060.212769        0.026506
FIRE:   34 14:50:47    -1060.212891        0.026282
FIRE:   35 14:50:47    -1060.213135        0.025992
FIRE:   36 14:50:47    -1060.213257        0.025621
FIRE:   37 14:50:47    -1060.213623        0.025152
FIRE:   38 14:50:47    -1060.213867        0.024566
FIRE:   39 14:50:47    -1060.214233        0.023844
FIRE:   40 14:50:47    -1060.214600        0.022973
FIRE:   41 14:50:47    -1060.214966        0.021947
FIRE:   42 14:50:47    -1060.215454        0.020764
FIRE:   43 14:50:47    -1060.216064        0.019404
FIRE:   44 14:50:47    -1060.216553        0.017804
FIRE:   45 14:50:47    -1060.217041        0.015853
FIRE:   46 14:50:47    -1060.217773        0.013478
FIRE:   47 14:50:47    -1060.218262        0.010697
FIRE:   48 14:50:47    -1060.218750        0.007643
FIRE:   49 14:50:47    -1060.218994        0.004880
FIRE:   50 14:50:47    -1060.218994        0.010860
FIRE:   51 14:50:47    -1060.219116        0.005058
FIRE:   52 14:50:47    -1060.219116        0.003290
FIRE:   53 14:50:47    -1060.219116        0.008193
FIRE:   54 14:50:47    -1060.219116        0.007099
FIRE:   55 14:50:47    -1060.218994        0.005059
FIRE:   56 14:50:48    -1060.219116        0.002363
FIRE:   57 14:50:48    -1060.219116        0.001648
FIRE:   58 14:50:48    -1060.218994        0.003013
FIRE:   59 14:50:48    -1060.218994        0.002910
FIRE:   60 14:50:48    -1060.218994        0.002704
FIRE:   61 14:50:48    -1060.219116        0.002407
FIRE:   62 14:50:48    -1060.219116        0.002028
FIRE:   63 14:50:48    -1060.219116        0.001631
FIRE:   64 14:50:48    -1060.219116        0.001628
FIRE:   65 14:50:48    -1060.219116        0.001625
FIRE:   66 14:50:48    -1060.219116        0.001620
FIRE:   67 14:50:48    -1060.219116        0.001614
FIRE:   68 14:50:48    -1060.219116        0.001607
FIRE:   69 14:50:48    -1060.219116        0.001599
FIRE:   70 14:50:48    -1060.219116        0.001589
FIRE:   71 14:50:48    -1060.219116        0.001577
FIRE:   72 14:50:48    -1060.218994        0.001564
FIRE:   73 14:50:48    -1060.219116        0.001549
FIRE:   74 14:50:48    -1060.219116        0.001531
FIRE:   75 14:50:48    -1060.219116        0.001510
FIRE:   76 14:50:48    -1060.218994        0.001485
FIRE:   77 14:50:48    -1060.219116        0.001456
FIRE:   78 14:50:48    -1060.219116        0.001421
