      Step     Time          Energy          fmax
FIRE:    0 14:49:54    -1073.735840        0.177881
FIRE:    1 14:49:54    -1073.742676        0.160279
FIRE:    2 14:49:54    -1073.753906        0.126714
FIRE:    3 14:49:54    -1073.765503        0.080494
FIRE:    4 14:49:54    -1073.773071        0.034681
FIRE:    5 14:49:54    -1073.774658        0.031234
FIRE:    6 14:49:54    -1073.774902        0.030567
FIRE:    7 14:49:54    -1073.774902        0.029257
FIRE:    8 14:49:54    -1073.775269        0.027341
FIRE:    9 14:49:54    -1073.775635        0.025326
FIRE:   10 14:49:54    -1073.776001        0.023079
FIRE:   11 14:49:54    -1073.776367        0.020504
FIRE:   12 14:49:54    -1073.776611        0.017662
FIRE:   13 14:49:54    -1073.777100        0.015066
FIRE:   14 14:49:54    -1073.777344        0.014960
FIRE:   15 14:49:54    -1073.777466        0.014820
FIRE:   16 14:49:54    -1073.777710        0.018740
FIRE:   17 14:49:54    -1073.777832        0.020748
FIRE:   18 14:49:54    -1073.778076        0.019901
FIRE:   19 14:49:54    -1073.778198        0.015730
FIRE:   20 14:49:54    -1073.778320        0.013419
FIRE:   21 14:49:55    -1073.778442        0.012973
FIRE:   22 14:49:55    -1073.778564        0.012967
FIRE:   23 14:49:55    -1073.778564        0.012956
FIRE:   24 14:49:55    -1073.778442        0.012939
FIRE:   25 14:49:55    -1073.778564        0.012917
FIRE:   26 14:49:55    -1073.778564        0.012888
FIRE:   27 14:49:55    -1073.778564        0.012853
FIRE:   28 14:49:55    -1073.778564        0.012810
FIRE:   29 14:49:55    -1073.778564        0.012755
FIRE:   30 14:49:55    -1073.778687        0.012682
FIRE:   31 14:49:55    -1073.778687        0.012586
FIRE:   32 14:49:55    -1073.778809        0.012460
FIRE:   33 14:49:55    -1073.778809        0.012296
FIRE:   34 14:49:55    -1073.778809        0.012086
FIRE:   35 14:49:55    -1073.779053        0.011819
FIRE:   36 14:49:55    -1073.778931        0.011484
FIRE:   37 14:49:55    -1073.778931        0.011072
FIRE:   38 14:49:55    -1073.779053        0.010571
FIRE:   39 14:49:55    -1073.779297        0.009971
FIRE:   40 14:49:55    -1073.779297        0.009264
FIRE:   41 14:49:55    -1073.779419        0.008445
FIRE:   42 14:49:55    -1073.779541        0.007495
FIRE:   43 14:49:55    -1073.779663        0.006380
FIRE:   44 14:49:55    -1073.779907        0.005076
FIRE:   45 14:49:55    -1073.780029        0.003593
FIRE:   46 14:49:55    -1073.780029        0.001963
FIRE:   47 14:49:55    -1073.780151        0.000783
      Step     Time          Energy          fmax
FIRE:    0 14:59:12    -1073.735840        0.177881
FIRE:    1 14:59:12    -1073.742676        0.160278
FIRE:    2 14:59:12    -1073.753906        0.126714
FIRE:    3 14:59:12    -1073.765503        0.080494
FIRE:    4 14:59:12    -1073.773071        0.034681
FIRE:    5 14:59:12    -1073.774658        0.031234
FIRE:    6 14:59:12    -1073.774902        0.030567
FIRE:    7 14:59:12    -1073.774902        0.029257
FIRE:    8 14:59:12    -1073.775269        0.027341
FIRE:    9 14:59:12    -1073.775635        0.025325
FIRE:   10 14:59:12    -1073.776001        0.023079
FIRE:   11 14:59:12    -1073.776367        0.020504
FIRE:   12 14:59:12    -1073.776733        0.017662
FIRE:   13 14:59:12    -1073.777100        0.015066
FIRE:   14 14:59:12    -1073.777344        0.014960
FIRE:   15 14:59:12    -1073.777466        0.014820
FIRE:   16 14:59:12    -1073.777710        0.018740
FIRE:   17 14:59:12    -1073.777832        0.020748
FIRE:   18 14:59:12    -1073.778076        0.019901
FIRE:   19 14:59:12    -1073.778198        0.015731
FIRE:   20 14:59:12    -1073.778320        0.013419
FIRE:   21 14:59:12    -1073.778442        0.012973
FIRE:   22 14:59:12    -1073.778442        0.012967
FIRE:   23 14:59:12    -1073.778442        0.012956
FIRE:   24 14:59:12    -1073.778442        0.012939
FIRE:   25 14:59:12    -1073.778564        0.012917
FIRE:   26 14:59:12    -1073.778564        0.012888
FIRE:   27 14:59:13    -1073.778564        0.012853
FIRE:   28 14:59:13    -1073.778564        0.012810
FIRE:   29 14:59:13    -1073.778564        0.012755
FIRE:   30 14:59:13    -1073.778687        0.012682
FIRE:   31 14:59:13    -1073.778687        0.012586
FIRE:   32 14:59:13    -1073.778809        0.012460
FIRE:   33 14:59:13    -1073.778809        0.012296
FIRE:   34 14:59:13    -1073.778809        0.012086
FIRE:   35 14:59:13    -1073.778809        0.011819
FIRE:   36 14:59:13    -1073.778931        0.011484
FIRE:   37 14:59:13    -1073.778931        0.011072
FIRE:   38 14:59:13    -1073.779053        0.010571
FIRE:   39 14:59:13    -1073.779297        0.009971
FIRE:   40 14:59:13    -1073.779297        0.009264
FIRE:   41 14:59:13    -1073.779419        0.008445
FIRE:   42 14:59:13    -1073.779541        0.007495
FIRE:   43 14:59:13    -1073.779663        0.006380
FIRE:   44 14:59:13    -1073.779907        0.005076
FIRE:   45 14:59:13    -1073.780029        0.003593
FIRE:   46 14:59:13    -1073.780029        0.001963
FIRE:   47 14:59:13    -1073.780151        0.000781
