      Step     Time          Energy          fmax
FIRE:    0 14:49:31    -1072.245361        0.141493
FIRE:    1 14:49:31    -1072.249023        0.127922
FIRE:    2 14:49:31    -1072.255371        0.101920
FIRE:    3 14:49:31    -1072.262085        0.069244
FIRE:    4 14:49:31    -1072.266724        0.033564
FIRE:    5 14:49:31    -1072.267944        0.020910
FIRE:    6 14:49:32    -1072.268066        0.020365
FIRE:    7 14:49:32    -1072.268066        0.019289
FIRE:    8 14:49:32    -1072.268311        0.017716
FIRE:    9 14:49:32    -1072.268433        0.015692
FIRE:   10 14:49:32    -1072.268555        0.013438
FIRE:   11 14:49:32    -1072.268799        0.012103
FIRE:   12 14:49:32    -1072.268921        0.010629
FIRE:   13 14:49:32    -1072.269043        0.008882
FIRE:   14 14:49:32    -1072.269165        0.008332
FIRE:   15 14:49:32    -1072.269287        0.009936
FIRE:   16 14:49:32    -1072.269531        0.010873
FIRE:   17 14:49:32    -1072.269409        0.010767
FIRE:   18 14:49:32    -1072.269531        0.009337
FIRE:   19 14:49:32    -1072.269531        0.007428
FIRE:   20 14:49:32    -1072.269775        0.006269
FIRE:   21 14:49:32    -1072.269653        0.004887
FIRE:   22 14:49:32    -1072.269775        0.004886
FIRE:   23 14:49:32    -1072.269775        0.004882
FIRE:   24 14:49:32    -1072.269775        0.004876
FIRE:   25 14:49:32    -1072.269775        0.004868
FIRE:   26 14:49:32    -1072.269775        0.004858
FIRE:   27 14:49:32    -1072.269775        0.004846
FIRE:   28 14:49:32    -1072.269775        0.004831
FIRE:   29 14:49:32    -1072.269775        0.004811
FIRE:   30 14:49:32    -1072.269775        0.004785
FIRE:   31 14:49:32    -1072.269775        0.004749
FIRE:   32 14:49:32    -1072.269775        0.004701
FIRE:   33 14:49:32    -1072.269775        0.004636
FIRE:   34 14:49:32    -1072.269775        0.004553
FIRE:   35 14:49:32    -1072.269775        0.004448
FIRE:   36 14:49:32    -1072.269775        0.004319
FIRE:   37 14:49:32    -1072.269775        0.004163
FIRE:   38 14:49:32    -1072.269775        0.003975
FIRE:   39 14:49:32    -1072.269775        0.003754
FIRE:   40 14:49:33    -1072.270020        0.003496
FIRE:   41 14:49:33    -1072.269897        0.003202
FIRE:   42 14:49:33    -1072.270020        0.002865
FIRE:   43 14:49:33    -1072.270020        0.002474
FIRE:   44 14:49:33    -1072.270020        0.002014
FIRE:   45 14:49:33    -1072.270020        0.001501
FIRE:   46 14:49:33    -1072.270020        0.001238
FIRE:   47 14:49:33    -1072.270020        0.001014
FIRE:   48 14:49:33    -1072.270020        0.001013
FIRE:   49 14:49:33    -1072.269897        0.000852
      Step     Time          Energy          fmax
FIRE:    0 14:58:48    -1072.245361        0.141493
FIRE:    1 14:58:48    -1072.249023        0.127922
FIRE:    2 14:58:48    -1072.255371        0.101920
FIRE:    3 14:58:48    -1072.261963        0.069244
FIRE:    4 14:58:48    -1072.266724        0.033564
FIRE:    5 14:58:48    -1072.267944        0.020910
FIRE:    6 14:58:48    -1072.268066        0.020365
FIRE:    7 14:58:48    -1072.268188        0.019289
FIRE:    8 14:58:48    -1072.268188        0.017716
FIRE:    9 14:58:48    -1072.268433        0.015692
FIRE:   10 14:58:48    -1072.268555        0.013438
FIRE:   11 14:58:48    -1072.268799        0.012103
FIRE:   12 14:58:48    -1072.268921        0.010628
FIRE:   13 14:58:48    -1072.269043        0.008882
FIRE:   14 14:58:48    -1072.269165        0.008333
FIRE:   15 14:58:48    -1072.269287        0.009936
FIRE:   16 14:58:49    -1072.269531        0.010873
FIRE:   17 14:58:49    -1072.269409        0.010767
FIRE:   18 14:58:49    -1072.269531        0.009337
FIRE:   19 14:58:49    -1072.269531        0.007428
FIRE:   20 14:58:49    -1072.269775        0.006269
FIRE:   21 14:58:49    -1072.269653        0.004887
FIRE:   22 14:58:49    -1072.269775        0.004886
FIRE:   23 14:58:49    -1072.269775        0.004882
FIRE:   24 14:58:49    -1072.269775        0.004876
FIRE:   25 14:58:49    -1072.269775        0.004868
FIRE:   26 14:58:49    -1072.269775        0.004858
FIRE:   27 14:58:49    -1072.269775        0.004846
FIRE:   28 14:58:49    -1072.269775        0.004831
FIRE:   29 14:58:49    -1072.269775        0.004811
FIRE:   30 14:58:49    -1072.269775        0.004785
FIRE:   31 14:58:49    -1072.269775        0.004749
FIRE:   32 14:58:49    -1072.269775        0.004701
FIRE:   33 14:58:49    -1072.269775        0.004636
FIRE:   34 14:58:49    -1072.269775        0.004553
FIRE:   35 14:58:49    -1072.269775        0.004448
FIRE:   36 14:58:49    -1072.269775        0.004319
FIRE:   37 14:58:49    -1072.269775        0.004162
FIRE:   38 14:58:49    -1072.269775        0.003975
FIRE:   39 14:58:49    -1072.269775        0.003754
FIRE:   40 14:58:49    -1072.269897        0.003496
FIRE:   41 14:58:49    -1072.269897        0.003202
FIRE:   42 14:58:49    -1072.270020        0.002865
FIRE:   43 14:58:49    -1072.270020        0.002474
FIRE:   44 14:58:49    -1072.270020        0.002014
FIRE:   45 14:58:49    -1072.270020        0.001501
FIRE:   46 14:58:49    -1072.270020        0.001239
FIRE:   47 14:58:49    -1072.270020        0.001014
FIRE:   48 14:58:49    -1072.270020        0.001013
FIRE:   49 14:58:50    -1072.270020        0.000852
