      Step     Time          Energy          fmax
FIRE:    0 14:49:48    -1062.440063        0.286383
FIRE:    1 14:49:48    -1062.450317        0.273289
FIRE:    2 14:49:48    -1062.468506        0.247796
FIRE:    3 14:49:48    -1062.490356        0.211353
FIRE:    4 14:49:48    -1062.511230        0.169751
FIRE:    5 14:49:48    -1062.528076        0.124348
FIRE:    6 14:49:48    -1062.539795        0.089480
FIRE:    7 14:49:48    -1062.547485        0.092354
FIRE:    8 14:49:48    -1062.553833        0.093128
FIRE:    9 14:49:48    -1062.559326        0.080755
FIRE:   10 14:49:48    -1062.562378        0.069876
FIRE:   11 14:49:48    -1062.562744        0.068016
FIRE:   12 14:49:48    -1062.563721        0.064348
FIRE:   13 14:49:48    -1062.564697        0.058980
FIRE:   14 14:49:48    -1062.566040        0.052074
FIRE:   15 14:49:48    -1062.567505        0.043845
FIRE:   16 14:49:48    -1062.568848        0.034557
FIRE:   17 14:49:48    -1062.570068        0.025254
FIRE:   18 14:49:48    -1062.571045        0.024790
FIRE:   19 14:49:48    -1062.571533        0.024242
FIRE:   20 14:49:48    -1062.571777        0.023617
FIRE:   21 14:49:48    -1062.571899        0.023612
FIRE:   22 14:49:48    -1062.571899        0.023602
FIRE:   23 14:49:48    -1062.572021        0.023588
FIRE:   24 14:49:48    -1062.572021        0.023568
FIRE:   25 14:49:48    -1062.572021        0.023543
FIRE:   26 14:49:48    -1062.572021        0.023512
FIRE:   27 14:49:48    -1062.572144        0.023475
FIRE:   28 14:49:48    -1062.572144        0.023426
FIRE:   29 14:49:48    -1062.572266        0.023361
FIRE:   30 14:49:48    -1062.572266        0.023275
FIRE:   31 14:49:48    -1062.572510        0.023161
FIRE:   32 14:49:49    -1062.572510        0.023010
FIRE:   33 14:49:49    -1062.572632        0.022813
FIRE:   34 14:49:49    -1062.572754        0.022559
FIRE:   35 14:49:49    -1062.572876        0.022238
FIRE:   36 14:49:49    -1062.572998        0.021838
FIRE:   37 14:49:49    -1062.573242        0.021348
FIRE:   38 14:49:49    -1062.573486        0.020754
FIRE:   39 14:49:49    -1062.573730        0.020042
FIRE:   40 14:49:49    -1062.573975        0.019201
FIRE:   41 14:49:49    -1062.574463        0.018220
FIRE:   42 14:49:49    -1062.574707        0.017080
FIRE:   43 14:49:49    -1062.575195        0.015740
FIRE:   44 14:49:49    -1062.575684        0.014133
FIRE:   45 14:49:49    -1062.576050        0.012192
FIRE:   46 14:49:49    -1062.576538        0.009916
FIRE:   47 14:49:49    -1062.576904        0.007360
FIRE:   48 14:49:49    -1062.577148        0.004559
FIRE:   49 14:49:49    -1062.577393        0.002618
FIRE:   50 14:49:49    -1062.577271        0.002644
FIRE:   51 14:49:49    -1062.577393        0.002405
FIRE:   52 14:49:49    -1062.577393        0.002360
FIRE:   53 14:49:49    -1062.577393        0.002297
FIRE:   54 14:49:49    -1062.577393        0.002294
FIRE:   55 14:49:49    -1062.577393        0.002289
FIRE:   56 14:49:49    -1062.577393        0.002282
FIRE:   57 14:49:49    -1062.577393        0.002271
FIRE:   58 14:49:49    -1062.577393        0.002257
FIRE:   59 14:49:49    -1062.577393        0.002240
FIRE:   60 14:49:49    -1062.577393        0.002219
FIRE:   61 14:49:49    -1062.577393        0.002193
FIRE:   62 14:49:49    -1062.577393        0.002159
