      Step     Time          Energy          fmax
FIRE:    0 14:51:29    -1066.554688        0.206181
FIRE:    1 14:51:29    -1066.561035        0.186522
FIRE:    2 14:51:29    -1066.571533        0.147775
FIRE:    3 14:51:29    -1066.582764        0.091605
FIRE:    4 14:51:29    -1066.590820        0.034031
FIRE:    5 14:51:29    -1066.593506        0.050881
FIRE:    6 14:51:29    -1066.593628        0.049341
FIRE:    7 14:51:29    -1066.593872        0.046317
FIRE:    8 14:51:29    -1066.594238        0.041924
FIRE:    9 14:51:29    -1066.594727        0.036334
FIRE:   10 14:51:29    -1066.595215        0.029767
FIRE:   11 14:51:29    -1066.595703        0.022509
FIRE:   12 14:51:29    -1066.596191        0.015934
FIRE:   13 14:51:29    -1066.596680        0.015264
FIRE:   14 14:51:29    -1066.597168        0.014441
FIRE:   15 14:51:29    -1066.597534        0.014363
FIRE:   16 14:51:29    -1066.597900        0.016565
FIRE:   17 14:51:29    -1066.598145        0.018774
FIRE:   18 14:51:30    -1066.598511        0.017632
FIRE:   19 14:51:30    -1066.598633        0.011958
FIRE:   20 14:51:30    -1066.598755        0.005361
FIRE:   21 14:51:30    -1066.598633        0.005273
FIRE:   22 14:51:30    -1066.598633        0.005098
FIRE:   23 14:51:30    -1066.598633        0.004840
FIRE:   24 14:51:30    -1066.598633        0.004506
FIRE:   25 14:51:30    -1066.598633        0.004102
FIRE:   26 14:51:30    -1066.598877        0.003638
FIRE:   27 14:51:30    -1066.598633        0.003126
FIRE:   28 14:51:30    -1066.598755        0.003008
FIRE:   29 14:51:30    -1066.598755        0.003000
FIRE:   30 14:51:30    -1066.598755        0.002991
FIRE:   31 14:51:30    -1066.598877        0.002981
FIRE:   32 14:51:30    -1066.598877        0.002969
FIRE:   33 14:51:30    -1066.598877        0.002951
FIRE:   34 14:51:30    -1066.598877        0.002950
FIRE:   35 14:51:30    -1066.598877        0.002949
FIRE:   36 14:51:30    -1066.598877        0.002946
FIRE:   37 14:51:30    -1066.598877        0.002942
FIRE:   38 14:51:30    -1066.598877        0.002937
FIRE:   39 14:51:30    -1066.598877        0.002931
FIRE:   40 14:51:30    -1066.598755        0.002924
FIRE:   41 14:51:30    -1066.598877        0.002914
