      Step     Time          Energy          fmax
FIRE:    0 14:51:40    -1056.785645        0.280988
FIRE:    1 14:51:40    -1056.798096        0.268491
FIRE:    2 14:51:40    -1056.819824        0.244077
FIRE:    3 14:51:40    -1056.845093        0.208906
FIRE:    4 14:51:40    -1056.867920        0.164756
FIRE:    5 14:51:40    -1056.883911        0.114315
FIRE:    6 14:51:40    -1056.893188        0.136376
FIRE:    7 14:51:40    -1056.898926        0.145710
FIRE:    8 14:51:40    -1056.904053        0.141105
FIRE:    9 14:51:40    -1056.908447        0.097512
FIRE:   10 14:51:40    -1056.909790        0.083210
FIRE:   11 14:51:40    -1056.910400        0.080917
FIRE:   12 14:51:40    -1056.911621        0.076401
FIRE:   13 14:51:40    -1056.913208        0.069800
FIRE:   14 14:51:40    -1056.915039        0.061316
FIRE:   15 14:51:40    -1056.916748        0.051220
FIRE:   16 14:51:40    -1056.918579        0.039843
FIRE:   17 14:51:40    -1056.920044        0.027612
FIRE:   18 14:51:40    -1056.921143        0.026366
FIRE:   19 14:51:40    -1056.921631        0.029041
FIRE:   20 14:51:40    -1056.921875        0.021709
FIRE:   21 14:51:40    -1056.921875        0.021044
FIRE:   22 14:51:40    -1056.921875        0.019729
FIRE:   23 14:51:40    -1056.921875        0.017812
FIRE:   24 14:51:40    -1056.922119        0.015511
FIRE:   25 14:51:41    -1056.922119        0.014918
FIRE:   26 14:51:41    -1056.922119        0.014915
FIRE:   27 14:51:41    -1056.922241        0.014911
FIRE:   28 14:51:41    -1056.922363        0.014904
FIRE:   29 14:51:41    -1056.922363        0.014893
FIRE:   30 14:51:41    -1056.922485        0.014873
FIRE:   31 14:51:41    -1056.922607        0.014840
FIRE:   32 14:51:41    -1056.922607        0.014784
FIRE:   33 14:51:41    -1056.922607        0.014697
FIRE:   34 14:51:41    -1056.922607        0.014569
FIRE:   35 14:51:41    -1056.922729        0.014392
FIRE:   36 14:51:41    -1056.922852        0.014154
FIRE:   37 14:51:41    -1056.922852        0.013842
FIRE:   38 14:51:41    -1056.922852        0.013444
FIRE:   39 14:51:41    -1056.923096        0.012950
FIRE:   40 14:51:41    -1056.923340        0.012362
FIRE:   41 14:51:41    -1056.923340        0.011704
FIRE:   42 14:51:41    -1056.923584        0.011009
FIRE:   43 14:51:41    -1056.923706        0.010292
FIRE:   44 14:51:41    -1056.923950        0.009518
FIRE:   45 14:51:41    -1056.923950        0.008569
FIRE:   46 14:51:41    -1056.924072        0.007332
FIRE:   47 14:51:41    -1056.924316        0.005787
FIRE:   48 14:51:41    -1056.924438        0.008789
FIRE:   49 14:51:41    -1056.924561        0.003505
FIRE:   50 14:51:41    -1056.924561        0.005681
FIRE:   51 14:51:41    -1056.924561        0.003089
FIRE:   52 14:51:41    -1056.924561        0.002058
FIRE:   53 14:51:41    -1056.924561        0.004433
