      Step     Time          Energy          fmax
FIRE:    0 14:50:26    -1061.045898        0.280490
FIRE:    1 14:50:26    -1061.052612        0.268077
FIRE:    2 14:50:26    -1061.064941        0.243867
FIRE:    3 14:50:26    -1061.080811        0.209165
FIRE:    4 14:50:26    -1061.097412        0.166082
FIRE:    5 14:50:26    -1061.112793        0.117699
FIRE:    6 14:50:26    -1061.125244        0.075708
FIRE:    7 14:50:26    -1061.134155        0.079537
FIRE:    8 14:50:26    -1061.140869        0.078277
FIRE:    9 14:50:26    -1061.145020        0.062969
FIRE:   10 14:50:26    -1061.146729        0.057371
FIRE:   11 14:50:26    -1061.146973        0.055895
FIRE:   12 14:50:26    -1061.147461        0.052983
FIRE:   13 14:50:26    -1061.148193        0.048718
FIRE:   14 14:50:26    -1061.148926        0.043220
FIRE:   15 14:50:26    -1061.150146        0.036652
FIRE:   16 14:50:26    -1061.151001        0.029215
FIRE:   17 14:50:26    -1061.151855        0.021150
FIRE:   18 14:50:26    -1061.152588        0.017863
FIRE:   19 14:50:26    -1061.153198        0.017392
FIRE:   20 14:50:26    -1061.153442        0.016855
FIRE:   21 14:50:26    -1061.153320        0.016757
FIRE:   22 14:50:26    -1061.153320        0.016524
FIRE:   23 14:50:27    -1061.153320        0.016279
FIRE:   24 14:50:27    -1061.153442        0.016275
FIRE:   25 14:50:27    -1061.153320        0.016270
FIRE:   26 14:50:27    -1061.153564        0.016262
FIRE:   27 14:50:27    -1061.153564        0.016253
FIRE:   28 14:50:27    -1061.153564        0.016240
FIRE:   29 14:50:27    -1061.153687        0.016221
FIRE:   30 14:50:27    -1061.153809        0.016192
FIRE:   31 14:50:27    -1061.153809        0.016150
FIRE:   32 14:50:27    -1061.153809        0.016086
FIRE:   33 14:50:27    -1061.154053        0.015991
FIRE:   34 14:50:27    -1061.154053        0.015853
FIRE:   35 14:50:27    -1061.154053        0.015663
FIRE:   36 14:50:27    -1061.154053        0.015411
FIRE:   37 14:50:27    -1061.154175        0.015086
FIRE:   38 14:50:27    -1061.154297        0.014679
FIRE:   39 14:50:27    -1061.154419        0.014178
FIRE:   40 14:50:27    -1061.154541        0.013570
