      Step     Time          Energy          fmax
FIRE:    0 15:06:37    -1071.850220        0.899144
FIRE:    1 15:06:37    -1071.923218        0.817272
FIRE:    2 15:06:37    -1072.043701        0.683193
FIRE:    3 15:06:37    -1072.176270        0.515525
FIRE:    4 15:06:37    -1072.285767        0.325140
FIRE:    5 15:06:37    -1072.349854        0.158537
FIRE:    6 15:06:37    -1072.366455        0.170685
FIRE:    7 15:06:37    -1072.367676        0.168245
FIRE:    8 15:06:37    -1072.369629        0.163416
FIRE:    9 15:06:37    -1072.372559        0.156298
FIRE:   10 15:06:37    -1072.376099        0.147040
FIRE:   11 15:06:37    -1072.380127        0.135837
FIRE:   12 15:06:37    -1072.384399        0.122920
FIRE:   13 15:06:37    -1072.388550        0.108563
FIRE:   14 15:06:37    -1072.392822        0.091388
FIRE:   15 15:06:37    -1072.396729        0.071385
FIRE:   16 15:06:38    -1072.400391        0.048917
FIRE:   17 15:06:38    -1072.402832        0.040863
FIRE:   18 15:06:38    -1072.404053        0.047893
FIRE:   19 15:06:38    -1072.404785        0.049703
FIRE:   20 15:06:38    -1072.404785        0.049029
FIRE:   21 15:06:38    -1072.405029        0.047693
FIRE:   22 15:06:38    -1072.405396        0.045714
FIRE:   23 15:06:38    -1072.405762        0.043125
FIRE:   24 15:06:38    -1072.406128        0.039967
FIRE:   25 15:06:38    -1072.406616        0.036289
FIRE:   26 15:06:38    -1072.406982        0.032150
FIRE:   27 15:06:38    -1072.407471        0.027117
FIRE:   28 15:06:38    -1072.407959        0.021123
FIRE:   29 15:06:38    -1072.408325        0.014164
FIRE:   30 15:06:38    -1072.408691        0.011932
FIRE:   31 15:06:38    -1072.408691        0.014786
FIRE:   32 15:06:38    -1072.408691        0.014690
FIRE:   33 15:06:38    -1072.408691        0.014498
FIRE:   34 15:06:38    -1072.408691        0.014213
FIRE:   35 15:06:38    -1072.408691        0.013837
FIRE:   36 15:06:38    -1072.408691        0.013375
FIRE:   37 15:06:38    -1072.408691        0.012830
FIRE:   38 15:06:38    -1072.408691        0.012210
FIRE:   39 15:06:38    -1072.408936        0.011443
FIRE:   40 15:06:38    -1072.408936        0.011375
FIRE:   41 15:06:38    -1072.408813        0.011395
FIRE:   42 15:06:38    -1072.408936        0.011412
FIRE:   43 15:06:38    -1072.409058        0.011424
FIRE:   44 15:06:38    -1072.408936        0.011422
FIRE:   45 15:06:38    -1072.409058        0.011400
FIRE:   46 15:06:38    -1072.409058        0.011343
FIRE:   47 15:06:38    -1072.409058        0.011239
FIRE:   48 15:06:38    -1072.409180        0.011074
FIRE:   49 15:06:38    -1072.409180        0.010838
FIRE:   50 15:06:39    -1072.409302        0.010519
FIRE:   51 15:06:39    -1072.409424        0.010120
FIRE:   52 15:06:39    -1072.409424        0.009658
FIRE:   53 15:06:39    -1072.409424        0.009167
FIRE:   54 15:06:39    -1072.409668        0.008679
FIRE:   55 15:06:39    -1072.409668        0.008204
FIRE:   56 15:06:39    -1072.409790        0.007721
FIRE:   57 15:06:39    -1072.409912        0.007148
FIRE:   58 15:06:39    -1072.410156        0.006364
FIRE:   59 15:06:39    -1072.410156        0.005307
FIRE:   60 15:06:39    -1072.410156        0.004435
FIRE:   61 15:06:39    -1072.410278        0.003423
FIRE:   62 15:06:39    -1072.410400        0.001694
FIRE:   63 15:06:39    -1072.410400        0.001569
FIRE:   64 15:06:39    -1072.410400        0.001162
FIRE:   65 15:06:39    -1072.410400        0.000923
