      Step     Time          Energy          fmax
FIRE:    0 15:07:14    -1062.039551        1.021972
FIRE:    1 15:07:14    -1062.123901        0.907686
FIRE:    2 15:07:14    -1062.261230        0.726772
FIRE:    3 15:07:14    -1062.410156        0.552092
FIRE:    4 15:07:14    -1062.533203        0.361420
FIRE:    5 15:07:14    -1062.607666        0.196453
FIRE:    6 15:07:14    -1062.632812        0.210854
FIRE:    7 15:07:14    -1062.634277        0.207033
FIRE:    8 15:07:14    -1062.637207        0.199512
FIRE:    9 15:07:14    -1062.641357        0.188524
FIRE:   10 15:07:14    -1062.646362        0.174429
FIRE:   11 15:07:14    -1062.652100        0.157699
FIRE:   12 15:07:14    -1062.658203        0.138929
FIRE:   13 15:07:14    -1062.664307        0.118852
FIRE:   14 15:07:14    -1062.670776        0.097019
FIRE:   15 15:07:14    -1062.677246        0.076587
FIRE:   16 15:07:14    -1062.682983        0.056039
FIRE:   17 15:07:14    -1062.687744        0.063690
FIRE:   18 15:07:14    -1062.691650        0.068376
FIRE:   19 15:07:14    -1062.694580        0.070767
FIRE:   20 15:07:14    -1062.697266        0.074518
FIRE:   21 15:07:14    -1062.699219        0.066386
FIRE:   22 15:07:14    -1062.700439        0.055501
FIRE:   23 15:07:14    -1062.700684        0.054266
FIRE:   24 15:07:14    -1062.700928        0.051830
FIRE:   25 15:07:15    -1062.701172        0.048254
FIRE:   26 15:07:15    -1062.701660        0.043633
FIRE:   27 15:07:15    -1062.702148        0.038089
FIRE:   28 15:07:15    -1062.702637        0.031776
FIRE:   29 15:07:15    -1062.703003        0.024882
FIRE:   30 15:07:15    -1062.703369        0.018660
FIRE:   31 15:07:15    -1062.703735        0.014258
FIRE:   32 15:07:15    -1062.703857        0.017012
FIRE:   33 15:07:15    -1062.703979        0.018703
FIRE:   34 15:07:15    -1062.704102        0.018551
FIRE:   35 15:07:15    -1062.703979        0.018250
FIRE:   36 15:07:15    -1062.704102        0.017802
FIRE:   37 15:07:15    -1062.704102        0.017216
FIRE:   38 15:07:15    -1062.704102        0.016494
FIRE:   39 15:07:15    -1062.704102        0.015649
FIRE:   40 15:07:15    -1062.704102        0.014689
FIRE:   41 15:07:15    -1062.704102        0.013512
FIRE:   42 15:07:15    -1062.704224        0.012089
FIRE:   43 15:07:15    -1062.704224        0.010412
FIRE:   44 15:07:15    -1062.704224        0.008491
FIRE:   45 15:07:15    -1062.704346        0.007549
FIRE:   46 15:07:15    -1062.704346        0.007366
FIRE:   47 15:07:15    -1062.704346        0.007189
FIRE:   48 15:07:15    -1062.704346        0.007982
FIRE:   49 15:07:15    -1062.704468        0.008621
FIRE:   50 15:07:15    -1062.704346        0.008362
FIRE:   51 15:07:15    -1062.704590        0.007107
FIRE:   52 15:07:15    -1062.704590        0.006699
FIRE:   53 15:07:15    -1062.704590        0.006650
FIRE:   54 15:07:15    -1062.704590        0.006535
FIRE:   55 15:07:15    -1062.704590        0.006313
FIRE:   56 15:07:15    -1062.704712        0.005958
FIRE:   57 15:07:15    -1062.704834        0.005480
FIRE:   58 15:07:15    -1062.704834        0.004952
FIRE:   59 15:07:16    -1062.704834        0.004467
FIRE:   60 15:07:16    -1062.704834        0.004022
FIRE:   61 15:07:16    -1062.704834        0.005023
FIRE:   62 15:07:16    -1062.704956        0.004224
FIRE:   63 15:07:16    -1062.704956        0.002656
FIRE:   64 15:07:16    -1062.705078        0.003227
FIRE:   65 15:07:16    -1062.705078        0.002469
FIRE:   66 15:07:16    -1062.705078        0.002266
FIRE:   67 15:07:16    -1062.705078        0.002208
FIRE:   68 15:07:16    -1062.705078        0.002208
FIRE:   69 15:07:16    -1062.705078        0.002207
FIRE:   70 15:07:16    -1062.705078        0.002205
FIRE:   71 15:07:16    -1062.705078        0.002202
FIRE:   72 15:07:16    -1062.704956        0.002198
FIRE:   73 15:07:16    -1062.705078        0.002194
FIRE:   74 15:07:16    -1062.704956        0.002188
FIRE:   75 15:07:16    -1062.705078        0.002181
FIRE:   76 15:07:16    -1062.705078        0.002171
FIRE:   77 15:07:16    -1062.704956        0.002158
FIRE:   78 15:07:16    -1062.705078        0.002141
FIRE:   79 15:07:16    -1062.705078        0.002120
FIRE:   80 15:07:16    -1062.705078        0.002095
FIRE:   81 15:07:16    -1062.705078        0.002071
FIRE:   82 15:07:16    -1062.705078        0.002050
FIRE:   83 15:07:16    -1062.705078        0.002034
FIRE:   84 15:07:16    -1062.705078        0.002015
FIRE:   85 15:07:16    -1062.705078        0.001978
FIRE:   86 15:07:16    -1062.705078        0.001916
FIRE:   87 15:07:16    -1062.705078        0.001844
FIRE:   88 15:07:16    -1062.705078        0.001786
FIRE:   89 15:07:16    -1062.705078        0.001709
FIRE:   90 15:07:17    -1062.705078        0.001588
FIRE:   91 15:07:17    -1062.705078        0.001510
FIRE:   92 15:07:17    -1062.705200        0.001350
FIRE:   93 15:07:17    -1062.705078        0.004877
FIRE:   94 15:07:17    -1062.705200        0.001226
FIRE:   95 15:07:17    -1062.705200        0.001225
FIRE:   96 15:07:17    -1062.705200        0.001224
