      Step     Time          Energy          fmax
FIRE:    0 15:10:48    -1073.113525        0.244520
FIRE:    1 15:10:48    -1073.122803        0.232715
FIRE:    2 15:10:48    -1073.139404        0.210352
FIRE:    3 15:10:48    -1073.159668        0.179863
FIRE:    4 15:10:48    -1073.179565        0.144725
FIRE:    5 15:10:48    -1073.196045        0.109240
FIRE:    6 15:10:48    -1073.208252        0.078559
FIRE:    7 15:10:48    -1073.216431        0.078754
FIRE:    8 15:10:48    -1073.221680        0.074197
FIRE:    9 15:10:48    -1073.224365        0.068589
FIRE:   10 15:10:48    -1073.224731        0.068630
FIRE:   11 15:10:48    -1073.225586        0.068707
FIRE:   12 15:10:48    -1073.226562        0.068815
FIRE:   13 15:10:48    -1073.227905        0.068943
FIRE:   14 15:10:49    -1073.229248        0.069078
FIRE:   15 15:10:49    -1073.230469        0.069205
FIRE:   16 15:10:49    -1073.231689        0.069303
FIRE:   17 15:10:49    -1073.233032        0.069351
FIRE:   18 15:10:49    -1073.234131        0.069304
FIRE:   19 15:10:49    -1073.234985        0.069102
FIRE:   20 15:10:49    -1073.235962        0.068683
FIRE:   21 15:10:49    -1073.237183        0.067988
FIRE:   22 15:10:49    -1073.238647        0.066948
FIRE:   23 15:10:49    -1073.240723        0.065491
FIRE:   24 15:10:49    -1073.243164        0.063539
FIRE:   25 15:10:49    -1073.245605        0.061032
FIRE:   26 15:10:49    -1073.248413        0.057972
FIRE:   27 15:10:49    -1073.251465        0.054429
FIRE:   28 15:10:49    -1073.254883        0.050461
FIRE:   29 15:10:49    -1073.258545        0.046027
FIRE:   30 15:10:49    -1073.262451        0.040952
FIRE:   31 15:10:49    -1073.266235        0.035010
FIRE:   32 15:10:49    -1073.269897        0.028192
FIRE:   33 15:10:49    -1073.273193        0.020714
FIRE:   34 15:10:49    -1073.275635        0.017170
FIRE:   35 15:10:49    -1073.276855        0.013549
FIRE:   36 15:10:49    -1073.276978        0.010486
FIRE:   37 15:10:49    -1073.277100        0.005797
FIRE:   38 15:10:49    -1073.277100        0.005692
FIRE:   39 15:10:49    -1073.277100        0.004862
FIRE:   40 15:10:49    -1073.277100        0.004537
FIRE:   41 15:10:49    -1073.277100        0.004006
FIRE:   42 15:10:49    -1073.277222        0.003413
FIRE:   43 15:10:49    -1073.277222        0.003118
FIRE:   44 15:10:49    -1073.277344        0.003083
FIRE:   45 15:10:49    -1073.277344        0.003040
FIRE:   46 15:10:49    -1073.277344        0.002991
FIRE:   47 15:10:50    -1073.277344        0.002990
FIRE:   48 15:10:50    -1073.277222        0.002988
FIRE:   49 15:10:50    -1073.277222        0.002985
FIRE:   50 15:10:50    -1073.277100        0.002981
FIRE:   51 15:10:50    -1073.277344        0.002977
FIRE:   52 15:10:50    -1073.277222        0.002971
FIRE:   53 15:10:50    -1073.277344        0.002963
FIRE:   54 15:10:50    -1073.277222        0.002954
FIRE:   55 15:10:50    -1073.277222        0.002942
FIRE:   56 15:10:50    -1073.277344        0.002927
FIRE:   57 15:10:50    -1073.277344        0.002907
FIRE:   58 15:10:50    -1073.277344        0.002882
FIRE:   59 15:10:50    -1073.277222        0.002851
FIRE:   60 15:10:50    -1073.277222        0.002814
FIRE:   61 15:10:50    -1073.277344        0.002770
FIRE:   62 15:10:50    -1073.277344        0.002717
FIRE:   63 15:10:50    -1073.277222        0.002654
FIRE:   64 15:10:50    -1073.277344        0.002579
FIRE:   65 15:10:50    -1073.277344        0.002489
FIRE:   66 15:10:50    -1073.277344        0.002384
FIRE:   67 15:10:50    -1073.277344        0.002261
FIRE:   68 15:10:50    -1073.277344        0.002117
FIRE:   69 15:10:50    -1073.277344        0.001950
FIRE:   70 15:10:50    -1073.277344        0.001762
FIRE:   71 15:10:50    -1073.277344        0.001555
FIRE:   72 15:10:50    -1073.277344        0.001332
FIRE:   73 15:10:50    -1073.277344        0.001080
FIRE:   74 15:10:50    -1073.277344        0.001070
FIRE:   75 15:10:50    -1073.277344        0.001312
FIRE:   76 15:10:50    -1073.277344        0.001526
FIRE:   77 15:10:50    -1073.277344        0.002154
FIRE:   78 15:10:50    -1073.277344        0.001725
FIRE:   79 15:10:50    -1073.277344        0.001713
FIRE:   80 15:10:51    -1073.277344        0.001711
FIRE:   81 15:10:51    -1073.277344        0.001707
FIRE:   82 15:10:51    -1073.277344        0.001700
FIRE:   83 15:10:51    -1073.277344        0.001691
FIRE:   84 15:10:51    -1073.277344        0.001681
FIRE:   85 15:10:51    -1073.277344        0.001670
FIRE:   86 15:10:51    -1073.277344        0.001658
FIRE:   87 15:10:51    -1073.277344        0.001643
FIRE:   88 15:10:51    -1073.277344        0.001623
FIRE:   89 15:10:51    -1073.277344        0.001599
FIRE:   90 15:10:51    -1073.277344        0.001569
FIRE:   91 15:10:51    -1073.277344        0.001532
FIRE:   92 15:10:51    -1073.277344        0.001487
FIRE:   93 15:10:51    -1073.277344        0.001436
FIRE:   94 15:10:51    -1073.277344        0.001375
FIRE:   95 15:10:51    -1073.277344        0.001305
FIRE:   96 15:10:51    -1073.277344        0.001222
FIRE:   97 15:10:51    -1073.277344        0.001133
FIRE:   98 15:10:51    -1073.277344        0.001032
FIRE:   99 15:10:51    -1073.277344        0.000922
